"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262110345/0/60/45/1a33b2eddfb0f4d02842616ddb6f3cb9/13/e61b5be091854c0dac086e3a1eb47888/262110345.JPG","R2088718","Land Only","S","140 E 9TH AVENUE","Prince Rupert - City","$17,000","22",,,"2,500.00",,"7/26/2016","$17,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262090526/0/60/45/3343c5dac6cef2de079d8836ad5b5ba0/13/ff8a06c95717ca6b0c74a3405e070f0a/262090526.JPG","R2068899","Land Only","S","10000 HARTMAN ROAD","Western Acres","$22,500","74",,,"0.00",,"7/25/2016","$22,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262086670/0/60/45/1b8492265218f404953c136c6d22a2aa/13/1f7f2b532044bc28041160a53746ecbd/262086670.JPG","R2065043","Land Only","S","6135 LAKESHORE DRIVE","Horse Lake","$29,000","98",,,"0.00",,"7/27/2016","$29,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262109025/0/60/45/dae08a38953ee05f621a13b49b79bf28/14/ece0744ee1b9503ec9ec25b93f3502ef/262109025.JPG","R2087398","Residential Detached","S","4 1884 HEATH ROAD","Agassiz","$30,000","6","2","1973","0.00","MANUF","7/25/2016","$30,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262061564/0/60/45/1b94499c36a5b3104db4f7cf900b6205/13/b5775aea2596dd4271bb6ff3b2e00d90/262061564.JPG","R2039937","Land Only","S","PARCEL A MCKINLEY DRIVE","Lac la Hache","$36,000","150",,,"0.00",,"7/25/2016","$36,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113667/0/60/45/6aebb1a48b3d11a6d3b6b8c59927331f/13/c47f5c63cad68d5d69fded894217c7b7/262113667.JPG","R2092040","Land Only","S","LOT 2 GEDDES ROAD","Tabor Lake","$42,500","5",,,"0.00",,"7/20/2016","$42,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262102369/0/60/45/5c1c58341add5c37b97ba54f30cb3909/15/d6c0b7a40cda77b487950cc061386b78/262102369.JPG","R2080742","Residential Detached","S","12 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$44,000","38","2","1980","0.00","MANUF","7/22/2016","$44,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262049920/0/60/45/4150fe79f1234cc4e34805de41ba7351/16/e492acba18bf52c39f9e6abfc1141336/262049920.JPG","R2028293","Residential Attached","S","429 4295 BLACKCOMB WAY","Whistler Village","$45,000","178","0","1995","0.00","APTU","7/21/2016","$45,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262115687/0/60/45/d6725669ccfe85e2edf4a88149d8f669/15/41e9da5a45de744027fb64434cc86952/262115687.JPG","R2094060","Residential Detached","S","67 7850 KING GEORGE BOULEVARD","East Newton","$46,000","8","2","1977","0.00","MANUF","7/26/2016","$46,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112098/0/60/45/c7005ec79d28da2641e3743421c0c210/13/260d9474ef1e394e622cdbdd8e859de9/262112098.JPG","R2090471","Residential Detached","S","225 1427 DOG CREEK ROAD","Esler/Dog Creek","$47,500","12","2","1994","0.00","MANUF","7/21/2016","$47,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262114216/0/60/45/2f5235440df5ceb4ff61ce8eb626b8e9/15/5768616d263a62aa979129ac96b1096b/262114216.JPG","R2092589","Residential Detached","S","1 3031 200 STREET","Brookswood Langley","$49,900","8","2","1975","0.00","MANUF","7/27/2016","$49,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262091884/0/60/45/856772166739822f7d1fce3ad3d7077a/13/9793a380dea140e05efabdae94580d92/262091884.JPG","R2070257","Land Only","S","6751 BARNETT ROAD","100 Mile House - Rural","$50,000","72",,,"436,471.20",,"7/27/2016","$50,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262107476/0/60/45/7c829b70bb958e9d5f0c9bd07b251324/13/7dbd65ddc45e3d87e25092259eb9d537/262107476.JPG","R2085849","Residential Detached","S","30 208 8TH STREET","100 Mile House - Town","$51,000","25","3","1998","0.00","MANUF","7/22/2016","$51,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262114972/0/60/45/533c5790fcefa3da94f9fa471dd15d71/13/c2bbc25281be9b39aba539afae02f19e/262114972.JPG","R2093345","Residential Detached","S","135 W 4TH STREET","Vanderhoof - Town","$52,000","8","2","9999","7,920.00","HOUSE","7/26/2016","$52,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112448/0/60/45/018387f06eddb2e7255f3208e9694fa6/13/a5a46e7d3a676ae7bc6586f5c92211c0/262112448.JPG","R2090821","Residential Attached","S","1001 1501 QUEENSWAY STREET","Millar Addition","$55,800","15","1","1965","0.00","APTU","7/26/2016","$55,800"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262101015/0/60/45/00657d622d5a1b87c1b69d2c377fa9cd/13/14a963f6de8c88e62b55621e7f06a2e8/262101015.JPG","R2079388","Land Only","S","LOT B NESS LAKE ROAD","Ness Lake","$57,000","50",,,"0.00",,"7/27/2016","$57,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262069728/0/60/45/1ae7236486438400cfbf392dfe36ea69/16/02eda6651e39372320aa833101faa657/262069728.JPG","R2048101","Residential Attached","S","330B 2036 LONDON LANE","Whistler Creek","$57,750","121","1","2001","0.00","APTU","7/20/2016","$57,750"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262040739/0/60/45/08b97cda78ececaf9579109f61b57255/13/0a5b30f036b7ad03fdca30ee9fd8e8c2/262040739.JPG","R2019112","Residential Attached","S","A16 2131 UPLAND STREET","VLA","$61,000","237","2","1964","0.00","TWNHS","7/27/2016","$61,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262095034/0/60/45/f04182285ce4ce63e67963b50dc0859f/13/a35085bae72795099beca8dcb194580d/262095034.JPG","R2073407","Residential Detached","S","32305 SHORTT ROAD","Red Rock/Stoner","$63,000","56","1","9999","0.00","HOUSE","7/20/2016","$63,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262030257/0/60/45/0f9cf967db5b25b3226c0917662aaf91/16/f023daac11015867b86bdf80a64116d6/262030257.JPG","R2008630","Land Only","S","14940 PARKVIEW AVENUE","Hope Sunshine Valley","$67,500","282",,,"0.00",,"7/21/2016","$67,500"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262062554/0/60/45/e6dbd835d06711b07323fcdc77af1227/13/e0d144d9cce978e85d05dcd3fbb1dafe/262062554.JPG","R2040927","Residential Detached","S","3088 BOSWELL STREET","Horsefly","$67,500","146","2","2011","43,560.00","HACR","7/26/2016","$67,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262046220/0/60/45/d710af5ff7f8b9b56f7e1eaae0003aa0/13/e3fb589fc224c411647bc4907ba6b3a6/262046220.JPG","R2024593","Land Only","S","LOT 2 PINE ROAD","Fort St. John - Rural W 100th","$70,000","187",,,"0.00",,"7/20/2016","$70,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262109027/0/60/45/af4e6d1fe643fad1b1634e02e6a92683/15/c84c0aba6ddad4ad87bf77d05dd42d4e/262109027.JPG","R2087400","Residential Detached","S","105 2315 198 STREET","Brookswood Langley","$77,000","16","2","1985","0.00","MANUF","7/20/2016","$77,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262080551/0/60/45/6078fcc51c57d507b8e29ec5377724d2/14/97d7bcddf4d292dc0a12d8a6de07e54d/262080551.JPG","R2058924","Residential Attached","S","301 9417 NOWELL STREET","Chilliwack N Yale-Well","$78,000","103","2","1983","0.00","APTU","7/27/2016","$78,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262117547/0/60/45/a54674bc174438bf36e3edccfe2a5522/15/40508cbc51054f8e5c3092151006ec0e/262117547.JPG","R2095920","Land Only","S","187 14600 MORRIS VALLEY ROAD","Hatzic","$79,000","1",,,"1,650.00",,"7/27/2016","$79,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260006802/0/60/45/cfdf372c3722a19d60a6f85ed60d5fe7/13/ee0bbbca49250a4d53cd9aa90f5daa02/260006802.JPG","N224304","Land Only","S","LOT 17 SUTLEY ROAD","Pineview","$79,900","1284",,,"0.00",,"7/27/2016","$79,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262064361/0/60/45/a77cf8b0c7269c8438406de5a9f88d07/13/65c635ff22aa7c2c32123388ee9caf84/262064361.JPG","R2042734","Residential Detached","S","5168 MACHETTE LAKE ROAD","Bridge Lake/Sheridan Lake","$80,000","136","3","9999","0.00","RECRE","7/21/2016","$80,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262099060/0/60/45/992bae3688b592ca3781e6675aa7026b/13/3ca0e87c458ae42ba6f9d8200ed26400/262099060.JPG","R2077433","Residential Detached","S","640 TAYLOR STREET","Prince Rupert - City","$85,000","53","2","1915","0.00","HOUSE","7/26/2016","$85,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262098382/0/60/45/86cf740a0a15587719ab9f9a0ace1d30/15/568c298684e3ca4cc7ab22836606ecba/262098382.JPG","R2076755","Residential Attached","S","147 1909 SALTON ROAD","Central Abbotsford","$89,000","47","1","1976","0.00","APTU","7/20/2016","$89,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262095643/0/60/45/64433bd1e80f125fdc213eeada58858a/13/0b973d2d668e34041a8a9fe7a29f41c6/262095643.JPG","R2074016","Residential Detached","S","305 CENTENNIAL DRIVE","Mackenzie -Town","$92,000","56","4","1970","7,670.00","HOUSE","7/21/2016","$92,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262083921/0/60/45/ec55078b2c101f7ec7375091d535985e/13/06c01a4bb7a035c29c6c88fb632d7fbe/262083921.JPG","R2062294","Land Only","S","DL 3537 SHELBY ROAD","McBride - Town","$94,500","93",,,"0.00",,"7/27/2016","$94,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262102030/0/60/45/6b9dc3a36fd51bdf30f95812c1c94b05/13/7e62d543eccbb38995711269d182fa70/262102030.JPG","R2080403","Residential Detached","S","27251 W 16 HIGHWAY","Burns Lake - Rural West","$95,000","46","2","9999","0.00","HOUSE","7/23/2016","$95,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103017/0/60/45/9e826e49f1e83d7a602ef42868e6e03d/15/8c25d0c1e139152ae217fcf4487ba715/262103017.JPG","R2081390","Residential Attached","S","216 33369 OLD YALE ROAD","Central Abbotsford","$97,500","34","2","1981","0.00","APTU","7/20/2016","$97,500"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262072989/0/60/45/7fc83e8e75f44de4b604621ff6164371/13/2dab7f6f96325bd22f12dc6df8daac54/262072989.JPG","R2051362","Land Only","S","DL 2026 N BABINE LAKE","Smithers - Rural","$99,000","125",,,"0.00",,"7/27/2016","$99,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262040951/0/60/45/052c0771fc6cfd05d9171e4092a26a17/16/eed05c0003937f853a7f87e12d01d952/262040951.JPG","R2019324","Residential Detached","S","12 12793 MADEIRA PARK ROAD","Pender Harbour Egmont","$100,000","235","2","1972","0.01","MNFLD","7/26/2016","$100,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262064055/0/60/45/88f2149b7df9d797407b36cdf93e98bb/16/5b98354bdce659b6047de2230cf76681/262064055.JPG","R2042428","Land Only","S","DL 4038 24 HIGHWAY","Lone Butte/Green Lk/Watch Lk","$101,000","140",,,"0.00",,"7/20/2016","$101,000"
