"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262104522/0/60/45/1e0a9317e9ca47bd8577b058a7a65c87/13/7a56055ec7ccb8ef72cf0e7bb789c233/262104522.JPG","R2082895","Land Only","S","3545 BENCH ROAD","Hazelton","$13,000","44",,,"0.00",,"8/2/2016","$13,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262110345/0/60/45/1a33b2eddfb0f4d02842616ddb6f3cb9/13/e61b5be091854c0dac086e3a1eb47888/262110345.JPG","R2088718","Land Only","S","140 E 9TH AVENUE","Prince Rupert - City","$17,000","22",,,"2,500.00",,"7/26/2016","$17,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033423/0/60/45/4094c0157908334513c4172cd29ce077/13/daf4d76b935a4f6ffbfff8c1e62fc001/262033423.JPG","R2011796","Land Only","S","DL 1832 W 20 HIGHWAY","Williams Lake - Rural West","$23,000","281",,,"0.00",,"8/4/2016","$23,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262086670/0/60/45/1b8492265218f404953c136c6d22a2aa/13/1f7f2b532044bc28041160a53746ecbd/262086670.JPG","R2065043","Land Only","S","6135 LAKESHORE DRIVE","Horse Lake","$29,000","98",,,"0.00",,"7/27/2016","$29,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262104845/0/60/45/fdac4c51f0e46bca7562fa60820bc6c2/13/a8c3a027af4ee5d11456da31efb6de89/262104845.JPG","R2083218","Land Only","S","LOT  25 LAC LA HACHE STATION ROAD","Lac la Hache","$29,000","41",,,"17,859.60",,"7/29/2016","$29,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031303/0/60/45/fdf2ef1394bd77f28578dc74a1caebc6/13/f17180be4d35e0ee1ed13a7619889743/262031303.JPG","R2009676","Residential Attached","S","18 605 CARSON DRIVE","Williams Lake - City","$35,000","291","3","9999","0.00","TWNHS","7/31/2016","$35,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262090881/0/60/45/79d20765d96d0583d5b9b86315b9a85e/14/b4ead17fda5d1f8b228f5b3fa71e28fa/262090881.JPG","R2069254","Residential Detached","S","67 9080 198 STREET","Walnut Grove","$35,000","41","2","1973","0.00","MANUF","8/1/2016","$35,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2096532","Residential Detached","S","37 45111 WOLFE ROAD","Chilliwack W Young-Well","$36,700","6","2","1974","0.00","MANUF","8/3/2016","$36,700"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261040943/0/60/45/6384aa358cb7fe3a9d8a2443c189c701/13/74f2cccc976907731db14846c049c6b5/261040943.JPG","N236868","Land Only","S","LOT 161 GLOINNZUN CRESCENT","108 Ranch","$37,500","816",,,"0.00",,"7/29/2016","$37,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262076238/0/60/45/67363404cc07a77dc3cf8676c8f21e67/13/9c3dd79154d1c5ac936e818bd149df33/262076238.JPG","R2054611","Residential Detached","S","2 MCKENDRICK AVENUE","Granisle","$40,000","115","4","1971","8,500.00","HOUSE","7/29/2016","$40,000"
