"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103064/0/60/45/6f7ff7dee1919c6a17ca0000f4083512/14/86829d220c88b14019b4e8f3c9eac436/262103064.JPG","R2081437","Residential Detached","S","61 3942 COLUMBIA VALLEY ROAD","Cultus Lake","$35,000","21","2","9999","0.00","MANUF","7/1/2016","$35,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260908759/0/60/45/287b69e851a98bd45dff5b5badd7cfc3/13/9423b5343837e2ed85e5b07e70daed12/260908759.JPG","N234916","Land Only","S","5 110 FOREST RIDGE ROAD","100 Mile House - Town","$38,000","806",,,"0.00",,"6/28/2016","$38,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262072809/0/60/45/d2abb9a6b22e530b99cadb1802efec04/14/4ba3abab7839e435e0f763a1f43eb550/262072809.JPG","R2051182","Residential Detached","S","12 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$40,000","91","4","1974","0.00","MANUF","6/28/2016","$40,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262108042/0/60/45/b3986624c473b848a0297cb2e77050f5/14/4922b2b46b65f02497338115f8451a78/262108042.JPG","R2086415","Residential Detached","S","39 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$45,000","3","2","1975","0.00","MANUF","7/2/2016","$45,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262092854/0/60/45/24cccd3e9f315c08316216571440f537/16/60f4744fa21c6481d4e9369ff80bc5f9/262092854.JPG","R2071227","Land Only","S","LOT 7 ROBERTSON ROAD","McLeese Lake","$47,000","39",,,"0.00",,"6/27/2016","$47,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262043689/0/60/45/3fd82290bd7f5afbe6277c6182b6ba9c/15/5d7470a7d2908d09540237d193858d30/262043689.JPG","R2022062","Residential Detached","S","15 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$55,000","179","2","2014","0.00","MANUF","6/28/2016","$55,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262091004/0/60/45/8efecd4b14a39c4e104de5b8671bb292/15/6d0b4f606bdc90a97e466778fc6fc617/262091004.JPG","R2069377","Residential Detached","S","73 31313 LIVINGSTONE AVENUE","Abbotsford West","$55,000","48","2","1974","0.00","MANUF","7/2/2016","$55,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103221/0/60/45/0254855d5974f3d425f5ce90c4c84287/15/33fd0a491bb39f14f36151b58f87ab9a/262103221.JPG","R2081594","Residential Detached","S","40 1840 160 STREET","King George Corridor","$59,000","13","3","1973","0.00","MANUF","6/27/2016","$59,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262085129/0/60/45/263bc7f1b600ac5ee71b38982e2fd7e3/15/e09f48f5168fb99ab359db61b9e51256/262085129.JPG","R2063502","Land Only","S","75 14600 MORRIS VALLEY ROAD","Hatzic","$64,000","63",,,"1,650.00",,"6/28/2016","$64,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262092303/0/60/45/98e2f6063695d7dce884bd3f2066dcfc/15/a61ae47ab2c32e0c638e2bd7da08785d/262092303.JPG","R2070676","Residential Detached","S","174 1840 160 STREET","King George Corridor","$70,000","41","3","9999","0.00","MANUF","6/27/2016","$70,000"
