"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262063608/0/60/45/637257318e6298b98a85a07d759751cb/15/e21e4abf9c22cbf09be6f4ccc711fce2/262063608.JPG","R2041981","Residential Detached","S","153 7790 KING GEORGE BOULEVARD","East Newton","$18,500","16","3","1976","0.00","MANUF","3/15/2016","$18,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042095/0/60/45/781af840669b90ab4bb090729b133267/16/5ab28437e24fab963a209b2fe56c875a/262042095.JPG","R2020468","Land Only","S","PS418 212 DAVIE STREET","Yaletown","$33,000","94",,,"170.00",,"3/16/2016","$33,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262062534/0/60/45/113096465577d225ec3325a7592045b8/13/ba4cd0f9720c9264d9dd94a308a9f34f/262062534.JPG","R2040907","Residential Detached","S","120 8420 ALASKA ROAD","Fort St. John - City SE","$38,000","20","1","1974","0.00","MANUF","3/17/2016","$38,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262067021/0/60/45/0fb29da0bf81596ae5e0e9abd1915f03/15/23408117ac02ea037ed7b570a27a8061/262067021.JPG","R2045394","Residential Detached","S","172 7790 KING GEORGE BOULEVARD","East Newton","$40,000","3","3","1976","0.00","MANUF","3/17/2016","$40,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262062502/0/60/45/56c3d7a0906c9ecbd52231ca24c1c5c8/15/7d0cabb232f4b088c465cbe81739ffbb/262062502.JPG","R2040875","Residential Detached","S","237 1840 160 STREET","King George Corridor","$44,900","19","3","1973","0.00","MANUF","3/17/2016","$44,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262052386/0/60/45/a16ae8152992e3425798f0241f18bd5e/13/534e6e24c1c9ad1fbd7c05008d26eb3b/262052386.JPG","R2030759","Residential Detached","S","85 4430 16 HIGHWAY","Smithers - Town","$50,000","44","2","1983","0.00","MANUF","3/17/2016","$50,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033376/0/60/45/3d8bfab889786b069c27b9b7cf8e4310/13/ce7bcc6b4c98c5094e28e30697668426/262033376.JPG","R2011749","Residential Detached","S","42 5701 AIRPORT DRIVE","Fort Nelson - Rural","$52,000","142","3","2003","0.00","MANUF","3/17/2016","$52,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051380/0/60/45/790caa099cc6a50b9f8f580ec85fff3f/16/32d071ba0d2e3850098d3a6eb544e69a/262051380.JPG","R2029753","Residential Attached","S","304A 2036 LONDON LANE","Whistler Creek","$57,000","51","1","2001","0.00","APTU","3/17/2016","$57,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057723/0/60/45/7695cae277a98eb2c567393dfeb00a09/16/02f91c8fd3a34c36cb0ff0bd99f5603b/262057723.JPG","R2036096","Residential Attached","S","204D 2036 LONDON LANE","Whistler Creek","$59,000","27","1","2001","0.00","APTU","3/15/2016","$59,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262046833/0/60/45/6623b317ca3a15770cbf16cf4a212f51/16/552720919cc1d16104752fe77452e845/262046833.JPG","R2025206","Residential Detached","S","32 12868 229 STREET","East Central","$60,000","63","2","1970","0.00","MANUF","3/15/2016","$60,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262060764/0/60/45/d92e7c33ce57e6ed495e646285895ccc/13/da6a63d54cbbe67a81343b440b25ddc1/262060764.JPG","R2039137","Residential Detached","S","2101 BLACKWATER ROAD","Bouchie Lake","$63,500","20","3","9999","0.00","HACR","3/16/2016","$63,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033410/0/60/45/e333d0a8964aacd1c98535a0a45220d9/15/79047871ac00e916ecfe1299152edea4/262033410.JPG","R2011783","Land Only","S","11919 WILSON STREET","Stave Falls","$65,000","142",,,"10,890.00",,"3/17/2016","$65,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033678/0/60/45/8599ff525a4119183820d6a83cc1488c/13/13ed1eeb90aaf81882a971d9c35611cf/262033678.JPG","R2012051","Land Only","S","DL 6707 TCHESINKUT LAKE","Burns Lake - Rural South","$67,000","141",,,"0.00",,"3/17/2016","$67,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262007286/0/60/45/bc05b8a95cb4f7030841c6518ae70295/13/aaf52e24a95bf915cf89143846c6a6f1/262007286.JPG","N248386","Land Only","S","LOT D N FRANCOIS ROAD","Burns Lake - Rural South","$70,000","197",,,"0.00",,"3/18/2016","$70,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262061777/0/60/45/d7a9c670a0dd82bbc72166802b062354/13/a4db141bcb8e2a2820716665a13dbe1e/262061777.JPG","R2040150","Residential Detached","S","990 LARCH STREET","Williams Lake - City","$73,600","23","2","1974","0.00","MNFLD","3/17/2016","$73,600"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262030571/0/60/45/0c9d5f06cfcbd81c164ec6685a33aee9/15/7b22b598b8b831b9c146bde6da34b3f7/262030571.JPG","R2008944","Residential Detached","S","126 3300 HORN STREET","Central Abbotsford","$75,000","153","2","1997","0.00","MANUF","3/16/2016","$75,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262048090/0/60/45/d37bf52bdebaa8f031ac2fa2d502e02a/16/c8c694b558cd536513cc19f218e7b230/262048090.JPG","R2026463","Residential Attached","S","109 12170 222 STREET","West Central","$85,000","58","1","1976","0.00","APTU","3/17/2016","$85,000"
