"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262070332/0/60/45/472e8b94ac2f280cc42a0cc15a08c2e2/13/5237addba078ed3483d75ffcf861e8bf/262070332.JPG","R2048705","Residential Detached","S","6 2454 GRANT'S FRONTAGE ROAD","Vanderhoof - Rural","$21,000","60","2","1978","0.00","MANUF","5/17/2016","$21,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262091506/0/60/45/1e485b981149efcd70645da2b0e22076/13/5158b86ac0c4034763bd4f86fad74149/262091506.JPG","R2069879","Land Only","S","LOT 4 CANIUM COURT","108 Ranch","$21,500","2",,,"0.00",,"5/18/2016","$21,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262064349/0/60/45/907067cee4601818eceecef462362607/13/28dcd2306ead42b7618c400593ede8af/262064349.JPG","R2042722","Land Only","S","LOT 79 KALLUM DRIVE","108 Ranch","$24,900","76",,,"0.00",,"5/19/2016","$24,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261895887/0/60/45/7248baeedf7f39ce3acea54a05815edf/16/e049b75170ba21a2f24d0ab525ad0089/261895887.JPG","V1134753","Residential Detached","S","56 2170 PORT MELLON HIGHWAY","Gibsons & Area","$26,500","310","2","1992","0.00","MANUF","5/19/2016","$26,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262081832/0/60/45/2cf34c5da1d15ede59d36dd3a3cf2735/14/5af43326816a74e171038ac681d94dfa/262081832.JPG","R2060205","Residential Detached","S","60 3942 COLUMBIA VALLEY HIGHWAY","Cultus Lake","$29,500","32","3","1974","0.00","MANUF","5/19/2016","$29,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262085476/0/60/45/0e7ec690b98a84955d3499c3231072ac/15/cdccddf666a86241f1615932954cb232/262085476.JPG","R2063849","Residential Detached","S","63 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$31,500","16","3","1977","0.00","MANUF","5/18/2016","$31,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261885120/0/60/45/1cc09eab6760db8516bc6dd1e6297ba2/13/f9829f15909063d3c8871e1ccae6af4c/261885120.JPG","N246849","Land Only","S","LOT 5 DUCKWORTH LAKE","McLeese Lake","$45,500","298",,,"0.00",,"5/19/2016","$45,500"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262063738/0/60/45/89d03f40035267036e4337078e103585/15/c9930ef12e61d68cf8bb417ac340cf5c/262063738.JPG","R2042111","Residential Detached","S","18 8560 156 STREET","Fleetwood Tynehead","$59,000","77","2","1979","0.00","MANUF","5/18/2016","$59,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262091731/0/60/45/b827e5e41615d7a55cc1b9e3ea90f2fa/16/b263455936d31e6784118a4ffa187dcb/262091731.JPG","R2070104","Residential Detached","S","23287 CALVIN CRESCENT","East Central","$60,000","5","3","1967","0.00","MANUF","5/17/2016","$60,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261551049/0/60/45/0da0cb2119d0eb45cf6fba5fb8b43d47/16/3e85bf97a7eb22ef41813004c22aad2a/261551049.JPG","V1108340","Land Only","S","LOT 9 SHOAL WAY","Sechelt District","$79,500","446",,,"7,260.00",,"5/19/2016","$79,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262067000/0/60/45/1d6fc30fd4d07ef6b1e0ea9a65731df5/13/20a3bcf88ca02d5f873e3435a49f30f0/262067000.JPG","R2045373","Residential Detached","S","702 CARTWRIGHT DRIVE","Esler/Dog Creek","$83,000","69","3","1973","0.00","MNFLD","5/19/2016","$83,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262087321/0/60/45/e4778f3ed4bffce9a0c373976c07f989/16/07cc8056cfd246be7ee4a2bb675d7677/262087321.JPG","R2065694","Residential Attached","S","307 12096 222 STREET","West Central","$85,000","14","1","1975","0.00","APTU","5/17/2016","$85,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262024113/0/60/45/7ae86872fa66fabea23713b814a554c7/13/cf4e3dfa32267c932df8e4d4e9bb2ad1/262024113.JPG","R2002486","Residential Detached","S","4709 NE POLLARD ROAD","Quesnel - Rural North","$85,000","247","1","2010","0.00","HACR","5/17/2016","$85,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262064903/0/60/45/4b9460e9a002a7bcca0aad182cdafeb0/16/9bbdd6814a38a7885c06ab8f5bf3434c/262064903.JPG","R2043276","Residential Detached","S","153 14600 MORRIS VALLEY ROAD","Hatzic","$85,000","71","2","2007","1,650.00","MNFLD","5/17/2016","$85,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074251/0/60/45/bb48e6260b136bacdb67fd7277605b5b/14/bf0ba139f2618a0e8b8ccb1caa0b0c75/262074251.JPG","R2052624","Residential Detached","S","54 45640 WATSON ROAD","Sardis West Vedder Rd","$85,000","44","2","1990","0.00","MANUF","5/17/2016","$85,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262061893/0/60/45/fa07ad4f99dda8bfb82f526dd2dd789c/14/9cafbd12f5d028d37e47eb9ce8dd0202/262061893.JPG","R2040266","Land Only","S","41 1650 COLUMBIA VALLEY ROAD","Columbia Valley","$90,000","78",,,"2,210.00",,"5/17/2016","$90,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262067843/0/60/45/c9672973b331b77389a14064fd66becc/15/639d953e32123ca628ffcae9f9276142/262067843.JPG","R2046216","Residential Attached","S","362B 8635 120 STREET","Annieville","$90,600","69","1","1972","0.00","APTU","5/19/2016","$90,600"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262090857/0/60/45/ac66cd698fa2982e3ac8a04fe24371d7/15/fd42570f1b5a842f505e7c6eb87cf22b/262090857.JPG","R2069230","Residential Attached","S","309 32025 TIMS AVENUE","Abbotsford West","$95,000","6","2","1979","0.00","APTU","5/17/2016","$95,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262092654/0/60/45/8f812db8f62e0137cf5ec7745e1c589f/13/0e7d1bed0a49781454223ad99c683e29/262092654.JPG","R2071027","Land Only","S","8924 74 STREET","Fort St. John - City SE","$96,050","1",,,"0.00",,"5/19/2016","$96,050"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074730/0/60/45/2e1010811b7cb6962a30f2d64cd2c7f7/14/bbad6b865af3ea7933222b1a6b0ccc91/262074730.JPG","R2053103","Residential Attached","S","309 46289 YALE ROAD","Chilliwack E Young-Yale","$105,000","40","1","2008","0.00","APTU","5/18/2016","$105,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262036804/0/60/45/35c39a2dc843d3567185c4ac0201a215/13/0018726b2178bc6dedce8064c47e054b/262036804.JPG","R2015177","Residential Detached","S","324 CROOKED RIVER CRESCENT","Mackenzie -Town","$110,000","188","3","1973","7,721.00","HOUSE","5/19/2016","$110,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261375331/0/60/45/ce39f19948095cec5bc6df21211a8d76/13/3edfe61ecdfdcf1dd63682a0c1c6eea6/261375331.JPG","N241033","Land Only","S","LOT 28 ROBSON ROAD","Beaverley","$110,000","551",,,"210,648.00",,"5/18/2016","$110,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078071/0/60/45/fa2110c4798376807657b7da1cd1c5d2/14/f4d7c9f50daf55d517e6629bb717c47b/262078071.JPG","R2056444","Residential Attached","S","409 46289 YALE ROAD","Chilliwack E Young-Yale","$115,000","37","1","2008","0.00","APTU","5/18/2016","$115,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262084001/0/60/45/f71683505720655a61579539494f6e72/14/8d820033cf82211b08b8de30f016b3c9/262084001.JPG","R2062374","Residential Attached","S","206 9175 EDWARDS STREET","Chilliwack W Young-Well","$115,000","22","2","1987","0.00","APTU","5/18/2016","$115,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262077478/0/60/45/a07d05bec7db21932cbda27ef46f8321/15/dbfa11128a369d5bf2fe98b99344aa9b/262077478.JPG","R2055851","Residential Detached","S","38 8254 134 STREET","Queen Mary Park Surrey","$117,000","35","2","1977","0.00","MANUF","5/16/2016","$117,000"
