"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044861/0/60/45/5bf72110188534a1cac512c9622aea48/13/ab7a2dcb0e36609ab7e3690b7d36f1ed/262044861.JPG","R2023234","Land Only","S","4269 MILDRED AVENUE","Wells/Barkerville","$10,500","316",,,"0.00",,"11/17/2016","$10,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145272/0/60/45/9151f8b648d6cac630cfe29d8c199819/13/28fd074a4c92746de36e781a6606db7d/262145272.JPG","R2123645","Land Only","S","LOT 31 GUTMAN COURT","108 Ranch","$17,500","3",,,"0.00",,"11/18/2016","$17,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144172/0/60/45/c21015b0f5bde00398b89412374b9d5c/15/8249adf0211fee67594c2f212e55a008/262144172.JPG","R2122545","Residential Detached","S","27 6571 KING GEORGE BOULEVARD","West Newton","$22,500","11","2","1966","0.00","MANUF","11/18/2016","$22,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145358/0/60/45/2569da571e3196521811c2954ca85a30/13/4a014bf72663dea3e03a366a897355fd/262145358.JPG","R2123731","Residential Detached","S","6 3075 97 HIGHWAY","150 Mile House","$30,000","3","5","1968","0.00","MANUF","11/18/2016","$30,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103642/0/60/45/9ffaf5cd828dd333238f2bae9dca3346/13/857e20b651895dd5e0cf0c10c16f5f15/262103642.JPG","R2082015","Land Only","S","LOT 117 BLOCK DRIVE","108 Ranch","$30,000","151",,,"0.00",,"11/14/2016","$30,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113007/0/60/45/cf2787f464ee69c53ae2744338164c75/13/aed1d425a4c62eaf45c75163dc6e0f89/262113007.JPG","R2091380","Residential Detached","S","61 997 20 HIGHWAY","Williams Lake - Rural West","$32,000","132","2","1987","0.00","MANUF","11/21/2016","$32,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262137286/0/60/45/84130a370971de51848fc775d6e758d8/16/91f23115de94a34442bde23b449338a7/262137286.JPG","R2115659","Residential Detached","S","8 62790 FLOOD HOPE ROAD","Hope Center","$37,000","48","2","1995","0.00","MANUF","11/23/2016","$37,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262140825/0/60/45/ffd25710a63d635ee85351dbbd5c4b05/13/7e9fcfef3eec904d7a3049d17b400bf1/262140825.JPG","R2119198","Land Only","S","1419 WINWORD ROAD","Bouchie Lake","$45,000","11",,,"0.00",,"11/19/2016","$45,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144552/0/60/45/6eaf689bc80aaa1662f7c1b1c1a17381/13/3f148f828973dbbd7eb57f037645c683/262144552.JPG","R2122925","Residential Detached","S","79 4430 16 HIGHWAY","Smithers - Town","$53,000","9","3","1980","0.00","MANUF","11/19/2016","$53,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261125661/0/60/45/a529f476d4850c60d116a62ece1a62b4/16/f242e9bc824919402472fb116a708337/261125661.JPG","V1075691","Land Only","S","53 LOVERS LANE","Galiano Island","$57,500","868",,,"89,300.00",,"11/21/2016","$57,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144032/0/60/45/d3625ec555e4146f2c77ce80d76e7a3f/13/a220b5dd1887fa354efcefa8f4712bbb/262144032.JPG","R2122405","Residential Attached","S","405 280 N BROADWAY AVENUE","Williams Lake - City","$60,888","12","2","9999","0.00","APTU","11/16/2016","$60,888"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142718/0/60/45/3c2fe9311117d5729fcd8e52d3fbd524/16/367d68dd82441192ba4266b53f3aeb13/262142718.JPG","R2121091","Land Only","S","522 AYA REACH ROAD","Mayne Island","$62,000","21",,,"0.00",,"11/22/2016","$62,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145737/0/60/45/6913a61bad89d184437799ace7556670/16/53bdcfb8abdc11706bde0e43e00874a9/262145737.JPG","R2124110","Residential Detached","S","15 4200 DEWDNEY TRUNK ROAD","Ranch Park","$63,500","3","2","1972","0.00","MANUF","11/21/2016","$63,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145892/0/60/45/2311aa5370ed6ddfb36a12d0ffaf30c3/16/84a4b8d824e794b576cd860710749819/262145892.JPG","R2124265","Land Only","S","Lot 20 DOUGLAS BAY","Gambier Island","$65,000","4",,,"0.00",,"11/21/2016","$65,000"
