"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146867/0/60/45/55c3bf0ae666f4ef85f8259b1c1b38bf/15/1f1d1a331e2bfbd64109b4f4ff3bf363/262146867.JPG","R2125240","Residential Detached","S","36 4426 232 STREET","Salmon River","$22,300","6","2","1973","0.00","MANUF","11/28/2016","$22,300"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103665/0/60/45/d8b9abe1481bcf6afb8f851cb4a8984d/13/d52626920c4687709fcad7d434728941/262103665.JPG","R2082038","Residential Detached","S","74 4625 GRAHAM AVENUE","Terrace - City","$23,000","195","2","1973","0.00","MANUF","12/1/2016","$23,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130051/0/60/45/0ea652d17bfafc766afb5870494884ce/13/6f22b2f6435da1e03fbdb83436bca8a7/262130051.JPG","R2108424","Residential Detached","S","127 5130 NORTH NECHAKO ROAD","Nechako Bench","$24,000","77","2","1971","0.00","MANUF","11/29/2016","$24,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146677/0/60/45/5427bcf180dcbb697c6322a6f15cbb28/13/e88a809fcd598d2fd9ebb17835747832/262146677.JPG","R2125050","Residential Detached","S","5 5378 PARK DRIVE","103 Mile House","$24,000","9","2","1969","0.00","MANUF","11/25/2016","$24,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261908686/0/60/45/01f3aa1d802165be1be3314d88575b03/13/17282b2f63d9b248d1d1e932a8e0d45d/261908686.JPG","N247157","Land Only","S","LOT E PARK PLACE","Lac la Hache","$35,000","488",,,"0.00",,"12/3/2016","$35,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262089232/0/60/45/f2eb53efbbd41c7e76fe5ea33299ec4d/13/b28af1c53b97ce82ffd060ecbbe02978/262089232.JPG","R2067605","Residential Detached","S","61 770 N ELEVENTH AVENUE","Williams Lake - City","$35,000","201","3","1979","0.00","MANUF","11/29/2016","$35,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262137286/0/60/45/84130a370971de51848fc775d6e758d8/16/91f23115de94a34442bde23b449338a7/262137286.JPG","R2115659","Residential Detached","S","8 62790 FLOOD HOPE ROAD","Hope Center","$37,000","48","2","1995","0.00","MANUF","11/23/2016","$37,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144184/0/60/45/719e23a0089a34878e64a768081c5ddd/15/44d1e10cfad931a35cacf41d8c913033/262144184.JPG","R2122557","Residential Detached","S","59 7850 KING GEORGE BOULEVARD","East Newton","$41,500","18","2","1981","0.00","MANUF","11/26/2016","$41,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146047/0/60/45/975628cd6cf7a0c4be4319210f330c75/16/8d4fb9e5d91e8ab46e5ba306da6d2437/262146047.JPG","R2124420","Residential Detached","S","20 23213 CALVIN CRESCENT","Northeast","$42,000","12","3","1972","0.00","MANUF","11/30/2016","$42,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122842/0/60/45/279b5ebb3e4ec13618a4e570eaebd8ce/13/e4b2621eb4dc68403391569447e0e489/262122842.JPG","R2101215","Residential Detached","S","43 803 HODGSON ROAD","Esler/Dog Creek","$43,000","104","3","1979","0.00","MANUF","11/25/2016","$43,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142878/0/60/45/5f5ca6b6e28d2ae745908543787e79ae/15/29484585b63cc0d9ac24981aea23d16b/262142878.JPG","R2121251","Residential Detached","S","145 7790 KING GEORGE BOULEVARD","East Newton","$47,500","31","2","1980","0.00","MANUF","12/1/2016","$47,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145256/0/60/45/368c82c62863ff60d1359af6d307f8c7/15/39ee40933e5a3aec52f8594d14c4c606/262145256.JPG","R2123629","Residential Detached","S","4 8670 156TH STREET","Fleetwood Tynehead","$55,000","16","2","1989","0.00","MANUF","12/1/2016","$55,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112732/0/60/45/4f491c39b86c07847dd7935fdcb5a0ed/13/d65de5ca29c6510aa4b4e91bbf1ed7e5/262112732.JPG","R2091105","Land Only","S","LOT 4 WILCOX ROAD","Forest Grove","$60,000","141",,,"0.00",,"11/29/2016","$60,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146899/0/60/45/78c2104fd8acd665f657ac38625d65f4/13/f721b8ea109b630cf63a92089ff69638/262146899.JPG","R2125272","Residential Detached","S","145 3666 11TH STREET","Houston - Town","$62,000","5","2","1994","0.00","MANUF","11/28/2016","$62,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142718/0/60/45/3c2fe9311117d5729fcd8e52d3fbd524/16/367d68dd82441192ba4266b53f3aeb13/262142718.JPG","R2121091","Land Only","S","522 AYA REACH ROAD","Mayne Island","$62,000","21",,,"0.00",,"11/22/2016","$62,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261962166/0/60/45/4687be55a6308a7bb17e4b4200f53e82/16/a040f38b638a2a866cbf8b4a38d28960/261962166.JPG","V1139303","Land Only","S","497 ABBOTT ROAD","Mayne Island","$65,000","466",,,"0.00",,"11/27/2016","$65,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262121727/0/60/45/62dfc5bd3ad3c2b068d0b719b7f74b1e/13/da0e2f969f0d96f16aa87ad81adf4d6f/262121727.JPG","R2100100","Residential Detached","S","2455 CLEARVIEW DRIVE","Burns Lake - Rural South","$70,000","113","3","1968","0.00","MNFLD","12/1/2016","$70,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142852/0/60/45/3bdc501f5673c15424e278775a55d136/13/b93269e4bfad5562356b936521b0936a/262142852.JPG","R2121225","Residential Detached","S","2281 BASALT AVENUE","Red Bluff/Dragon Lake","$72,500","20","3","1962","0.00","HOUSE","11/22/2016","$72,500"
