"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262053643/0/60/45/7ab8dc9ce68bd2b3bc1daf06ecd14df6/13/21553156322e6314118e8f69649167cb/262053643.JPG","R2032016","Land Only","S","1015 W 3RD AVENUE","Prince Rupert - City","$15,000","275",,,"2,500.00",,"11/4/2016","$15,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261883916/0/60/45/69f585b4a627e649944a7bcea8a9c771/13/80b9837281583e99ffc3e662c28a2982/261883916.JPG","N246820","Land Only","S","LOT 29 YORK DRIVE","Vanderhoof - Rural","$17,500","485",,,"0.00",,"11/7/2016","$17,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143807/0/60/45/ef06f72d53abf42d8f9f393d8f1422e8/15/a35c4a337d8c04c26e9c57141d2d4ff0/262143807.JPG","R2122180","Residential Detached","S","3 20071 24 AVENUE","Brookswood Langley","$19,000","3","2","1968","0.00","MANUF","11/9/2016","$19,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262129895/0/60/45/33b95271c7e9da221d29a93595f6e255/15/3740a23db771730ea40ea9d95d7a37f4/262129895.JPG","R2108268","Residential Detached","S","66 8190 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$27,900","60","2","1967","0.00","MANUF","11/11/2016","$27,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262136133/0/60/45/046498e1048cb79817273723465af27a/14/b838301ed0e6774ab0114e1cfc3c1463/262136133.JPG","R2114506","Residential Detached","S","26 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$30,000","38","2","1981","0.00","HOUSE","11/7/2016","$30,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103642/0/60/45/9ffaf5cd828dd333238f2bae9dca3346/13/857e20b651895dd5e0cf0c10c16f5f15/262103642.JPG","R2082015","Land Only","S","LOT 117 BLOCK DRIVE","108 Ranch","$30,000","151",,,"0.00",,"11/14/2016","$30,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262138731/0/60/45/25c7bb0bf188b5d5c0a6502e289d632b/13/6497eea5338f8b359d650d549dfbd2b3/262138731.JPG","R2117104","Residential Detached","S","62 95 LAIDLAW ROAD","Smithers - Rural","$34,500","22","2","1973","0.00","MANUF","11/5/2016","$34,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143859/0/60/45/664807a6291ab212628c8078375e7a3d/15/1fbecbf5fd6765f7dc849f89417638bd/262143859.JPG","R2122232","Residential Detached","S","84 3300 HORN STREET","Central Abbotsford","$35,000","4","2","1982","0.00","MANUF","11/10/2016","$35,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144114/0/60/45/951fc58e8860a91128a1ff3526f3e663/15/92ea08b68d553bdb63cc98ddb01f2704/262144114.JPG","R2122487","Residential Detached","S","18 4426 232 STREET","Salmon River","$37,000","4","2","1971","0.00","MANUF","11/11/2016","$37,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262079551/0/60/45/fa60fa3f993d1b81b8afe5ee3e9ad518/13/798c8e67f8d693f6e8ce0d0b6ea7a102/262079551.JPG","R2057924","Land Only","S","BEDORE ROAD","Burns Lake - Rural West","$37,000","211",,,"0.00",,"11/10/2016","$37,000"
