"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142720/0/60/45/b8c7742c6062c6b945c2cc7c00e72095/15/13ce80273aa2f90db6ddfe3019de57df/262142720.JPG","R2121093","Residential Detached","S","60 15820 FRASER HIGHWAY","Fleetwood Tynehead","$9,000","1","2","1975","0.00","MANUF","11/2/2016","$9,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262093740/0/60/45/f496fd7c635d684532773b0a5109cf41/13/d9d4d91b9669f87c7feabc662db74926/262093740.JPG","R2072113","Land Only","S","2876 HOOVER BAY ROAD","Canim/Mahood Lake","$12,500","167",,,"0.00",,"11/3/2016","$12,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260352709/0/60/45/3d94f5c6eebca18bf092894c92b47196/13/f93ff9b4e61d275648cdafae1acf110d/260352709.JPG","N228686","Land Only","S","LOT 7 CANDLE DRIVE","Canim/Mahood Lake","$14,000","1232",,,"0.00",,"11/3/2016","$14,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262053643/0/60/45/7ab8dc9ce68bd2b3bc1daf06ecd14df6/13/21553156322e6314118e8f69649167cb/262053643.JPG","R2032016","Land Only","S","1015 W 3RD AVENUE","Prince Rupert - City","$15,000","275",,,"2,500.00",,"11/4/2016","$15,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261833426/0/60/45/e4d0880efe085d73d203a54cc569a099/13/886bf11c7cddff7db8caf03ec97421aa/261833426.JPG","N246217","Land Only","S","LOT 47 KYLLO DRIVE","108 Ranch","$19,000","466",,,"0.00",,"10/29/2016","$19,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262121469/0/60/45/2c1b02ffd5d87a7590da5edfdb91f5ff/13/92a29c2dc2da3c76309dfdde2c66e701/262121469.JPG","R2099842","Residential Detached","S","41 654 NORTH FRASER DRIVE","Quesnel - Town","$27,000","86","2","1978","0.00","MANUF","10/29/2016","$27,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130468/0/60/45/dbff2ee33614352fe0532d3ce34b87ed/13/ac4265f5f7210a8e61c15fa584a1b4b7/262130468.JPG","R2108841","Residential Detached","S","60 3889 MULLER AVENUE","Thornhill","$30,000","48","1","1975","0.00","MANUF","11/1/2016","$30,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262138731/0/60/45/25c7bb0bf188b5d5c0a6502e289d632b/13/6497eea5338f8b359d650d549dfbd2b3/262138731.JPG","R2117104","Residential Detached","S","62 95 LAIDLAW ROAD","Smithers - Rural","$34,500","22","2","1973","0.00","MANUF","11/5/2016","$34,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262127292/0/60/45/e4e8faa74f6d5713caf7897f58d341f2/16/efb05df3a2fb9b2d8cbb4132b8864b1f/262127292.JPG","R2105665","Land Only","S","LOT 61 TIMBERLINE ROAD","Pender Harbour Egmont","$35,000","55",,,"18,731.00",,"10/31/2016","$35,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124967/0/60/45/ae84467a2099ffc109c9c9a9728d868b/13/fcac9c4dac6e4d7d48674c2e5058ac08/262124967.JPG","R2103340","Residential Detached","S","7752 BREWER AVENUE","Burns Lake - Rural West","$35,050","73","0","1950","0.00","HACR","10/31/2016","$35,050"
