"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262115672/0/60/45/1144ad92d38520d959142bed0df6dcb4/13/6969102f26f7e8c0b2d5427f8391b587/262115672.JPG","R2094045","Land Only","S","LOT 55 CUMSU PLACE","108 Ranch","$12,500","62",,,"0.00",,"9/20/2016","$12,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262111131/0/60/45/3196c03cdba424862c7b060f3594568c/13/a0a91c13d7909da08eeb9024c84a8a3a/262111131.JPG","R2089504","Land Only","S","NASS VALLEY","Terrace - Northwest/Rosswood","$13,100","73",,,"0.00",,"9/17/2016","$13,100"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130611/0/60/45/f48e338eb68f35ad7a179fbb4ba76d9a/16/a44f6dd7aa79498c81919495f3a22ede/262130611.JPG","R2108984","Residential Detached","S","18 6571 KING GEORGE BOULEVARD","West Newton","$15,800","3","2","1968","0.00","MANUF","9/15/2016","$15,800"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126431/0/60/45/b0ee853871db2d15f0fe2ad2d473ec18/13/31b9f1d69ed9096d0bc1d07a3d1bef0f/262126431.JPG","R2104804","Land Only","S","LOT 38 SELLARS ROAD","Canim/Mahood Lake","$20,000","26",,,"0.00",,"9/19/2016","$20,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261969385/0/60/45/0ae9bbdffec129d97d12070fb4ebad3a/13/94ac5304e9a7555e265eea27bf37562e/261969385.JPG","N247913","Residential Detached","S","J-15 653 W COLUMBIA AVENUE","Kitimat","$25,000","398","2","1973","0.00","MANUF","9/15/2016","$25,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261793574/0/60/45/144133a36ce1f5d6c2d1f688ac35dd3d/13/f6cf294ff69dd66d42720cf87ddc3c43/261793574.JPG","N245723","Land Only","S","LOT 2 TIBBETS ROAD","Burns Lake - Rural East","$26,000","479",,,"0.00",,"9/18/2016","$26,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260975057/0/60/45/5a0db2ff54fd20f895d09e4944bd6d01/13/8a1801f394bdc56becba823116f29d0e/260975057.JPG","N235822","Land Only","S","2278 TIMOTHY ROAD","Quesnel Rural - South","$26,000","860",,,"0.00",,"9/14/2016","$26,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262128401/0/60/45/f0d88267873834342a1e43333b8c1072/16/5f086f1e0245949729bc7b54f58dfe03/262128401.JPG","R2106774","Residential Detached","S","7854 PETERSON ROAD","Fraser Lake","$28,000","18","2","1980","0.00","HOUSE","9/15/2016","$28,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126412/0/60/45/63e3d7c060be602fc2cec87f0a1fbfe6/13/ead4fb5f82f7e05d53a651b346520747/262126412.JPG","R2104785","Land Only","S","LOT 25 NICKEL RIDGE AVENUE","Quesnel - Town","$33,000","21",,,"0.00",,"9/20/2016","$33,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126408/0/60/45/64a823c4982012526c4a87f020d07469/13/a2c281a3101be8f8c16e97663ddfa28e/262126408.JPG","R2104781","Land Only","S","LOT 23 NICKEL RIDGE AVENUE","Quesnel - Town","$34,000","21",,,"0.00",,"9/20/2016","$34,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262127132/0/60/45/8c8594c7ad11c9246f2250bbf0aac978/15/916150a370babab02c0ada71f557fc22/262127132.JPG","R2105505","Residential Detached","S","13 31313 LIVINGSTONE AVENUE","Abbotsford West","$36,000","10","2","1976","0.00","MANUF","9/16/2016","$36,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124751/0/60/45/441b3a44ebc9bf0dca81c4a9a4c61d53/13/c482b89f35ecd56de7b375c7ed486555/262124751.JPG","R2103124","Residential Attached","S","301 398 RODDIS DRIVE","Quesnel - Town","$40,000","31","2","9999","0.00","APTU","9/20/2016","$40,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262035630/0/60/45/6e86021d832ba0541391cbb8a2ecca0a/13/e7e0fcf5640f6d4a95a568a9bbe7f117/262035630.JPG","R2014003","Land Only","S","BLK C CAMPBELL ROAD","100 Mile House - Rural","$41,000","310",,,"0.00",,"9/13/2016","$41,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262049295/0/60/45/63b5c7dfa40dc67222ca62b691a1725f/16/6d72ea400847a43fb386d50942581cb1/262049295.JPG","R2027668","Land Only","S","LOT 72 GREENTREE ROAD","Pender Harbour Egmont","$45,000","237",,,"19,602.00",,"9/13/2016","$45,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262123910/0/60/45/b44b2907beb933b60b7efa6489116b73/13/c88208697a52831fb6ed226744fad7f8/262123910.JPG","R2102283","Land Only","S","LOT 4 GILL PLACE","Cluculz Lake","$54,000","32",,,"0.00",,"9/19/2016","$54,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262099293/0/60/45/1ce984e94c5d6d77f4bffab96201c6d8/13/538bd04b92731036c7f8af8d9d790455/262099293.JPG","R2077666","Residential Detached","S","32 770 11TH AVENUE","Williams Lake - City","$54,500","100","2","1991","0.00","MANUF","9/14/2016","$54,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051005/0/60/45/a021094f0c7798d965a6d606731e8c31/13/6a729d69abad6d0f84b82ff0988260d6/262051005.JPG","R2029378","Land Only","S","7628 FARQUHARSON ROAD","Deka/Sulphurous/Hathaway Lakes","$55,000","231",,,"0.00",,"9/14/2016","$55,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122601/0/60/45/6ec73a68337bcf6fb00c53956169d7cd/13/08a2541261002ad6bcf978800960637a/262122601.JPG","R2100974","Residential Detached","S","7 BC SPRUCE ROAD","Fort St. James - Rural","$56,000","29","2","1995","0.00","MANUF","9/13/2016","$56,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126674/0/60/45/49eb741206c1f29711b2fd27f1629183/13/4eed6c47f6b67496b97f39d9f30db6b0/262126674.JPG","R2105047","Residential Detached","S","119 8420 ALASKA ROAD","Fort St. John - City SE","$56,000","16","3","1978","0.00","MANUF","9/14/2016","$56,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262123648/0/60/45/fb5e30afd772a30ad7dd60326b03c45e/13/272053fc2614bf241638a2c41ce1b904/262123648.JPG","R2102021","Residential Detached","S","35 5164 HART HIGHWAY","Hart Highway","$58,000","30","2","1999","0.00","MANUF","9/17/2016","$58,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112518/0/60/45/2dd5bc0be5f803083e49f2c662944c07/13/976eb3932f261504bcf888e8b09135e7/262112518.JPG","R2090891","Residential Detached","S","32A 4619 QUEENSWAY DRIVE","Thornhill","$58,000","71","2","1973","0.00","MANUF","9/21/2016","$58,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126659/0/60/45/904240eec0349077123afa5fa3f5d7eb/13/6bf7773dcd8b98306ec90848e31a0684/262126659.JPG","R2105032","Land Only","S","LOT A MCMILLAN ROAD","Horse Lake","$60,000","16",,,"0.00",,"9/17/2016","$60,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262085711/0/60/45/bddc1ba08e403674f926624391e9cba4/13/a5605e8bb78436cbb9f443f79e96cd28/262085711.JPG","R2064084","Residential Detached","S","85 560 SODA CREEK ROAD","Williams Lake - City","$62,000","144","3","2009","0.00","MANUF","9/19/2016","$62,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262125088/0/60/45/03bb8f20aaefa94e10872b94fbcafa42/14/84ecc3b8a1c36c8601ddfc65f0dbaa7d/262125088.JPG","R2103461","Land Only","S","21534 RICHMOND DRIVE","Hope Kawkawa Lake","$63,500","25",,,"0.00",,"9/16/2016","$63,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262125677/0/60/45/525a6677d2e6b5a3cd3af5b50fa4f819/13/0836079f4c38370813e7536e8bbc3af1/262125677.JPG","R2104050","Land Only","S","LOT 1 MIWORTH ROAD","Miworth","$68,000","25",,,"0.00",,"9/20/2016","$68,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042850/0/60/45/f2e1e83fdfbc78b91b4d3387a9325f16/13/6b66c9f5590a50484cca751f087b6e53/262042850.JPG","R2021223","Land Only","S","DL 7366 CEDARSIDE ROAD","Valemount - Town","$69,000","281",,,"0.00",,"9/13/2016","$69,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262117436/0/60/45/b944b9de6f19cbae043f483424dd681b/13/e4004305ad257f99fbe7ce5fdc5f7048/262117436.JPG","R2095809","Residential Detached","S","1 221 RAYMOND ROAD","Smithers - Rural","$69,000","54","2","1973","0.00","MANUF","9/20/2016","$69,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262080548/0/60/45/102bc4d640aa135a299695d01d612595/16/a0a65d009f8e5e1cd70458d73263cf91/262080548.JPG","R2058921","Residential Detached","S","5958 NORTH LAKE ROAD","Pender Harbour Egmont","$73,000","149","3","9999","30,000.00","HOUSE","9/14/2016","$73,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262121338/0/60/45/f87286f56d8da1f2387d131393d77b99/15/b204cdd28fd6155426dc70cffe556818/262121338.JPG","R2099711","Residential Attached","S","122 45598 MCINTOSH DRIVE","Chilliwack W Young-Well","$80,000","41","2","1981","0.00","APTU","9/20/2016","$80,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124282/0/60/45/8579a29e0b14956dd6c570c778b1cf14/13/d8f209f810c8b2d4cb1fec886bd9943c/262124282.JPG","R2102655","Residential Detached","S","3927 CARAVELLE ROAD","Quesnel - Rural North","$80,000","29","2","1974","0.00","MNFLD","9/17/2016","$80,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262125660/0/60/45/99ca3c14f7a74b1846417dfb962dacaf/16/6da63059cf5859d38af95400258d115a/262125660.JPG","R2104033","Residential Attached","S","407B 2020 LONDON LANE","Whistler Creek","$80,000","20","1","2008","0.00","APTU","9/14/2016","$80,000"
