"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262135025/0/60/45/9e6136ef136f980a3d36e45c085af2df/13/a81368576fb8f9ef6b9fa778c2c71c13/262135025.JPG","R2113398","Residential Detached","S","T-9 560 SODA CREEK ROAD","Williams Lake - Rural North","$12,500","4","2","1969","0.00","MANUF","10/4/2016","$12,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122091/0/60/45/0895048d23b9c52be91289da0fb78dbc/13/7c54a60fd420fc0021c2e88d59d6217d/262122091.JPG","R2100464","Residential Detached","S","63 12842 OLD HOPE ROAD","Lakeshore","$15,000","50","2","9999","0.00","MANUF","9/28/2016","$15,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133931/0/60/45/cef8a86d9faa4d38cc057c0562f265cf/15/3cb60930cbc5ae3d62ed8f5521a8f43b/262133931.JPG","R2112304","Residential Detached","S","2 12662 112A AVENUE","Bridgeview","$25,000","3","2","1975","0.00","MANUF","9/29/2016","$25,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262123944/0/60/45/88d51290cab3498800bdc958df726308/13/47efed6b1bacbc842825142d970fa6b5/262123944.JPG","R2102317","Residential Detached","S","28 101 ELM STREET","Valemount - Town","$29,000","43","3","1978","0.00","MANUF","9/29/2016","$29,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262066065/0/60/45/fd280a69b3c907fa6d2eb67283f59cc0/13/ffef39804e65c681538ca6137c77f5de/262066065.JPG","R2044438","Residential Detached","S","21 4195 WILDWOOD ROAD","Williams Lake - Rural North","$37,000","204","2","1996","0.00","MANUF","9/29/2016","$37,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261753447/0/60/45/d675dc6d5c9e0a2d75b7d4806fd1c04a/13/f43b7fcd80fae82b0a73fdd9128f2c20/261753447.JPG","N245217","Land Only","S","LOT B FAWN CREEK ROAD","Horse Lake","$40,000","503",,,"0.00",,"9/26/2016","$40,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262060155/0/60/45/f26d7a308ddfaa3b9134efc93da56aaa/13/cb23759c0cb4f3fdc24fbf8762022a92/262060155.JPG","R2038528","Land Only","S","7577 INGENTO ROAD","Deka/Sulphurous/Hathaway Lakes","$40,000","220",,,"0.00",,"10/1/2016","$40,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112142/0/60/45/0b4f0f788746820e108f2a8954f71b8b/13/77bd10715440bdd5c50f53d083d9d167/262112142.JPG","R2090515","Land Only","S","JOES LAKE ROAD","Williams Lake - Rural West","$40,000","85",,,"0.00",,"10/4/2016","$40,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261682632/0/60/45/773ef6b36400662babb778d8637f8525/13/06d4b68c487eca8ed25d69a790a30258/261682632.JPG","N244331","Land Only","S","805 HOY SUB ROAD","Fort St. James - Rural","$40,000","523",,,"0.00",,"10/1/2016","$40,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262098656/0/60/45/7e7133fe3ea427a9440d20053b3a242f/13/c376605fe453bb733dc782669b9ec880/262098656.JPG","R2077029","Residential Detached","S","41 4625 GRAHAM AVENUE","Terrace - City","$41,000","121","3","1974","0.00","MANUF","10/4/2016","$41,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261990830/0/60/45/0264d3515fc11b1c6927693566602b90/13/ae4edf73f0aa525008d7cc771816e9e7/261990830.JPG","N248166","Land Only","S","LT A 27 HIGHWAY","Vanderhoof - Rural","$50,000","404",,,"0.00",,"10/4/2016","$50,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262110538/0/60/45/3f4d84aeac8f7ea69733bcd8c35495cf/15/615f53b09088aca5030c3a11faa0594c/262110538.JPG","R2088911","Residential Detached","S","48 4426 232 STREET","Salmon River","$50,000","88","3","1973","0.00","MANUF","10/2/2016","$50,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262125695/0/60/45/6c29f75b6a4391cf31d54ad378cd50b1/13/1b2848b3b15dd0842c0f12ed198da95c/262125695.JPG","R2104068","Residential Attached","S","103 1288 SUMMIT AVENUE","Prince Rupert - City","$54,000","33","3","1968","0.00","APTU","9/28/2016","$54,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262099172/0/60/45/5ae6e521edbc3c0e2ca723cfc311630a/14/87373804cd7e8ebc3f41b4c4cd479abe/262099172.JPG","R2077545","Residential Detached","S","44 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$55,000","114","3","1998","0.00","MANUF","9/27/2016","$55,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262114948/0/60/45/1d3c435fdb3af35b97a0756dbf58532a/16/f6f226d3d3a5dbed8b3efe62f3d6f62a/262114948.JPG","R2093321","Residential Attached","S","336B 2036 LONDON LANE","Whistler Creek","$58,000","71","1","2001","0.00","RECRE","9/28/2016","$58,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133613/0/60/45/f31add7b67b3d3691f170824c5f11c7a/16/b486defcdad449bf422c1ad046213526/262133613.JPG","R2111986","Residential Detached","S","39 201 CAYER STREET","Maillardville","$61,500","4","2","1973","0.00","MANUF","9/30/2016","$61,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262077054/0/60/45/c559b4294efaf3cdc3ec98502f08084e/13/4fccd4442936a4e5e18297b2f4fd2547/262077054.JPG","R2055427","Land Only","S","28155 CLARK ROAD","South Francois","$65,000","178",,,"0.00",,"10/1/2016","$65,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133749/0/60/45/ac47718f2a46a58afdcaa3a2f9965d82/15/41d8777eda4024f6cd33e4f64d5e7ead/262133749.JPG","R2112122","Residential Detached","S","77 31313 LIVINGSTONE AVENUE","Abbotsford West","$67,000","8","2","1975","0.00","MANUF","10/4/2016","$67,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133036/0/60/45/d2d59b3c1da0db7124bcd46d76b677c7/14/c0fa10667f03ad57362830cc6f5526e0/262133036.JPG","R2111409","Residential Attached","S","340 1783 AGASSIZ-ROSEDALE HIGHWAY","Agassiz","$67,000","2","1","1975","0.00","APTU","9/28/2016","$67,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262117431/0/60/45/384c97282607e61363248054b2bb8ee0/13/ef987024046777bbc5125d252842bf40/262117431.JPG","R2095804","Residential Detached","S","308 WILLIS STREET","Quesnel - Town","$70,000","69","3","9999","6,000.00","HOUSE","10/2/2016","$70,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262095976/0/60/45/06dc992acbc35cc8884883149aa03e7f/14/5968fda96ef95fe463ad62740b558e00/262095976.JPG","R2074349","Residential Attached","S","2 46210 MARGARET AVENUE","Chilliwack E Young-Yale","$75,000","122","1","1986","0.00","APTU","9/29/2016","$75,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262134612/0/60/45/562f8910bf91c543203752a9ce45f5c7/16/3089514f6d9fcb13f0f7cf117b4e2426/262134612.JPG","R2112985","Residential Attached","S","101 13530 HILTON ROAD","Bolivar Heights","$75,000","5","1","1976","0.00","APTU","10/1/2016","$75,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262121367/0/60/45/330472bf869cd883e526d806852e88f6/13/2dcd9dd38edac77997c27c87e0aefb8b/262121367.JPG","R2099740","Land Only","S","E 16 HIGHWAY","Burns Lake - Rural East","$80,000","62",,,"0.00",,"9/26/2016","$80,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262089658/0/60/45/ff7782b4d67559f766d08486c82e8399/13/c6289f4975cad09eddef84570ac4369b/262089658.JPG","R2068031","Land Only","S","7171 NATH ROAD","Bridge Lake/Sheridan Lake","$80,000","156",,,"19,270.00",,"9/30/2016","$80,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126365/0/60/45/10f71081241ae76f336715b4638e2919/16/25477fb9b171c26e4c73f172dbaec618/262126365.JPG","R2104738","Residential Attached","S","308 A 2020 LONDON LANE","Whistler Creek","$80,250","35","1","2001","0.00","APTU","10/3/2016","$80,250"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262084436/0/60/45/8815eb71630c7adb2684a6352237f1c4/13/17d4b3849182efdae6897db0630bd155/262084436.JPG","R2062809","Residential Detached","S","35 375 HORSE LAKE ROAD","100 Mile House - Town","$80,900","157","2","1992","0.00","MANUF","9/30/2016","$80,900"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259635735/0/60/45/ae0f531be121027039e97c7047729f6e/13/f69bffd00479eef3b87566e854369688/259635735.JPG","N220603","Land Only","S","LOT 1 5 HIGHWAY","Valemount - Rural South","$82,000","1529",,,"0.00",,"9/26/2016","$82,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262132822/0/60/45/0237a020605e2b88c4d69c5f6b5859de/15/74b8c725b47f1d3ff4ca3d5b7eaf35d8/262132822.JPG","R2111195","Residential Detached","S","103 3031 200 STREET","Brookswood Langley","$82,000","5","2","1975","0.00","MANUF","9/28/2016","$82,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262130511/0/60/45/c521438ac03723df038609d3adb5fec1/14/9c1b6f26e6937058f96161a7688402f6/262130511.JPG","R2108884","Residential Detached","S","7 45640 WATSON ROAD","Sardis West Vedder Rd","$82,750","20","3","1975","0.00","MANUF","10/4/2016","$82,750"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133694/0/60/45/ec5202051a49f5e6706ed4fc46f033f0/16/a489192211dfd17e51a902455c1f0d0f/262133694.JPG","R2112067","Residential Attached","S","323 4899 PAINTED CLIFF ROAD","Benchlands","$84,000","13","0","1996","0.00","APTU","10/4/2016","$84,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262123586/0/60/45/60f6323b28fcd492dbbe4696a87f0238/16/cee60f32899034e02a7a21fa839c643e/262123586.JPG","R2101959","Land Only","S","LOT 95 MERRILL ROAD","Pender Harbour Egmont","$85,000","48",,,"13,000.00",,"10/3/2016","$85,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262132288/0/60/45/39b6fcadbdf09c21632bb92975f41c57/15/f10092a87656eaeb7dde64703e76d752/262132288.JPG","R2110661","Residential Attached","S","104 1909 SALTON ROAD","Central Abbotsford","$87,000","14","1","1975","0.00","APTU","10/1/2016","$87,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262132466/0/60/45/da9fe2da61acebb462777de696c6ce4c/14/c9804670d988c0d3da42bcbc177780bb/262132466.JPG","R2110839","Residential Detached","S","15 1884 HEATH ROAD","Agassiz","$91,000","11","3","1983","0.00","MANUF","10/3/2016","$91,000"
