"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262100955/0/60/45/3b88875d001e2728a615df3d4cb46c10/13/e8fc5a6d8839b97416f75d5194e69cad/262100955.JPG","R2079328","Land Only","S","LOT 4 NORTH ARM OF STUART LAKE","Fort St. James - Rural","$12,000","89",,,"0.00",,"9/6/2016","$12,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262118840/0/60/45/ea72798098579e6472d037b4911445f4/13/6f5fbb433ec9f131e58f8bec584fa2f9/262118840.JPG","R2097213","Residential Detached","S","1 95 MOUNTAIN VIEW ROAD","McBride - Town","$14,000","40","2","1980","0.00","MANUF","9/6/2016","$14,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262120879/0/60/45/a3728f8e368c2298ebac62fb5c3c2512/13/5661f736e079e164cf27d92e78b31836/262120879.JPG","R2099252","Land Only","S","LOT 1 TIBBLES ROAD","Quesnel - Rural West","$20,000","37",,,"0.00",,"9/10/2016","$20,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260975057/0/60/45/5a0db2ff54fd20f895d09e4944bd6d01/13/8a1801f394bdc56becba823116f29d0e/260975057.JPG","N235822","Land Only","S","2278 TIMOTHY ROAD","Quesnel Rural - South","$26,000","860",,,"0.00",,"9/14/2016","$26,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126881/0/60/45/a34f504183344e68821f901d993fbb17/13/fdc88c77a9577c1ab5e9550da7fcc873/262126881.JPG","R2105254","Residential Detached","S","36 457 VANDERVIEW DRIVE","Vanderhoof - Town","$26,000","9","2","1974","0.00","MANUF","9/10/2016","$26,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262125016/0/60/45/4994d4f2c6fdaacb7de79e8102fa96d2/13/1b0f832bf4c1cde9bb63340cbbb5822f/262125016.JPG","R2103389","Residential Detached","S","1144 LOOP ROAD","Vanderhoof - Town","$28,600","24","2","1970","19,800.00","MNFLD","9/12/2016","$28,600"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262115508/0/60/45/102149d62efb88bbe0d3c91a666acb30/13/810b17f2e933fb704009e1a076ebea38/262115508.JPG","R2093881","Land Only","S","5003 SPEED CRESCENT","Horsefly","$30,000","49",,,"0.00",,"9/8/2016","$30,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262128158/0/60/45/895435f52f99f488462f9e59f4ff5d0c/15/96240f773fa2fc43774fea520d801300/262128158.JPG","R2106531","Residential Attached","S","26 11 SELWYN DRIVE","Mackenzie -Town","$36,000","12","3","1967","0.00","TWNHS","9/12/2016","$36,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262090802/0/60/45/1916c73e2def6498f847e2ea1d84097a/13/65197b0e5e96be53787c08db84751b6f/262090802.JPG","R2069175","Land Only","S","3900 ROSENAU ROAD","Canim/Mahood Lake","$38,000","122",,,"0.00",,"9/10/2016","$38,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262111788/0/60/45/be54483e6fab4a77adfff6c604651c98/13/8cdeeffcae0ef07c771363f2882262bc/262111788.JPG","R2090161","Land Only","S","DL 962 NORTH ROAD","Fort St. James - Rural","$38,000","57",,,"0.00",,"9/6/2016","$38,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262035630/0/60/45/6e86021d832ba0541391cbb8a2ecca0a/13/e7e0fcf5640f6d4a95a568a9bbe7f117/262035630.JPG","R2014003","Land Only","S","BLK C CAMPBELL ROAD","100 Mile House - Rural","$41,000","310",,,"0.00",,"9/13/2016","$41,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262049295/0/60/45/63b5c7dfa40dc67222ca62b691a1725f/16/6d72ea400847a43fb386d50942581cb1/262049295.JPG","R2027668","Land Only","S","LOT 72 GREENTREE ROAD","Pender Harbour Egmont","$45,000","237",,,"19,602.00",,"9/13/2016","$45,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262077602/0/60/45/044af24746006cc02e2694a437951d63/13/985d0060c6b8a50be40b74541233355b/262077602.JPG","R2055975","Land Only","S","DL 1401 BLACKWATER ROAD","Bouchie Lake","$46,350","154",,,"0.00",,"9/6/2016","$46,350"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122370/0/60/45/d002f1940b01e49ccb9dd7ec848bf24b/13/c041600a70b0f9fbdb520f36c3ef2e5b/262122370.JPG","R2100743","Land Only","S","24690 DOG CREEK ROAD","Fraser Lake","$50,000","26",,,"0.00",,"9/10/2016","$50,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262099293/0/60/45/1ce984e94c5d6d77f4bffab96201c6d8/13/538bd04b92731036c7f8af8d9d790455/262099293.JPG","R2077666","Residential Detached","S","32 770 11TH AVENUE","Williams Lake - City","$54,500","100","2","1991","0.00","MANUF","9/14/2016","$54,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051005/0/60/45/a021094f0c7798d965a6d606731e8c31/13/6a729d69abad6d0f84b82ff0988260d6/262051005.JPG","R2029378","Land Only","S","7628 FARQUHARSON ROAD","Deka/Sulphurous/Hathaway Lakes","$55,000","231",,,"0.00",,"9/14/2016","$55,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122601/0/60/45/6ec73a68337bcf6fb00c53956169d7cd/13/08a2541261002ad6bcf978800960637a/262122601.JPG","R2100974","Residential Detached","S","7 BC SPRUCE ROAD","Fort St. James - Rural","$56,000","29","2","1995","0.00","MANUF","9/13/2016","$56,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262126674/0/60/45/49eb741206c1f29711b2fd27f1629183/13/4eed6c47f6b67496b97f39d9f30db6b0/262126674.JPG","R2105047","Residential Detached","S","119 8420 ALASKA ROAD","Fort St. John - City SE","$56,000","16","3","1978","0.00","MANUF","9/14/2016","$56,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261953309/0/60/45/2d473364f4947f4b4f5e8d403d55565a/13/d5c8d1e07c3276722ccdc6773a3dfb52/261953309.JPG","N247695","Residential Attached","S","7 11 SELWYN DRIVE","Mackenzie -Town","$68,000","330","3","1967","0.00","TWNHS","9/5/2016","$68,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042850/0/60/45/f2e1e83fdfbc78b91b4d3387a9325f16/13/6b66c9f5590a50484cca751f087b6e53/262042850.JPG","R2021223","Land Only","S","DL 7366 CEDARSIDE ROAD","Valemount - Town","$69,000","281",,,"0.00",,"9/13/2016","$69,000"
