"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261953007/0/60/45/e0a2b283e29f5d5b871a327ebe5f1c40/15/927261e2231bd405e2190e02869dd045/261953007.JPG","F1449225","Residential Detached","S","162 7790 KING GEORGE BOULEVARD","East Newton","$6,000","4","2","1975","0.00","MANUF","8/14/2015","$6,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261075591/0/60/45/0f564c5b97835d202f6b23a477bbb2f8/13/af4860b5d40fdeeae038ed457b4d7629/261075591.JPG","N237332","Land Only","S","1997 WIDGEON BOULEVARD","Masset","$9,000","423",,,"7,200.00",,"8/14/2015","$9,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261957571/0/60/45/17b0afe8874362cf511de429b6c5fea7/13/887786053e91e4acfed62a911264c8f7/261957571.JPG","N247740","Land Only","S","LOT 254 MERLYN ROAD","Deka/Sulphurous/Hathaway Lakes","$15,500","13",,,"0.00",,"8/13/2015","$15,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261836889/0/60/45/0d4d1957181f0fe60b417c58fc84d13c/13/dba02d7cc3dc80cb872216af581c0223/261836889.JPG","N246243","Land Only","S","377 VON LIENEN ROAD","Hixon","$20,000","67",,,"0.00",,"8/14/2015","$20,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261902855/0/60/45/05738c1d4f583fcc6b90ce45a241e16e/15/1a6110f59a2f7efc76d63744225d298c/261902855.JPG","F1447368","Residential Detached","S","105 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$20,000","26","2","1976","0.00","MANUF","8/13/2015","$20,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261939992/0/60/45/fd961b8a2aa0bb0fcfe824b2cb99ad75/15/ab71fc7e4630d6c454eea62abe930426/261939992.JPG","F1448741","Residential Detached","S","28 16039 FRASER HIGHWAY","Fleetwood Tynehead","$22,000","10","2","1971","0.00","MANUF","8/14/2015","$22,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261746723/0/60/45/aab2eafbb03c218858ea01d60a7ed44c/13/6c7565cced1358fdb4efc26801a3e98e/261746723.JPG","N245118","Land Only","S","2085 EAGLE CREEK ROAD","Canim/Mahood Lake","$27,000","95",,,"0.00",,"8/17/2015","$27,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261481552/0/60/45/19d30d02a58b4308d85ffa7f13e84352/13/ab829168b6ef0ca91dbac2678d31014b/261481552.JPG","N242037","Land Only","S","1233 3RD AVENUE","Valemount - Town","$27,500","198",,,"8,800.00",,"8/14/2015","$27,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260402982/0/60/45/8816838ca4db97b69a54dfad5f0f5adb/13/f367d7b06312cb6343c6137974eb6e86/260402982.JPG","N229336","Land Only","S","11610 ROSS STREET","Hudsons Hope","$28,500","765",,,"0.00",,"8/18/2015","$28,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261917155/0/60/45/a55bc256d6f97a9d78526140e8767e0f/13/c2b89350be7193d350e64e072033aaf3/261917155.JPG","N247262","Residential Detached","S","1841 RAWLINGS ROAD","Bouchie Lake","$31,500","26","4","9999","0.00","HACR","8/17/2015","$31,500"
