"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261952477/0/60/45/a7137625e574170ee9bb5e6b780c9573/13/96046361285af4f8ea24312675226f49/261952477.JPG","N247683","Residential Detached","S","323 SIMON FRASER AVENUE","Fort St. James - Town","$17,500","25","3","9999","0.00","HOUSE","8/31/2015","$17,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261969435/0/60/45/6ec71f09879a95cfa6f548e7ee94c831/13/318ae85f3d884af4a89dfb81b43b8927/261969435.JPG","N247914","Residential Detached","S","A-5 5931 HART HIGHWAY","Birchwood","$20,000","11","2","1973","0.00","MANUF","8/28/2015","$20,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261327706/0/60/45/ecfd239c7dd40525f6eb1dac3c7db018/14/72b01aaf240bd769ca10bde972e20a3d/261327706.JPG","H1404195","Residential Detached","S","5 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$24,600","312","1","9999","0.00","MANUF","8/28/2015","$24,600"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261367409/0/60/45/34ea0faad892a0a8d458bf40bf292a2b/13/a38ab520d63f449303e1a933a6b45fc1/261367409.JPG","N240951","Land Only","S","230 PATERSON ROAD","Deka/Sulphurous/Hathaway Lakes","$26,000","292",,,"0.00",,"8/29/2015","$26,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261548925/0/60/45/209728508260c60f75a60d183a959966/15/b70b73373a791f192b5b40a67ecc50e1/261548925.JPG","F1433899","Residential Detached","S","32 9267 SHOOK ROAD","Stave Falls","$28,000","189","5","1971","0.00","MANUF","9/3/2015","$28,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260932312/0/60/45/e0e641627d36edbc70104096ea1cf52b/16/c365bb7cdefb709100e96e17532e96f4/260932312.JPG","V1060442","Land Only","S","237 MARINERS WAY","Mayne Island","$30,000","493",,,"0.00",,"8/30/2015","$30,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261798239/0/60/45/50ce84bfeca990bff5794a2a363e0941/13/b8f8fdd3e081efa44ada4231ac86feb6/261798239.JPG","N245880","Land Only","S","6398 KEITHLEY CREEK ROAD","Horsefly","$30,555","89",,,"0.00",,"8/31/2015","$30,555"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261937668/0/60/45/4b1464c046e9c886aabded9b960a0533/13/f25d9d06f39fccb61e041be5be6d20ec/261937668.JPG","N247519","Residential Detached","S","7520 WOMACK ROAD","Deka/Sulphurous/Hathaway Lakes","$34,000","32","2","9999","0.00","HOUSE","9/1/2015","$34,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261952042/0/60/45/9cc5e712db784b69d45e4d262ae47bbe/13/47c1dae1544e9057ead9f93445cbe03f/261952042.JPG","N247678","Residential Detached","S","1 1095 DYKE ROAD","McBride - Town","$34,000","19","2","1981","0.00","MANUF","8/29/2015","$34,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261985442/0/60/45/22f9300b8e1cf0e74782c2d2be51c300/16/1575b54850c7ed9b5ea89e6e4ad2dca3/261985442.JPG","V1140891","Residential Detached","S","5366 SUNSHINE COAST HIGHWAY","Sechelt District","$34,000","6","2","9999","0.00","HOUSE","8/31/2015","$34,000"
