"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039519/0/60/45/7c27321af43fdf1b508a2d6dc8f8c3e1/13/de377ac5b4c9e491b6c830799cf41920/262039519.JPG","R2017892","Land Only","S","LOT 3 RAINBOW DRIVE","Canim/Mahood Lake","$12,200","19",,,"0.00",,"12/14/2015","$12,200"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261992687/0/60/45/4ce889425f0fb3af0023034368cbe33c/13/ee2316232fb86ab27638bc7ce9be0974/261992687.JPG","N248183","Residential Detached","S","506 CENTER STREET","Burns Lake - Town","$15,000","109","3","9999","4,400.00","HOUSE","12/14/2015","$15,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262037666/0/60/45/d5300afc68741e24bbad94488f932856/15/cd6ccb6401a292993fc6a37b46ff9f01/262037666.JPG","R2016039","Residential Detached","S","7 9267 SHOOK ROAD","Hatzic","$15,000","32","3","1974","0.00","MANUF","12/18/2015","$15,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031160/0/60/45/cc2a13db62034f9e30494e612030cc8e/15/e3dee1d5a7b7159aeb7e024a515fff3e/262031160.JPG","R2009533","Residential Detached","S","106 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$19,000","60","2","1976","0.00","MANUF","12/18/2015","$19,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260195003/0/60/45/eb9edaaf5f0fa4fabceddf6d27bad963/13/8366ebd5e5ea4ea4fc1a38211915528c/260195003.JPG","N226358","Land Only","S","LOT 1 EASZEE DRIVE","108 Ranch","$20,000","976",,,"0.00",,"12/14/2015","$20,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261617429/0/60/45/b37de72fb50567f2c02b005e23942fbf/13/2c12ba775c7550e69be03a5acf9284f9/261617429.JPG","N243466","Land Only","S","53 KYLLO ROAD","108 Ranch","$20,000","264",,,"0.00",,"12/16/2015","$20,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261852524/0/60/45/21c37eebb09386e1308cebd043d65e2e/13/588b76b314bf414a7ad886369bf9fb5e/261852524.JPG","N246476","Residential Detached","S","27 5701 AIRPORT DRIVE","Fort Nelson - Rural","$21,000","177","2","2003","0.00","MANUF","12/14/2015","$21,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261964891/0/60/45/679636529c7df1c62c625f77b772d8f0/15/caaec81bac44e15d16c2f21cb52be77e/261964891.JPG","F1449689","Residential Detached","S","34 1840 160 STREET","King George Corridor","$23,000","125","3","1975","0.00","MANUF","12/17/2015","$23,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262003325/0/60/45/b094e69337b88221a1d0fff0ab870303/15/884a4799ff15ac3e495a2fb20cb8d7e1/262003325.JPG","F1451091","Residential Detached","S","23 4426 232ND STREET","Salmon River","$44,000","103","3","1972","0.00","MANUF","12/15/2015","$44,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262035971/0/60/45/17637b6d47a318b7d6e8a5d15b9ce367/13/7e82d74bc61d3ce1fb364ee1078fb6c8/262035971.JPG","R2014344","Residential Detached","S","25 2123 RIVERSIDE DRIVE","Smithers - Town","$53,500","38","3","1979","0.00","MANUF","12/14/2015","$53,500"
