"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029105/0/60/45/a105c8faa9dde8cb35908568b37696a6/13/71ab4abae8e0c836054951e2946ee8db/262029105.JPG","R2007478","Residential Detached","S","20 2025 GRANT'S FRONTAGE ROAD","Vanderhoof - Rural","$24,000","45","2","1993","0.00","MANUF","11/19/2015","$24,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261916288/0/60/45/aebbdaccaac4561c2f5f6eb4f7ec91c8/13/5ff94d8d9a235168236458389cfe593e/261916288.JPG","N247244","Residential Detached","S","42 3624 KALUM STREET","Terrace - City","$49,000","121","3","1984","0.00","MANUF","11/21/2015","$49,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262037040/0/60/45/e669e48a4666d6a039c5b2fe58cf49a6/15/61e6284803b8c06b25a3873a850b44b1/262037040.JPG","R2015413","Residential Attached","S","312 45744 SPADINA AVENUE","Chilliwack W Young-Well","$58,000","7","1","1981","0.00","APTU","11/18/2015","$58,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260964439/0/60/45/a7da761fe8e4e255997ff19215e1ce72/16/3b9d9d14d8a0fcc3fe7133b49f06465c/260964439.JPG","V1063052","Land Only","S","5680 CARMEL PLACE","Sechelt District","$59,000","561",,,"18,880.00",,"11/19/2015","$59,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031354/0/60/45/b54fd0e483aed29fb2a4cc82bf536b4e/15/585a64861378f9b84c1da54fe534bdc2/262031354.JPG","R2009727","Residential Detached","S","77 2315 198 STREET","Brookswood Langley","$59,000","26","2","1986","0.00","MANUF","11/16/2015","$59,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261964688/0/60/45/18b0cf57cfc8130229b3de5477f82cf0/13/9082fdaa2a23ae23a0e1cd0a5379a05d/261964688.JPG","N247841","Residential Detached","S","5290 3RD AVENUE","Hazelton","$60,000","94","3","1989","0.00","HACR","11/15/2015","$60,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262036461/0/60/45/640c8a3ae8536317bbba5547d8f70d0e/15/86180d51233de383e8eb000cb8f4f882/262036461.JPG","R2014834","Residential Attached","S","132 1909 SALTON ROAD","Central Abbotsford","$60,500","11","1","1976","0.00","APTU","11/21/2015","$60,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262026465/0/60/45/632e52f7406ba160c4a8bc9e6ecceb99/16/82c5fc1fe736f5321e6e2263d81a42ea/262026465.JPG","R2004838","Residential Attached","S","204 G4-4653 BLACKCOMB WAY","Benchlands","$62,500","54","1","2000","0.00","APTU","11/19/2015","$62,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262037049/0/60/45/619d53a277a635525d6b91e690c014bc/15/54e9810e9f07d26dde5239fabf63fe2a/262037049.JPG","R2015422","Residential Attached","S","301 45744 SPADINA AVENUE","Chilliwack W Young-Well","$68,500","7","2","1981","0.00","APTU","11/18/2015","$68,500"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034760/0/60/45/d233e1230ce583d4ca1a5e1bb66ee32d/13/afd1600a182af21d27da880b65a2808e/262034760.JPG","R2013133","Residential Attached","S","2 491A EVERGREEN CRESCENT","100 Mile House - Town","$73,000","20","3","9999","1,491.00","TWNHS","11/16/2015","$73,000"
