"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261560784/0/60/45/494573f23b4cc87f340ab528a94e001b/13/bff0116499f41cdb6790db3d538ff6c7/261560784.JPG","N242778","Land Only","S","723 FUTURE DRIVE","Quesnel - Rural North","$8,500","269",,,"0.00",,"11/27/2015","$8,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261626331/0/60/45/87012af04a531abde3aef77682b8d279/13/d2dbfac8043a26f5a703b6f512c7c774/261626331.JPG","N243578","Residential Detached","S","94 8420 ALASKA ROAD","Fort St. John - City SE","$10,000","248","1","1971","0.00","MANUF","12/3/2015","$10,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038118/0/60/45/1feafb3fe0141192fba84fdc2ed176b0/15/6194315c39699c8d860dc13c51c32ed3/262038118.JPG","R2016491","Residential Detached","S","102 7790 KING GEORGE BOULEVARD","East Newton","$10,000","8","3","1975","0.00","MANUF","11/27/2015","$10,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034130/0/60/45/efcb7a0a367f2bfc952ccbdd4d5786a6/13/5a7e6367cf8b144d5d27fd2a7f1608b7/262034130.JPG","R2012503","Land Only","S","LOT 2 TANOKA ROAD","Bouchie Lake","$12,500","27",,,"0.00",,"11/27/2015","$12,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038275/0/60/45/34f40d438eb7e046423525ede9e92f3f/13/0c1fc2420cb67aa4cb56001b280a6d30/262038275.JPG","R2016648","Residential Detached","S","42 634 ELM STREET","Red Bluff/Dragon Lake","$14,500","11","2","1988","0.00","MANUF","12/1/2015","$14,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261710913/0/60/45/1a0ee6f928ec7275d0b01bfbe9170640/13/c9ec4a62f7982379d8969c9fe57ffb59/261710913.JPG","N244684","Land Only","S","9900 HARTMAN ROAD","Western Acres","$20,000","206",,,"0.00",,"11/26/2015","$20,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261124286/0/60/45/4eae81c0bfe38453451fb8291283e513/13/a8023eb466827161e75ab06840ee654d/261124286.JPG","N238100","Land Only","S","LOT B BEEDLE ROAD","Burns Lake - Rural East","$20,000","508",,,"0.00",,"11/27/2015","$20,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261220777/0/60/45/6bb72a700933c9a8a1bf39eb146ad9e8/13/87e7aabfd8f23ede03aafdd0baf411f2/261220777.JPG","N239416","Land Only","S","LOT 12 HORN ROAD","Fort Fraser","$24,000","459",,,"0.00",,"11/30/2015","$24,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031394/0/60/45/ecebd11e6df12ee7a73aa179d64a522d/13/05e261ce04a0bcbc0d8c24a1e93bbf78/262031394.JPG","R2009767","Residential Detached","S","6011 MATSUDA ROAD","Lone Butte/Green Lk/Watch Lk","$28,000","46","0","9999","0.00","HOUSE","11/30/2015","$28,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261620468/0/60/45/34ebc993111296819e071db5b23a79a0/15/fa6ad9a17aa8059e2e22ed2bb1480fc7/261620468.JPG","F1436658","Land Only","S","78 14600 MORRIS VALLEY ROAD","Lake Errock","$48,000","246",,,"1,650.00",,"11/28/2015","$48,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032719/0/60/45/a4d10e3dfb5d70986019f19c80c3715a/14/3d01424f09bd7cfc8c59d79b7d1f23d9/262032719.JPG","R2011092","Residential Detached","S","222 45835 SLEEPY HOLLOW ROAD","Cultus Lake","$53,000","35","2","1989","0.00","MANUF","11/30/2015","$53,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262036116/0/60/45/422817588d43cf0bd8b77bab8db114b1/13/6775169a2336c32545879a26f0872e32/262036116.JPG","R2014489","Residential Detached","S","1909 MAPLE STREET","Connaught","$59,600","23","3","1953","5,115.00","HOUSE","11/27/2015","$59,600"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261124356/0/60/45/6bbe918c268b42642088b6f5b5ea22cd/13/8678a5233152cd2e62bbe6ec88ba58f7/261124356.JPG","N238104","Residential Detached","S","11410-11452 BEEDLE ROAD","Burns Lake - Rural East","$60,000","508","3","1962","0.00","HACR","11/27/2015","$60,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261765129/0/60/45/bb20d4a090ce28d9b5c04771cbf80ef3/14/f643ba7f71160a204de13af87b7bb0b7/261765129.JPG","H2152102","Residential Attached","S","201 45561 YALE ROAD","Chilliwack W Young-Well","$61,000","193","1","2008","0.00","APTU","12/1/2015","$61,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262036011/0/60/45/6b3c6d7fefa85e451b8a0fea829febae/16/04743627da800d9ffbbcb047d824edb4/262036011.JPG","R2014384","Residential Attached","S","306 11671 FRASER STREET","East Central","$64,000","24","1","1996","0.00","APTU","11/28/2015","$64,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262027286/0/60/45/986a75791cd238b6ae37f59df12b7bc9/13/8cd068e0fd5fbd2228e8eb73b9b7aab2/262027286.JPG","R2005659","Residential Detached","S","10 2150 MAPLE DRIVE","Red Bluff/Dragon Lake","$70,000","56","2","2008","0.00","MANUF","11/27/2015","$70,000"
