"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261996573/0/60/45/339214b128efc67d1b4dd765269f99e7/15/8e62d97367291bbccb312f2edd0e91c0/261996573.JPG","F1450811","Residential Detached","S","2 3031 200 STREET","Brookswood Langley","$16,000","53","2","1976","0.00","MANUF","10/19/2015","$16,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261974907/0/60/45/e1a99b650ed8da55604591075abd2e15/13/95ff6255417a10784973bd80340397f7/261974907.JPG","N247990","Residential Detached","S","6358 WOLFE ROAD","Horse Lake","$25,000","87","3","1969","0.00","MNFLD","10/23/2015","$25,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261941972/0/60/45/0d509928e67ccd39e4c3ddc4373856d2/15/3f893ead29097f6981ce17ad8bf7935e/261941972.JPG","F1448807","Residential Detached","S","160 7790 KING GEORGE BOULEVARD","East Newton","$26,000","79","2","1975","0.00","MANUF","10/22/2015","$26,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260329628/0/60/45/72a8e455cf392cbf0ab223f92f97354a/13/46989b92f420673c280d9a0f1a6f00f8/260329628.JPG","N228326","Residential Detached","S","2449-2474 ANAHIM STREET","Williams Lake - Rural West","$35,300","863","0","9999","0.00","HACR","10/21/2015","$35,300"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261536765/0/60/45/03cea46d5e7b3c050a210735fce8cef9/13/73b7d21fc6af5ab978b8290148c5d8f1/261536765.JPG","N242539","Land Only","S","LOT 13 LERELYN ROAD","Buckhorn","$40,000","239",,,"0.00",,"10/20/2015","$40,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261815614/0/60/45/e6fb349d386898904576e706139f47c2/13/dee338dda2c4d04a0e7d99fa96b602c4/261815614.JPG","N246024","Land Only","S","LOT B CANIM-HENDRIX ROAD","Canim/Mahood Lake","$40,000","131",,,"0.00",,"10/20/2015","$40,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261871778/0/60/45/0510cb2afc8e8f4feb2641c10030878a/13/e9923c250897384e5ae23e5e740a6cd2/261871778.JPG","N246666","Residential Detached","S","3586 CANDLE DRIVE","Canim/Mahood Lake","$42,000","112","3","1987","0.00","HACR","10/19/2015","$42,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260194778/0/60/45/e7cf04e6c5cac57e43bf3bf47f098fe1/13/aa1abddeb5d67ada3f16fa94f99a2331/260194778.JPG","N226354","Residential Detached","S","#77 684 NORTH FRASER DRIVE","Quesnel - Town","$44,500","924","2","1988","0.00","MANUF","10/23/2015","$44,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261996089/0/60/45/204365d4a920845f03061423c743d9f9/13/82be29d95a4d167c80001527a88425e8/261996089.JPG","N248218","Land Only","S","10090 EDELMANN ROAD","Ness Lake","$46,000","52",,,"0.00",,"10/19/2015","$46,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261033899/0/60/45/b56a5089c3e319eb11efc6069b5a25bb/13/1a510d00cc9193ef58ed5238afb01ed4/261033899.JPG","N236683","Land Only","S","775 SANDY BEACH ROAD","Vanderhoof - Town","$47,000","509",,,"0.00",,"10/21/2015","$47,000"
