"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261973643/0/60/45/34cc3e0ca7b3dd9111525a96d2142e77/13/625cf05d2e810ebc08b9e38f25296c9f/261973643.JPG","N247962","Land Only","S","4223 MILDRED AVENUE","Wells/Barkerville","$6,000","73",,,"0.00",,"10/30/2015","$6,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260342732/0/60/45/33ba9174bcc6bd3d48ae4ac1592fc325/13/1c22f0606e2dc9e5d402456dde4bda31/260342732.JPG","N228507","Land Only","S","1022 9TH AVENUE","Valemount - Town","$27,300","876",,,"7,531.00",,"10/26/2015","$27,300"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262028457/0/60/45/1891bf2f20fc1dc7df147085098d0a86/13/78c77853b53f60dec3e8b2257efe5c1c/262028457.JPG","R2006830","Land Only","S","1332 COTTONWOOD STREET","Telkwa","$33,000","20",,,"0.00",,"10/27/2015","$33,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033064/0/60/45/b8fb368fb7fcf3541ff00b278d1b2566/15/4775331d556893f3b4fb2006da72eb4c/262033064.JPG","R2011437","Residential Detached","S","36 9267 SHOOK ROAD","Hatzic","$33,000","1","2","1981","0.00","MANUF","10/27/2015","$33,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262007925/0/60/45/7e41b580ed035e8834cfd7cc23269ea8/15/4c1514b2e464631096eaacc645205aff/262007925.JPG","F1451255","Residential Detached","S","59 8560 156 STREET","Fleetwood Tynehead","$55,900","48","2","1978","0.00","MANUF","10/27/2015","$55,900"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261958213/0/60/45/23caac0125c04ecef868c25d934304bb/13/f6b9e339f01c5ebcb277b625f1095b9c/261958213.JPG","N247742","Residential Detached","S","832 2ND AVENUE","McBride - Town","$56,000","84","3","9999","0.00","HOUSE","10/29/2015","$56,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261650993/0/60/45/96862cf5ef2e1b805f08c8103b762eee/13/c3bcbdd2b14b923e0d7d0ce416293385/261650993.JPG","N243936","Residential Detached","S","27 1000 INVERNESS ROAD","Aberdeen PG","$57,000","203","3","1992","0.00","MANUF","10/26/2015","$57,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031247/0/60/45/1e3f6d702a043401dcea838bc713cb74/15/0a4b21b4bce4c492738f854e51b31f57/262031247.JPG","R2009620","Residential Detached","S","55 9080 198 STREET","Walnut Grove","$60,000","7","2","1988","0.00","MANUF","10/24/2015","$60,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029811/0/60/45/4f7f83c6a639ea0a3d1b76bb2f2a733c/13/3178015e4dc61c4da7932a559245e593/262029811.JPG","R2008184","Land Only","S","4113 NORDIC DRIVE","Emerald","$64,000","17",,,"13,504.00",,"10/24/2015","$64,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261785330/0/60/45/217206c46187b7e2d8a669450d31498f/13/3f5d569432104c8c7bab3cd8dd519fb3/261785330.JPG","N245583","Land Only","S","SHANNON ISLAND","Queen Charlotte - Rural","$66,000","154",,,"0.00",,"10/29/2015","$66,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2001893","Residential Attached","S","220 45598 MCINTOSH DRIVE","Chilliwack W Young-Well","$66,900","45","2","1980","0.00","APTU","10/30/2015","$66,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261907609/0/60/45/cd5cda4f425990fa9083c002f9db7460/15/750982b53f5a5d2308e45665731a565a/261907609.JPG","F1447559","Residential Detached","S","66 8560 156 STREET","Fleetwood Tynehead","$70,000","100","3","1977","0.00","MANUF","10/28/2015","$70,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262026775/0/60/45/ed2ec94bc07f41fc1d4cab96fb2ca382/15/5708e5f6925cb2a3d16eedcb1a001233/262026775.JPG","R2005148","Residential Attached","S","204 33850 FERN STREET","Central Abbotsford","$72,500","26","1","1982","0.00","APTU","10/27/2015","$72,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261892548/0/60/45/d0fdd22ceb5f1ee5961b22fe26fa4456/13/d9a2c0644b255294186b1d6a619d0a14/261892548.JPG","N246934","Land Only","S","6662 MCMILLAN ROAD","Horse Lake","$73,500","120",,,"0.00",,"10/24/2015","$73,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261927262/0/60/45/63706aa975b9c1f763f3890184a77f31/14/784e3237ac767af09994f51203cda950/261927262.JPG","H2152949","Land Only","S","21293 THACKER MTN ROAD","Hope Center","$79,500","91",,,"0.00",,"10/27/2015","$79,500"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031359/0/60/45/16d9d956ec72e4b49b51f5e81c72a88b/16/bef50fd6b82940e4ec8cfedf7e8574f1/262031359.JPG","R2009732","Residential Detached","S","308 201 CAYER STREET","Central Coquitlam","$84,900","7","3","1969","0.00","MANUF","10/26/2015","$84,900"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262026559/0/60/45/fe51407d812bcadd7f4dcddb344ec460/13/c6b818382fecc3146c5b330c6ebcc8f8/262026559.JPG","R2004932","Multifamily","S","484 CENTRE STREET","Burns Lake - Town","$85,000","32","4","9999","5,896.00","DUPLX","10/27/2015","$85,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2010647","Residential Attached","S","309 33850 FERN STREET","Central Abbotsford","$86,000","13","2","1982","0.00","APTU","10/27/2015","$86,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261946395/0/60/45/2be3a36fcfad00232acc9b4518e193c9/16/12ae70be1b62659afd783a0e7ca84747/261946395.JPG","V1138300","Residential Detached","S","30 40157 GOVERNMENT ROAD","Garibaldi Estates","$87,000","83","4","1978","0.00","MANUF","10/26/2015","$87,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029639/0/60/45/eff292ac144e8e1a05564f26d79d8a11/15/875729f079e00d0bea5e4a5e57d1c31f/262029639.JPG","R2008012","Residential Attached","S","212 15020 NORTH BLUFF ROAD","White Rock","$87,000","21","1","1974","0.00","APTU","10/30/2015","$87,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261983596/0/60/45/f35c2bbf36ea3ddb78bd3e1eb72c207a/14/3991738394c7337ff3460fc8fe60507c/261983596.JPG","H2153301","Residential Detached","S","18 45640 WATSON ROAD","Vedder S Watson-Promontory","$89,900","67","3","2006","0.00","MANUF","10/30/2015","$89,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260248446/0/60/45/2cbe5e1f712ce60e8b8d682a726ff2e3/13/99d55e11d63cce60d60cdf18435c7573/260248446.JPG","N227070","Land Only","S","3315-3325 STONES BAY ROAD","Fort St. James - Rural","$90,000","904",,,"0.00",,"10/27/2015","$90,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032091/0/60/45/ea4597392ade54127cb07efaa010b322/15/5d3d36b55ee6ac0589f790eb16936311/262032091.JPG","R2010464","Residential Attached","S","109 10128 132 STREET","Whalley","$93,000","4","1","1998","0.00","APTU","10/26/2015","$93,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029742/0/60/45/642c599dfec247bd8677350b3658960d/15/eff3d511b4bba75cf4128ed0b6473e72/262029742.JPG","R2008115","Residential Attached","S","106 2414 CHURCH STREET","Abbotsford West","$96,000","11","2","1983","0.00","APTU","10/25/2015","$96,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029546/0/60/45/f90e49ad95f7aa6fbc899b5c3df1224d/16/44d662bc5a9d3d55345256da3f340a56/262029546.JPG","R2007919","Residential Detached","S","125 10221 WILSON STREET","Stave Falls","$100,500","20","3","1983","0.00","MANUF","10/30/2015","$100,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261647551/0/60/45/45b572fb60893d53e604649c14fbab40/13/92c130a61913ca70f2c751b6bac168a8/261647551.JPG","N243888","Residential Attached","S","17 204 8TH STREET","100 Mile House - Town","$105,000","209","2","1996","0.00","TWNHS","10/29/2015","$105,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262023240/0/60/45/2fd34570adb0bbd2b6fc9a17879bed06/14/9538507541ef4e1912a6fa8157ad4962/262023240.JPG","R2001613","Residential Attached","S","304 8934 MARY STREET","Chilliwack W Young-Well","$110,000","38","2","1994","0.00","APTU","10/24/2015","$110,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262026648/0/60/45/612cf1ab48890164077ea524342bc9bd/13/ce55e99ddabcb48af3b64cac787f19ab/262026648.JPG","R2005021","Residential Detached","S","8002 NITHI ROAD","Fraser Lake","$110,000","31","3","1978","0.00","HACR","10/26/2015","$110,000"
