"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261772862/0/60/45/a7ff995fd919b408d6dded5d61d6d6fd/13/8dfc8fe0de3b469f33867b1638c3b535/261772862.JPG","N245438","Land Only","S","LOT 2 BERNARD ROAD","Quesnel - Rural North","$12,700","113",,,"0.00",,"9/16/2015","$12,700"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261925893/0/60/45/2b964af264759825df094b843d4ac237/13/104882ced6ec01a1a7f51d651786924e/261925893.JPG","N247367","Residential Detached","S","5 1427 DOG CREEK ROAD","Williams Lake - Rural West","$24,000","51","2","1977","0.00","MANUF","9/16/2015","$24,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261440181/0/60/45/bd112f38a8c31df0f7074c8b6c3c1250/15/4af0cb2fea201ebfc1bb86aa159dfad4/261440181.JPG","F1429296","Residential Detached","S","5 15820 FRASER HIGHWAY","Fleetwood Tynehead","$31,000","252","2","1968","0.00","MANUF","9/16/2015","$31,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261774844/0/60/45/7afd32eb3f91845aacb120b78ced704d/13/ce66a155d7fabc4a9423eaba8007f1c2/261774844.JPG","N245460","Land Only","S","LOT 3 INDIAN LAKE ROAD","Wells/Barkerville","$36,000","112",,,"0.00",,"9/15/2015","$36,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261915138/0/60/45/b1adc1e929c900bff770a7f5f04965ad/14/37f2a1c5efc5201cd91825c5c1bf7505/261915138.JPG","H2152886","Residential Attached","S","112 9282 HAZEL STREET","Chilliwack E Young-Yale","$43,521","55","1","1981","0.00","APTU","9/16/2015","$43,521"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262019627/0/60/45/afd63cd9d2db5a73aee0641aa85113b9/16/4eb6d3647db2cb5370b34bc99c16eb74/262019627.JPG","V1143585","Residential Detached","S","5374 SUNSHINE COAST HIGHWAY","Sechelt District","$48,000","3","2","9999","5,000.00","HOUSE","9/13/2015","$48,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261982593/0/60/45/79f165e5120661e8e02cb25dbedfb6c1/13/47d2f5ae0a022a7896e1dcf0413917fa/261982593.JPG","N248076","Residential Detached","S","61 &-63 FULTON STREET","Granisle","$50,000","35","4","1972","9,000.00","HOUSE","9/18/2015","$50,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261757186/0/60/45/6fb14e795c6616fe8173706c030e57fd/13/f78dd2160a314da8a426ad056ca4ba95/261757186.JPG","N245264","Residential Detached","S","2045 W HIGHWAY 16 HIGHWAY","Vanderhoof - Town","$54,000","124","2","9999","0.00","HACR","9/17/2015","$54,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261904648/0/60/45/293df462a9a137444bb2087a02e7066c/16/72e5cddb7f50fdde8507bdaad279fe8a/261904648.JPG","V1136000","Residential Attached","S","312B 2036 LONDON LANE","Whistler Creek","$56,000","67","1","2001","0.00","OTHER","9/18/2015","$56,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261950443/0/60/45/fbab9c897181fb7fc1a42314b81831ca/15/5bdd4b5eaf84b3db680ffecf0a8e7384/261950443.JPG","H2153112","Residential Detached","S","90 46511 CHILLIWACK LAKE ROAD","Chilliwack River Valley","$62,500","41","2","1980","0.00","MANUF","9/14/2015","$62,500"
