"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261933001/0/60/45/c6fbf56dfe4daa9eecaa90d49153495a/13/5d064f5d2f9f6050774c9693273079bd/261933001.JPG","N247467","Residential Detached","S","13 3001 N MACKENZIE AVENUE","Williams Lake - City","$14,500","64","3","1974","0.00","MANUF","10/2/2015","$14,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261705584/0/60/45/60af6c06995620d920becdd81b34961c/13/5e8a8fc716a7cc2f16b1915a9da7c314/261705584.JPG","N244635","Residential Detached","S","130 BOUCHIE STREET","Quesnel - Town","$16,335","153","1","9999","0.00","HOUSE","9/28/2015","$16,335"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261801077/0/60/45/06f63c412766e90fc35097a920387132/13/caf9725b89df3840e6cb35fc9bd3e2b1/261801077.JPG","N245841","Land Only","S","LOT 11 POOLEY ROAD","Pineview","$20,000","121",,,"0.00",,"10/3/2015","$20,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262023860/0/60/45/61a3f519aae47918ce513ab472058dab/13/8bf4595fd7587d678ebdc29c228e31bd/262023860.JPG","R2002233","Land Only","S","4782 QUESNEL-HYDRAULIC ROAD","Quesnel Rural - South","$22,000","15",,,"0.00",,"10/3/2015","$22,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025289/0/60/45/e24db3fcf113f7a5e2dfae5fdb0e9313/16/125d98fb7d9f52cfd9a93fb99057c671/262025289.JPG","R2003662","Residential Detached","S","12 23206 CALVIN CRESCENT","East Central","$29,000","8","2","1970","0.00","MANUF","10/2/2015","$29,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261956760/0/60/45/21e6d6d370a43d50e341167918b4d29b/15/ae7671403f640f6d3374d988effdc75b/261956760.JPG","F1449369","Residential Detached","S","199 1840 160 STREET","King George Corridor","$32,000","51","2","1973","0.00","MANUF","9/30/2015","$32,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262010578/0/60/45/fcf511888c58049c7299851180112cbf/15/9813daaee140b07333ce8701f593b8d6/262010578.JPG","F1451360","Residential Detached","S","95 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$33,000","24","2","1981","0.00","MANUF","10/2/2015","$33,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262000605/0/60/45/e409c0f1fd6cb96a57b5f13bf21c4628/14/a8fd1aa2f09ddfe780f456c0e60a0da5/262000605.JPG","H2153386","Residential Detached","S","11 45111 WOLFE ROAD","Chilliwack W Young-Well","$37,000","27","3","1974","0.00","MANUF","9/29/2015","$37,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260684885/0/60/45/37c5054f211767312031a1f1d65da64c/13/4dd3fded5d2ec0dde211c1dd741c1650/260684885.JPG","N232493","Land Only","S","LOT 2 CHESTNUT STREET","Telkwa","$41,000","660",,,"0.00",,"9/28/2015","$41,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262022276/0/60/45/2a1d20ce31855d9473e531015e8e791b/15/dd853ef3280ee48ad73b81ddc262d1d8/262022276.JPG","R2000649","Residential Detached","S","2 2035 MARTENS STREET","Central Abbotsford","$43,000","20","2","1978","0.00","MANUF","10/1/2015","$43,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261562335/0/60/45/0b168db38c31a062e931bddd1cd1eb86/13/b07eaf05d19af8688001969dd65bc3b3/261562335.JPG","N242792","Residential Detached","S","47 770 N 11TH AVENUE","Williams Lake - City","$45,000","208","2","1990","0.00","MANUF","9/28/2015","$45,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261909810/0/60/45/a5cbc33af5a43dea86c732df9ed3b4e8/14/9639f387d9b8153ef30df285cf242cf3/261909810.JPG","H2152861","Residential Detached","S","211 45835 SLEEPY HOLLOW ROAD","Cultus Lake","$50,000","71","2","1981","0.00","MANUF","9/29/2015","$50,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261683935/0/60/45/692e060e00e69dd0729cb6edab67b6e6/16/fc0dd7ed1c8eeae52d2cc1f523f32763/261683935.JPG","V1118975","Land Only","S","LOT J GIBSONS WAY","Gibsons & Area","$50,000","161",,,"13,253.00",,"10/3/2015","$50,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261964416/0/60/45/35c748477d43a41f0368c55c8b4d08f6/13/2500ca717f61725271eb7dc0fa7cfe98/261964416.JPG","N247832","Land Only","S","3820 ALDERWOOD COURT","Mount Alder","$50,000","42",,,"0.00",,"9/28/2015","$50,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262022897/0/60/45/80aaff01e47aeac4554eb212933bfa99/15/c41ce5be95c267f004503c66772cc2b2/262022897.JPG","R2001270","Residential Detached","S","22 9080 198 STREET","Walnut Grove","$52,000","0","2","1971","0.00","MANUF","9/30/2015","$52,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262026693/0/60/45/532f254cd52dc6cd8fb6280a23886ce0/15/397e66db5e61717f1766482cc6e11a7f/262026693.JPG","R2005066","Residential Attached","S","224 45598 MCINTOSH DRIVE","Chilliwack W Young-Well","$53,000","5","1","1981","0.00","APTU","10/1/2015","$53,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261731642/0/60/45/a633d6268a9680efe4e033077f306d1c/14/f9ef68387c909f8c59fdecfda0947f04/261731642.JPG","H2151898","Residential Detached","S","142 46511 CHILLIWACK LAKE ROAD","Chilliwack River Valley","$54,450","151","2","1981","0.00","MNFLD","10/3/2015","$54,450"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261803241/0/60/45/9c10e726c4ddf2409d3cdb3fc8eadbfc/13/d40b697b5fd7659ee8cbcac67da73694/261803241.JPG","N245887","Residential Detached","S","2978 FIELDING STREET","Hazelton","$57,000","117","2","1971","7,920.00","MNFLD","9/30/2015","$57,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261778706/0/60/45/90e09626d2593977904e5be538d1644f/14/2324dc83b3fd9b8dd578857c218d40fe/261778706.JPG","H2152161","Residential Attached","S","204 9175 MARY STREET","Chilliwack W Young-Well","$57,500","135","1","1975","0.00","APTU","10/3/2015","$57,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261859725/0/60/45/a160aef962e4e699b4a22b775d887539/13/769dbb3979830813e9443d37b0f5e65d/261859725.JPG","N246553","Residential Detached","S","1091 CUDDIE CRESCENT","VLA","$57,500","103","2","9999","18,527.00","HOUSE","10/3/2015","$57,500"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261945352/0/60/45/667feab8f3611b25505eed49b979466a/15/31a36c8644a470e67e7d2632e7bb2c5a/261945352.JPG","F1448986","Residential Attached","S","208 33490 COTTAGE LANE","Central Abbotsford","$58,000","37","1","1979","0.00","APTU","10/3/2015","$58,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261964860/0/60/45/ab6ea73ddb61f3a03fd37643c90ec720/14/d02f4dd409ab3675811b685f1a97b835/261964860.JPG","H2153197","Residential Detached","S","47450 TRANS CANADA HIGHWAY","Boston Bar - Lytton","$59,900","46","1","1971","17,859.00","MNFLD","9/29/2015","$59,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262024706/0/60/45/8459ae67e2352df46261302d18b447dd/15/38645a8465472060a295d1c360476db9/262024706.JPG","R2003079","Residential Attached","S","102 32040 PEARDONVILLE ROAD","Abbotsford West","$60,000","7","2","1978","0.00","APTU","9/28/2015","$60,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262023253/0/60/45/806245e077228bc367eb076c9b738b96/13/eca0a101b74cd209ac56227f836581f6/262023253.JPG","R2001626","Residential Detached","S","6 602 ELM STREET","Red Bluff/Dragon Lake","$65,000","14","2","1995","0.00","MANUF","9/30/2015","$65,000"
