"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261503577/0/60/45/d2562989ac38003fc7176ef0beabc779/15/489c95e85da4c0549ad6190073d46821/261503577.JPG","F1432182","Residential Detached","S","171 7790 KING GEORGE BOULEVARD","East Newton","$10,000","63","2","1975","0.00","MANUF","4/14/2015","$10,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261548143/0/60/45/03d56bb172c39d22b949abcdbeba639b/15/445e2a80ae5256fe2860ba62ec14efa4/261548143.JPG","V1108028","Residential Detached","S","44 21668 LOUGHEED HIGHWAY","West Central","$16,000","43","2","1973","0.00","MANUF","4/13/2015","$16,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261353127/0/60/45/831516bbccd4c4c51b465c0eb57307fe/14/b56a81b0348fb3bb14dbc54e46c8e808/261353127.JPG","H1404340","Land Only","S","15231 CEDAR BOULEVARD","Hope Sunshine Valley","$17,000","166",,,"0.00",,"4/14/2015","$17,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261273357/0/60/45/5cac551ff02e7fd972983a195b9a5606/14/ff160d5661fc0653013cb00080c0917b/261273357.JPG","H1403902","Land Only","S","61613 YALE ROAD","Hope Silver Creek","$28,000","207",,,"0.00",,"4/13/2015","$28,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261347451/0/60/45/b49fe69e7d4df082c7797691f8e18017/13/2a447cf870759c0bc62c93185b27b16e/261347451.JPG","N240721","Residential Detached","S","8 1095 DYKE ROAD","McBride - Town","$28,500","177","3","1984","0.00","MANUF","4/16/2015","$28,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261475971/0/60/45/8009be2629b3b655a0e0254d65a16fcc/13/94d1e29644002c2b0a47383d4c85b244/261475971.JPG","N241987","Land Only","S","LOT 7 GRANTHAM ROAD","Smithers - Rural","$30,000","81",,,"0.00",,"4/14/2015","$30,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261604070/0/60/45/e5cb80cb0c60a413a1d89b1ce4666798/15/a85dea75113983785eba485a288ef347/261604070.JPG","F1436081","Residential Detached","S","59 7790 KING GEORGE BOULEVARD","West Newton","$32,000","24","4","1975","0.00","MANUF","4/16/2015","$32,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261431930/0/60/45/d49769c52ef758b7f7d1fb88471ea1ad/15/db8665c2e5ec67597e58c8c564adf7b2/261431930.JPG","F1428887","Residential Detached","S","49 9080 198 STREET","Walnut Grove","$33,500","105","2","1976","0.00","MANUF","4/16/2015","$33,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261646323/0/60/45/caf02614e55e5b384e5e5faa81591e1a/13/bc1776e797764f0b587256ceacc5a541/261646323.JPG","N243862","Residential Detached","S","78 770 ELEVENTH AVENUE","Williams Lake - City","$34,500","7","3","1981","0.00","MANUF","4/15/2015","$34,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261621075/0/60/45/8263a71356f15bac4d318ec83715a865/13/489821a18cfb6bd64dec1f6b2f39501b/261621075.JPG","N243507","Residential Detached","S","47 FULTON STREET","Granisle","$44,000","20","3","9999","0.00","HOUSE","4/14/2015","$44,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261378658/0/60/45/0f419858e419c2229f1124ccca9e2333/15/ad3740ed1dcd0cbe4a2e1ca9e3792541/261378658.JPG","H1404475","Residential Attached","S","101 9282 HAZEL STREET","Chilliwack E Young-Yale","$45,550","148","1","1982","0.00","APTU","4/14/2015","$45,550"
