"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261391688/0/60/45/813597b73978643e28e04b3a6623593c/15/57295d8d4f6fff0967b9509f65083cce/261391688.JPG","F1427573","Residential Detached","S","174 7790 KING GEORGE BOULEVARD","East Newton","$7,000","148","2","1975","0.00","MANUF","4/21/2015","$7,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261252480/0/60/45/709a1afdded4a7996f7a4eb7ea157f16/15/a03890cbafcdb7a42a45ecedae5227e8/261252480.JPG","F1422708","Residential Detached","S","13 7850 KING GEORGE HIGHWAY","East Newton","$15,000","218","2","1975","0.00","MANUF","4/21/2015","$15,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261594370/0/60/45/fec20de65b1149ffbc34be904c7d1acd/15/8f5a3aeaf60f9ef07625dc8daab6a9b5/261594370.JPG","F1435724","Residential Detached","S","121 7790 KING GEORGE BOULEVARD","East Newton","$15,500","36","2","1977","0.00","MANUF","4/21/2015","$15,500"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261656512/0/60/45/205bc809336e84d43d0e7cd444b18002/13/08b44798f6208666aa5db24a2072b100/261656512.JPG","N244022","Residential Detached","S","122 3666 11TH STREET","Houston - Town","$24,500","6","2","1976","0.00","MANUF","4/20/2015","$24,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261411312/0/60/45/8916806191896f907bd31b22e5d6b13a/13/a632823bdf42db9567954dbd03541d6e/261411312.JPG","N241325","Land Only","S","1080 14TH AVENUE","Valemount - Town","$24,700","134",,,"7,729.00",,"4/21/2015","$24,700"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261603316/0/60/45/f65dec3aa37acb0c8e340759f2a9e77b/15/2f558391ab0aec0e77dac161083fd506/261603316.JPG","F1436042","Residential Detached","S","20 15820 FRASER HIGHWAY","Fleetwood Tynehead","$27,000","32","2","9999","0.00","MANUF","4/20/2015","$27,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260894775/0/60/45/40a55cdd058b9ec5eaaf679d572a2098/13/69c6dcb10a16b38ee942f427a06bc621/260894775.JPG","N234704","Land Only","S","3 110 FOREST RIDGE ROAD","100 Mile House - Town","$35,000","378",,,"0.00",,"4/20/2015","$35,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256169527/0/60/45/8c03742abda75e863a865a144950003b/13/4129be838bb5f27543929e41e8ed2a4d/256169527.JPG","N177687","Land Only","S","LOT 1 NAZKO ROAD","Bouchie Lake","$35,000","2727",,,"0.00",,"4/20/2015","$35,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261205388/0/60/45/02b0ec99db7ad12b50e1e98d07dfdabb/13/a8007fb78421b8ea43dd7c2bbdd3c229/261205388.JPG","N239220","Land Only","S","4418 KALUM LAKE ROAD","Terrace - Northwest/Rosswood","$36,000","243",,,"0.00",,"4/22/2015","$36,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260695280/0/60/45/b0dd6f8dbade4a86f394d6f37ada5854/13/0302b94cd05f05e0e632998586390d8e/260695280.JPG","N232613","Residential Attached","S","14 MORRISON STREET","Granisle","$40,000","488","3","9999","0.00","APTU","4/21/2015","$40,000"
