"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261488422/0/60/45/c2a16918a53a127c8f211a483c5e5410/15/10791ac58ef5c161c2c4377170afce2d/261488422.JPG","F1431519","Residential Detached","S","71 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$8,000","84","2","1973","0.00","MANUF","4/28/2015","$8,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261593355/0/60/45/8e74cfd426c5406e397a7239844fdacb/15/6355a1de5eeaa0c957b633d58628a9b7/261593355.JPG","F1435669","Residential Detached","S","58 8266 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$11,500","40","2","1973","0.00","MANUF","4/28/2015","$11,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261535901/0/60/45/ee089edebb89f468e1987a7d99c7abac/13/495589998c90934edf9c5f3b362e9ac2/261535901.JPG","N242526","Land Only","S","54720 JARDINE ROAD","Cluculz Lake","$15,000","67",,,"0.00",,"4/30/2015","$15,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","N244381","Land Only","S","10990 HEDLUND ROAD","Tabor Lake","$18,000","4",,,"0.00",,"4/28/2015","$18,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261545689/0/60/45/a683ff24529807d34e032cd1b4088740/13/ac2e46b3de0c13fa62bb59b0475066f9/261545689.JPG","N242632","Residential Detached","S","27 3319 KOFOED DRIVE","Thornhill","$30,000","63","2","1968","0.00","MANUF","5/1/2015","$30,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261638719/0/60/45/442151a567613ff29daa083c650e208f/13/8f5a56cfabb4f2bc67470bca48f1686d/261638719.JPG","N243742","Land Only","S","43 54115 GUEST ROAD","Cluculz Lake","$32,000","28",,,"1,474.70",,"4/29/2015","$32,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261533570/0/60/45/b3b749b9a4d835ca5fb3bf198ca2991d/13/c8a2850025fb85d595c6f2c794f63932/261533570.JPG","N242507","Residential Detached","S","4435 11TH AVENUE","Hazelton","$36,000","68","2","9999","0.00","HOUSE","4/28/2015","$36,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261684779/0/60/45/14434675646bc2dbd64869c3f432013b/13/b538d112274369dc59e55d6b2455544b/261684779.JPG","N244363","Residential Detached","S","37 4619 QUEENSWAY DRIVE","Thornhill","$37,000","8","2","1969","0.00","MANUF","5/1/2015","$37,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261662745/0/60/45/8d9245eee9a95ed8fbc6e5f647dd1b65/13/41ad2951599500e03d373214eba5fb32/261662745.JPG","N244100","Residential Detached","S","118 3666 11TH STREET","Houston - Town","$41,000","17","2","1991","0.00","MANUF","5/2/2015","$41,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261667139/0/60/45/fd55a8963784bcd758c2e744343c09de/15/6bf2e6ba52f816fa9e5547b13dd7a207/261667139.JPG","F1438479","Residential Detached","S","328 1840 160TH STREET","King George Corridor","$42,000","11","2","1980","0.00","MANUF","4/27/2015","$42,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260553876/0/60/45/67dc91aef2bf1e9629898e3ad269ad57/13/906c0b98cef0603b36cfefaee464a3cc/260553876.JPG","N231201","Residential Detached","S","58 FULTON STREET","Granisle","$45,000","580","3","1972","8,604.00","HOUSE","4/29/2015","$45,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261608478/0/60/45/ffaf3ab14a1c760253350dcc81dcf048/13/a1cb3e45fa3cd2f0260bf5944b338b1f/261608478.JPG","N243347","Residential Attached","S","23 1288 SUMMIT AVENUE","Prince Rupert - City","$52,500","36","3","1968","0.00","APTU","4/30/2015","$52,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261327626/0/60/45/d5e52e7ffec960f6d0d8f2f738fbdec2/13/7b0c17c4fd606a85fa81bb4d6a755215/261327626.JPG","N240526","Residential Detached","S","68 1000 INVERNESS DRIVE","Aberdeen PG","$53,000","192","2","1993","0.00","MANUF","4/29/2015","$53,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261622664/0/60/45/ecd5c28f29177f9c7a1098e5be2427fc/13/fed89841c3c9ee1455fb9c7addb9bb54/261622664.JPG","N243539","Residential Detached","S","58037 EAKIN SETTLEMENT ROAD","South Francois","$75,000","35","2","9999","0.00","HACR","4/30/2015","$75,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261389261/0/60/45/584dbcdc4f4dd6249de596c7b86a22bf/16/81f45b0f69200ac8beca062e197d6a06/261389261.JPG","V1094936","Residential Detached","S","268 201 CAYER STREET","Maillardville","$77,000","162","3","1973","0.00","MANUF","5/2/2015","$77,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261551310/0/60/45/45a9e78489639c0bfd483494961b4262/15/c52a14f064cbdb173c3f85042d3d5183/261551310.JPG","F1434009","Residential Detached","S","40 8254 134TH STREET","Queen Mary Park Surrey","$77,500","55","3","1977","0.00","MANUF","4/27/2015","$77,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261469899/0/60/45/3a87604ccb42c1b823e920bac014ff4b/13/d73c90c2e1bf2e9fa3bbb741800bf864/261469899.JPG","N241926","Residential Detached","S","7 95 LAIDLAW ROAD","Smithers - Rural","$79,500","99","3","1996","0.00","MANUF","5/2/2015","$79,500"
