"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261225211/0/60/45/5b5a9baf67105cdddeaa2543d6a1b630/13/915f3dd11429fce78f9b33848a7bc01d/261225211.JPG","N239469","Residential Attached","S","25 50 HAGEN STREET","Granisle","$9,000","175","0","1972","0.00","APTU","2/25/2015","$9,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261488654/0/60/45/bc654122941f4bdd25ff43e171a5750d/15/fed818c59e6c70a30bc99809744470df/261488654.JPG","F1431533","Residential Detached","S","30 6571 KING GEORGE BOULEVARD","West Newton","$12,000","23","2","1973","0.00","MANUF","2/25/2015","$12,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261523609/0/60/45/96319f90643ab5dbfa9b26a979300561/13/fc171e04c912764ea94996a3f2693e30/261523609.JPG","N242420","Residential Detached","S","B5 160 E 16 HIGHWAY","Burns Lake - Town","$13,200","13","2","1973","0.00","MANUF","2/26/2015","$13,200"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261418166/0/60/45/74865a812b05cc45d7fef7ad88021e39/13/45521f746cf69c9cbd8556d8816bf5ea/261418166.JPG","N241396","Residential Detached","S","39 8474 BUNCE ROAD","Haldi","$18,500","72","2","1974","0.00","MANUF","2/22/2015","$18,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261538301/0/60/45/b284b3bccfe57d1e7279eabf9ff191cc/13/f0587f16afa55bd6ebc292a5373b48cd/261538301.JPG","N242559","Residential Detached","S","3444 14TH STREET","Houston - Town","$19,600","3","0","9999","12,800.00","HOUSE","2/28/2015","$19,600"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261439453/0/60/45/e7f23c0c4d3af527241b7bb2a08fb99a/13/a3be0c8ab0f766433e24a4c645275191/261439453.JPG","N241615","Residential Detached","S","3340 E TCHESINKUT ROAD","Burns Lake - Rural South","$25,000","48","1","9999","0.00","RECRE","2/24/2015","$25,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261229166/0/60/45/9e1f2d41601a3737d3f2fe0a0723e85a/13/7e3aefb626fbfff132f309593e867362/261229166.JPG","N239512","Residential Detached","S","20 770 N 11TH AVENUE","Williams Lake - City","$28,000","174","2","1976","0.00","MANUF","2/24/2015","$28,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261314055/0/60/45/4cd3bc0b0bd27c4f040e28f5fe0a0901/14/e8ad76dd8c7f8ac193b247382c6d9cb8/261314055.JPG","H1404141","Residential Detached","S","82 3942 COLUMBIA VALLEY ROAD","Cultus Lake","$44,500","140","2","1972","0.00","MANUF","2/28/2015","$44,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261394162/0/60/45/62fd2811c2071744e2d43d4954e9dda9/13/d6713029ec25342d7fd8de82d0ae0a96/261394162.JPG","N241185","Residential Detached","S","1279 PARK AVENUE","Prince Rupert - City","$45,000","93","2","9999","2,500.00","HOUSE","2/27/2015","$45,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261131619/0/60/45/22a7a9d6b5659cd927cc324b03c0d6e4/16/03f2b2e52111e4dd771acc78ef5212d9/261131619.JPG","V1076145","Land Only","S","288 MARINERS WAY","Mayne Island","$45,000","223",,,"0.00",,"2/23/2015","$45,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261496031/0/60/45/c83d2046dddefa67966688db535a72b7/16/b78f49c7e555b5d2b42d337bb5250f08/261496031.JPG","V1103492","Residential Detached","S","62 201 CAYER STREET","Maillardville","$49,700","20","1","1973","0.00","MANUF","2/22/2015","$49,700"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260837015/0/60/45/60d5b1bb17f8e0e0e95d35feb333c2da/13/81be00bb854ff43eeb37a5ec4a34e482/260837015.JPG","N233964","Residential Detached","S","1846 BALSAM CRESCENT","Masset","$50,000","362","3","9999","4,962.00","HOUSE","2/28/2015","$50,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261501813/0/60/45/05d75163add67ed9ad5f4e7fbe08c3cd/13/992baa22c0fed4d6e3ca8fcd89fb81df/261501813.JPG","N242209","Land Only","S","LOT 12 KRING ROAD","Fort St. James - Rural","$56,000","23",,,"0.00",,"2/27/2015","$56,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261529113/0/60/45/8b1a002a8147d3f961ee4d5526ea5935/16/e85fa8d1414675dbee124824a9ef48c2/261529113.JPG","V1106490","Residential Attached","S","802 5911 MINORU BOULEVARD","Brighouse","$58,000","2","0","1999","0.00","OTHER","2/22/2015","$58,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261430725/0/60/45/d5cca6700ac61e2f6389b25b7aaeee97/13/cf60efdcb1e8177d1ca88720bc9323c8/261430725.JPG","N241537","Residential Detached","S","1 4625 GRAHAM AVENUE","Terrace - City","$58,000","58","2","1975","0.00","MANUF","2/27/2015","$58,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261375213/0/60/45/5a3274b4ff59f2829c1ddb3f7d4e1cec/13/ef4c82e2152ab801edb5fba00beb8871/261375213.JPG","N241030","Residential Detached","S","39 1000 INVERNESS ROAD","Aberdeen PG","$65,000","106","2","1995","0.00","MANUF","2/27/2015","$65,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261457499/0/60/45/61317cfea81f117177a07f88a91f17b6/16/16492f033d29f89d63d4db809946daa4/261457499.JPG","V1100031","Residential Attached","S","226 2036 LONDON LANE","Whistler Creek","$72,000","38","2","2001","0.00","RECRE","2/22/2015","$72,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261443661/0/60/45/bafb290f10948d66724a7a2ebce1b535/15/9f536b3dda139209ee0258cf33f8a322/261443661.JPG","F1429493","Residential Attached","S","207 33490 COTTAGE LANE","Central Abbotsford","$75,000","37","1","1981","0.00","APTU","2/25/2015","$75,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261369778/0/60/45/4e655f9ca1f1ab74c55c9ac872c807fc/13/ec124f5d4fa3adaa16dd961572989483/261369778.JPG","N240973","Residential Detached","S","76 60 CHICHOUYENILY DRIVE","Mackenzie -Town","$76,500","113","2","2013","0.00","MANUF","2/27/2015","$76,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261509650/0/60/45/b1246b4c81ded6b952326daa2b765623/15/51246f7b2c723eb8b98c38542506ab8d/261509650.JPG","F1432429","Residential Attached","S","310 32040 PEARDONVILLE ROAD","Abbotsford West","$79,900","14","2","1978","0.00","APTU","2/26/2015","$79,900"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261539453/0/60/45/1827761740e25657fcd5eaa99a2686ee/16/7c99c942214e18a7051a965b01a2f75d/261539453.JPG","V1107416","Residential Attached","S","212 611 BLACKFORD STREET","Uptown NW","$91,000","1","1","1964","0.00","APTU","2/26/2015","$91,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261469302/0/60/45/cb76b53e3208c0b060df828d03bea986/15/559063e8aa7d231930e54be8c99e9f68/261469302.JPG","F1430656","Residential Attached","S","222 2277 MCCALLUM ROAD","Central Abbotsford","$93,500","36","2","1982","0.00","APTU","2/25/2015","$93,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261041241/0/60/45/b3ddc8d295b9fea921e2e129fee986b1/13/7de82b18c7766755c1fbe3f17b266448/261041241.JPG","N236880","Land Only","S","HALFWAY RIVER ROAD","Lakeshore","$94,000","264",,,"0.00",,"2/24/2015","$94,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261516686/0/60/45/05302c08a14f19370987e1ea860ed1cb/13/73450bf3adb847b5a85affb85ec3b980/261516686.JPG","N242354","Land Only","S","DL 4568 S 97 HIGHWAY","Hixon","$95,000","8",,,"0.00",,"2/24/2015","$95,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261431694/0/60/45/c60c0c97b2b06ff8e8193b9e8a3c175f/15/b2b35ccc06d5f8a521357cdf66bef222/261431694.JPG","F1428874","Residential Attached","S","7 7011 134TH STREET","West Newton","$100,000","53","1","1982","0.00","APTU","2/23/2015","$100,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261476086/0/60/45/2af292ef039cd6928a883b6734fd3959/16/dffa0d41a80b2849907fd9e170a29f56/261476086.JPG","V1101687","Residential Attached","S","307 11671 FRASER STREET","East Central","$100,000","30","2","1993","0.00","APTU","2/26/2015","$100,000"
