"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261320532/0/60/45/e6fe8d3a57713691816ecb8922f35739/13/d5b325dfa62f4b58495f9704c4100d33/261320532.JPG","N240462","Residential Detached","S","29 955 13TH AVENUE","Valemount - Town","$15,000","142","2","1972","0.00","MANUF","3/5/2015","$15,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261103057/0/60/45/40f0e031d41c5f1759ac3c2234afcf4f/13/f310eadd1f5a8435be1a22da6f8911c0/261103057.JPG","N237775","Land Only","S","LOT 14 HALE ROAD","Topley","$18,500","279",,,"0.00",,"3/2/2015","$18,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261538301/0/60/45/b284b3bccfe57d1e7279eabf9ff191cc/13/f0587f16afa55bd6ebc292a5373b48cd/261538301.JPG","N242559","Residential Detached","S","3444 14TH STREET","Houston - Town","$19,600","3","0","9999","12,800.00","HOUSE","2/28/2015","$19,600"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","N216640","Residential Detached","S","4356 BIRCH LAKE ROAD","Bridge Lake/Sheridan Lake","$20,000","1080","2","1963","0.00","RECRE","3/4/2015","$20,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261504126/0/60/45/efca6f49b9974ab710d78d1f5466c4a2/15/a8845412d6345f38467ab8c997494554/261504126.JPG","F1432206","Residential Detached","S","9 16039 FRASER HIGHWAY","Fleetwood Tynehead","$21,500","33","2","1967","0.00","MANUF","3/1/2015","$21,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261189989/0/60/45/86f02a6dc8cb17a161a16bb250e4d95c/13/9837a630e70d166356bf894e9afe23e5/261189989.JPG","N239006","Residential Detached","S","3 2764 DURRELL ROAD","Quesnel Rural - South","$22,000","203","2","1982","0.00","MANUF","3/4/2015","$22,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261462759/0/60/45/7c0bade5ef00f19b9557662da6b2f3ce/15/c109bfa368392a007c36ebe63a18fa63/261462759.JPG","F1430351","Residential Detached","S","9 7850 KING GEORGE BOULEVARD","East Newton","$26,500","47","2","1991","0.00","MANUF","3/5/2015","$26,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261216075/0/60/45/1b2415d56e0767a53cec04a9809806f8/13/b8b28a578f26e0381942c1017d2e2279/261216075.JPG","N239351","Land Only","S","907 JUBILEE DRIVE","Port Edward","$39,900","190",,,"6,000.00",,"3/4/2015","$39,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261473077/0/60/45/73323f70f110c7939c0ded2414f378e9/13/35ead5b669683a5b098857fcf9506ff1/261473077.JPG","N241949","Residential Detached","S","2988 MINOTTI DRIVE","Hart Highway","$40,000","39","3","1973","0.00","MNFLD","3/4/2015","$40,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261314055/0/60/45/4cd3bc0b0bd27c4f040e28f5fe0a0901/14/e8ad76dd8c7f8ac193b247382c6d9cb8/261314055.JPG","H1404141","Residential Detached","S","82 3942 COLUMBIA VALLEY ROAD","Cultus Lake","$44,500","140","2","1972","0.00","MANUF","2/28/2015","$44,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261394162/0/60/45/62fd2811c2071744e2d43d4954e9dda9/13/d6713029ec25342d7fd8de82d0ae0a96/261394162.JPG","N241185","Residential Detached","S","1279 PARK AVENUE","Prince Rupert - City","$45,000","93","2","9999","2,500.00","HOUSE","2/27/2015","$45,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260837015/0/60/45/60d5b1bb17f8e0e0e95d35feb333c2da/13/81be00bb854ff43eeb37a5ec4a34e482/260837015.JPG","N233964","Residential Detached","S","1846 BALSAM CRESCENT","Masset","$50,000","362","3","9999","4,962.00","HOUSE","2/28/2015","$50,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260839450/0/60/45/df5917078518e22ba6531632a6d01bb1/13/946f06559cfceec5706733234a521264/260839450.JPG","N234011","Residential Detached","S","7012 FLAHERTY ROAD","Lone Butte/Green Lk/Watch Lk","$54,000","357","4","9999","0.00","HOUSE","3/2/2015","$54,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261501813/0/60/45/05d75163add67ed9ad5f4e7fbe08c3cd/13/992baa22c0fed4d6e3ca8fcd89fb81df/261501813.JPG","N242209","Land Only","S","LOT 12 KRING ROAD","Fort St. James - Rural","$56,000","23",,,"0.00",,"2/27/2015","$56,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261430725/0/60/45/d5cca6700ac61e2f6389b25b7aaeee97/13/cf60efdcb1e8177d1ca88720bc9323c8/261430725.JPG","N241537","Residential Detached","S","1 4625 GRAHAM AVENUE","Terrace - City","$58,000","58","2","1975","0.00","MANUF","2/27/2015","$58,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261244005/0/60/45/ad2d0dcd7cdfe3d7fd3539650622fae0/15/86671b512482b6f937b51a9d3061d866/261244005.JPG","F1422346","Residential Detached","S","24 23387 70A AVENUE","Salmon River","$60,000","177","2","1994","0.00","MANUF","3/5/2015","$60,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261343499/0/60/45/45eadbbda043cfd9357bc38e55e81041/13/11f5237b617226b4bf2a79231e9c1134/261343499.JPG","N240686","Land Only","S","4651 ZRAL ROAD","North Kelly","$63,000","140",,,"0.00",,"3/2/2015","$63,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261088089/0/60/45/fe3071fc71a4d0e5a088173dc194d84e/13/e966a178b73e2af9ceec317f839cba15/261088089.JPG","N237538","Residential Detached","S","21860 TAYLOR AVENUE","Topley","$64,000","251","3","1976","8,859.00","HOUSE","3/4/2015","$64,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261375213/0/60/45/5a3274b4ff59f2829c1ddb3f7d4e1cec/13/ef4c82e2152ab801edb5fba00beb8871/261375213.JPG","N241030","Residential Detached","S","39 1000 INVERNESS ROAD","Aberdeen PG","$65,000","106","2","1995","0.00","MANUF","2/27/2015","$65,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261123652/0/60/45/d17898835cd0ecae46a56e5b37950737/13/c424d9fb7ed76066c93346f2b3b32023/261123652.JPG","N238084","Land Only","S","HART HIGHWAY","Salmon Valley","$65,000","235",,,"0.00",,"3/3/2015","$65,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261228735/0/60/45/dc5cf292e3a995d5ccac4aec8b47ca50/13/62899eb7ef5cf0291430a510695b64f8/261228735.JPG","N239508","Residential Detached","S","77 12842 OLD HUDSON HOPE ROAD","Lakeshore","$72,000","180","3","1977","0.00","MANUF","3/2/2015","$72,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261369778/0/60/45/4e655f9ca1f1ab74c55c9ac872c807fc/13/ec124f5d4fa3adaa16dd961572989483/261369778.JPG","N240973","Residential Detached","S","76 60 CHICHOUYENILY DRIVE","Mackenzie -Town","$76,500","113","2","2013","0.00","MANUF","2/27/2015","$76,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261486030/0/60/45/32a2bbbabab4a65ba72983d17f595f6a/14/005b3a845a1f05417460bbb48d56a503/261486030.JPG","H2150395","Residential Attached","S","4 46260 HARFORD STREET","Chilliwack N Yale-Well","$79,900","27","2","1982","0.00","APTU","3/1/2015","$79,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260918067/0/60/45/804f9a5452aad78d7398336f5991724f/13/e83b3a362705165c77394a3cdaa18ac4/260918067.JPG","N235028","Residential Detached","S","2655 MICHELLE DRIVE","Bella Coola/Hagensborg","$85,000","324","1","9999","0.00","HOUSE","3/4/2015","$85,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261448713/0/60/45/d74ecc16085eb89b1e00c64390f76026/13/5e8efbc1129a77d8df13623571d3907a/261448713.JPG","N241713","Residential Attached","S","552 BEECH CRESCENT","Westwood","$94,599","55","3","9999","2,000.00","TWNHS","3/2/2015","$94,599"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261242984/0/60/45/3fc4e670934c17d3577929b350ee429b/13/35dd8c945d6d2bf5eddc070aeb6bb85a/261242984.JPG","N239665","Land Only","S","DL 3531 EDDY ROAD","McBride - Town","$99,000","175",,,"0.00",,"3/3/2015","$99,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261497663/0/60/45/351e604eee03e8449b6ebd42712c885f/15/f1618aba02fd25b1b0bbeddc37401d48/261497663.JPG","F1431925","Residential Attached","S","216 5294 204TH STREET","Langley City","$100,000","27","1","1982","0.00","APTU","3/5/2015","$100,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261367111/0/60/45/587315e37c611ffdd38e0a11989e5b4a/15/ce8534f7ba4c6c0f6fc1b109686f12b6/261367111.JPG","F1426725","Residential Attached","S","302 33150 4TH AVENUE","Mission BC","$104,000","117","1","1997","0.00","APTU","3/3/2015","$104,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261414087/0/60/45/b0b4bf1a7bb0f5d2b830fbb3f0842fad/15/6ce431150faf923af419edd4d8287490/261414087.JPG","F1428312","Residential Attached","S","208 33150 4TH AVENUE","Mission BC","$105,200","84","1","1997","0.00","APTU","3/2/2015","$105,200"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261543780/0/60/45/893dd6265ac51bd80be870eed5bc3811/15/666732349eee4c6e6256e675b1e7e56e/261543780.JPG","F1433722","Residential Attached","S","404 12160 80TH AVENUE","West Newton","$108,000","4","1","1993","0.00","APTU","3/1/2015","$108,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261545394/0/60/45/cf0ec5827d399990b4249e48a860c1b6/14/5d84254498de6db37716f6f441025764/261545394.JPG","H2150753","Residential Attached","S","202 8934 MARY STREET","Chilliwack W Young-Well","$110,000","5","2","1994","0.00","APTU","3/4/2015","$110,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261199931/0/60/45/34f3c43d8f7b713ec71f8ce5bab7f526/13/ad41c986c47863e80f0cfed68dbdbfe1/261199931.JPG","N239146","Multifamily","S","352 WINDER STREET","Quesnel - Town","$111,500","194","8","1975","0.00","3PLEX","3/2/2015","$111,500"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261230962/0/60/45/b65b6647dc24f2ce570528b979d35f6d/13/9564d681c755883c51fc43e780714e75/261230962.JPG","N239534","Residential Detached","S","505 BABINE DRIVE","Mackenzie -Town","$115,000","182","3","9999","6,819.00","HOUSE","3/3/2015","$115,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261524890/0/60/45/04bca7234912730b6010a3c354555e9a/13/6d63d5c2932e3ca7dcad0dd47e0b618a/261524890.JPG","N242436","Residential Detached","S","1955 BOBSEIN CRESCENT","Thornhill","$115,000","14","2","9999","0.00","HOUSE","3/3/2015","$115,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261438910/0/60/45/fccae78cacfdb2cee52bb1c0979e89b2/15/2bad161286f99c97e4312a15bdd51e1b/261438910.JPG","F1429232","Residential Attached","S","404 9672 134TH STREET","Whalley","$115,000","54","1","1984","0.00","APTU","3/1/2015","$115,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261515864/0/60/45/79f459641adb4641e30d5193231e6bba/13/8b5f7e1fb2bfa79f0b5b05c3c0f10cf3/261515864.JPG","N242351","Residential Attached","S","11 1012 CENTRAL STREET","Central","$118,000","19","2","1983","0.00","TWNHS","3/2/2015","$118,000"
