"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261403914/0/60/45/0a80dd6a0f44a7fe6b539478aa3619e8/13/e1b854c2d9949bb507b39198afad6f8e/261403914.JPG","N241254","Residential Detached","S","52 6100 O'GRADY ROAD","Upper College","$15,500","37","2","1977","0.00","MANUF","1/7/2015","$15,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261318766/0/60/45/ae32bea140fccdd3605220e12bcc5fcf/15/6323dd56923a59299c548126037a79d3/261318766.JPG","F1425090","Residential Detached","S","14 20071 24TH AVENUE","Brookswood Langley","$22,000","98","1","1968","0.00","MANUF","1/15/2015","$22,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260867672/0/60/45/73c2efdad55ff1eaf54d6d40b73ed40a/13/2ab53aa83f4d1949537fe1f5bff74db5/260867672.JPG","N234352","Land Only","S","1266 9TH AVENUE","Valemount - Town","$25,500","288",,,"7,531.00",,"1/6/2015","$25,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261108185/0/60/45/d40d1a647e0c2c4e357ff730de91b521/15/261db85f6726d5111b310e3e4d14304c/261108185.JPG","F1417007","Residential Detached","S","57 15820 FRASER HIGHWAY","Fleetwood Tynehead","$27,500","187","2","1971","0.00","MANUF","1/7/2015","$27,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261232561/0/60/45/9b21fcab0c1641ed07323ee33c0a8c05/16/315a396a25b292ad65040eb074ca1e60/261232561.JPG","V1083596","Residential Detached","S","25 4116 BROWNING ROAD","Sechelt District","$30,000","125","3","1981","0.00","MANUF","1/6/2015","$30,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260886311/0/60/45/1b1f59bb3cc6f5b0ad4a82bb2c1a6dda/14/831b600783be16007de177b574d12666/260886311.JPG","H1401278","Land Only","S","LOT 6 VEDDER MOUNTAIN ROAD","Yarrow","$31,500","278",,,"0.00",,"1/6/2015","$31,500"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","F1429033","Residential Detached","S","3 9080 198 STREET","Walnut Grove","$33,000","0","2","1982","0.00","MANUF","1/5/2015","$33,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261422446/0/60/45/5403bad0c7c62fc7500a6f6893993f1c/13/9632d2813dfade5a3c407451089412c1/261422446.JPG","N241440","Residential Detached","S","22 803 HODGSON ROAD","Williams Lake - Rural South","$34,500","24","2","1992","0.00","MANUF","1/10/2015","$34,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260294272/0/60/45/c0578944f1ffa83acbd0d1bd789cdb27/16/34447dcf4c54e139eef57a788f2acedd/260294272.JPG","V1009661","Land Only","S","9506 LOT D PORTAGE ROAD","Birken","$35,000","592",,,"0.00",,"1/9/2015","$35,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261310216/0/60/45/ecf94641fd456fe55ef34e5b768ad212/15/aef21955ecefd511a532d887496d1028/261310216.JPG","F1424813","Residential Detached","S","36 9525 KING GEORGE BOULEVARD","Queen Mary Park Surrey","$40,000","97","2","1974","0.00","MANUF","1/12/2015","$40,000"
