"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261544143/0/60/45/95df7e7791b5e1a7a2672e24f2b8e2c7/13/b4dc19b90c16e78409e0aca7d0f1c162/261544143.JPG","N242614","Land Only","S","LOT 294 LUDLOM ROAD","Deka/Sulphurous/Hathaway Lakes","$15,900","156",,,"0.00",,"8/2/2015","$15,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261883235/0/60/45/22811d678fdacf723ece0ea8c9bd11c1/14/f1ae77bc4c13ea69770f579a52eb4d18/261883235.JPG","H2152713","Residential Detached","S","73 45640 WATSON ROAD","Vedder S Watson-Promontory","$20,000","21","2","1974","0.00","MANUF","7/29/2015","$20,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261747447/0/60/45/d093de001bbfd554293d2a255b176d05/14/c6689b840d2a3ced23afc04b4bca1788/261747447.JPG","H2152011","Residential Detached","S","26 62780 FLOOD HOPE ROAD","Hope Center","$24,000","92","2","9999","0.00","MANUF","7/27/2015","$24,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261852879/0/60/45/fc035e4d46250564078c4a455945a220/13/c6f228bab1f9aa1903042fa393fc831f/261852879.JPG","N246483","Residential Detached","S","5 2189 GASSOFF ROAD","Quesnel - Town","$24,500","37","2","1985","0.00","MANUF","8/2/2015","$24,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261382857/0/60/45/785b70eb444b4f413a51108c5e357e48/16/6548a680977705cc907eea3458966cfc/261382857.JPG","V1094561","Residential Detached","S","43 21163 LOUGHEED HIGHWAY","East Central","$28,000","254","2","1970","0.00","MANUF","7/28/2015","$28,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261642158/0/60/45/63b2d8adcaed58ef1696c7cc3f57419b/13/c002e4798b581393040ef6c8c1e50c0b/261642158.JPG","N243788","Residential Detached","S","19 4501 NAHANNI DRIVE","Fort Nelson -Town","$30,000","113","2","1973","0.00","MANUF","7/30/2015","$30,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/257862290/0/60/45/0e18b3342204386c86ff1184c90c9ca8/13/30c2f1d3b99189195ce4e40f32d21af7/257862290.JPG","N201613","Land Only","S","LOT 4 HORSEFLY LANDING ROAD","Horsefly","$31,500","1894",,,"0.00",,"7/29/2015","$31,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261925818/0/60/45/42ff7731679cfc64f7a77e3d17348c9d/13/20fd6ab1dc245a52edc4e427c4fbaa64/261925818.JPG","N247363","Land Only","S","1701 VEILLETTE ROAD","Quesnel Rural - South","$34,000","1",,,"0.00",,"7/28/2015","$34,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261425555/0/60/45/de23dadc01bddfbf487f2b794c91009a/15/3e6b70cc4b0d1284b67f7671e1d01b3d/261425555.JPG","F1428685","Residential Detached","S","55 2035 MARTENS STREET","Poplar","$36,000","218","2","1980","0.00","MANUF","7/28/2015","$36,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261633301/0/60/45/8ee47da7704c55a0c5063ba789bbea5a/13/f230a42880f32a61c810254bd3157a0c/261633301.JPG","N243668","Residential Detached","S","3 MCKENDRICK AVENUE","Granisle","$37,500","119","3","1972","7,626.00","HOUSE","7/30/2015","$37,500"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","F1448155","Residential Detached","S","65 2270 196 STREET","Brookswood Langley","$38,500","3","1","1980","0.00","MANUF","7/30/2015","$38,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261090661/0/60/45/e0247d61e91beb4bd0dba84f58c62056/13/20504726b133e82e93438608e588f43b/261090661.JPG","N237592","Land Only","S","LOT 15 16 HIGHWAY","Hazelton","$40,000","399",,,"0.00",,"7/27/2015","$40,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261713005/0/60/45/5f154eaa181c6815423cd89f0ac67e42/13/334ec4eafbe0b2438fe48357d4ddbd1c/261713005.JPG","N244705","Land Only","S","LESLIE ROAD","Fraser Lake","$43,500","92",,,"0.00",,"7/31/2015","$43,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261495171/0/60/45/c466c515882f45e9c051837f2f14afe1/15/02a71ef693efc70d0569b04ff8d02415/261495171.JPG","F1431826","Residential Detached","S","25 2270 196TH STREET","Brookswood Langley","$43,500","177","2","1977","0.00","MANUF","7/27/2015","$43,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261898869/0/60/45/45b31731d1c8a70f57b65201198941df/13/68521883e6a0cdd25313309432d5ce56/261898869.JPG","N247016","Residential Detached","S","11 25 MACKENZIE BOULEVARD","Mackenzie -Town","$43,500","18","2","1996","0.00","MANUF","7/27/2015","$43,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261868826/0/60/45/94964b0057ae0abe5cea2f5e47992eba/15/dd630be33f53d63aab10b5affb36571c/261868826.JPG","F1446114","Residential Detached","S","14 4426 232 STREET","Salmon River","$45,000","26","2","1974","0.00","MANUF","7/31/2015","$45,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261498025/0/60/45/babfaeb00f5b916d25407f70d00a83e2/16/5bdd79a6d9b70dc3b3e29eedb8ce84dc/261498025.JPG","V1103726","Residential Attached","S","316G1 4653 BLACKCOMB WAY","Benchlands","$52,000","174","1","2000","0.00","APTU","7/29/2015","$52,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261927688/0/60/45/117c9796fe4135c70c1b405abdef26d3/16/cd46d855ad236dbb6510e08b01400236/261927688.JPG","V1136928","Residential Attached","S","302 4295 BLACKCOMB WAY","Whistler Village","$55,000","5","1","1995","0.00","APTU","8/1/2015","$55,000"
