"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261480223/0/60/45/202287701af05ccf10ebfcee0898e278/13/f8356658e70fb5f7e46f9ece590d1a08/261480223.JPG","N242029","Residential Detached","S","56 1700 BROADWAY STREET","Williams Lake - City","$18,000","133","3","1978","0.00","MANUF","6/10/2015","$18,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261565725/0/60/45/ccfbf6b3197197396ed7058d3096259f/16/f2a88d4cf6837b3ef041bcd2414d5cfe/261565725.JPG","V1110919","Residential Detached","S","93 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","$20,000","88","2","1967","0.00","MANUF","6/12/2015","$20,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261783458/0/60/45/8af936147013b8b920a70f6765f0f043/16/ed7b64cd1c6f5f0a6cfe20683a3c752e/261783458.JPG","V1126842","Residential Detached","S","25 7617 PEMBERTON MEADOWS ROAD","Pemberton Meadows","$20,500","14","3","1973","0.00","MANUF","6/15/2015","$20,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261797227/0/60/45/a24e6ff29992352fa2a50d4e292cdae2/13/2a886b48264b4c3695a1f70400f361c2/261797227.JPG","N245795","Residential Detached","S","34 8420 ALASKA ROAD","Fort St. John - City SE","$24,000","6","2","1971","0.00","MANUF","6/11/2015","$24,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261804703/0/60/45/23bbd2f3b78284276dd64cc384985058/13/23c0a01dfa2a23ef9e07f04bddaaea2f/261804703.JPG","N245898","Land Only","S","LT 7 8696 AIRPORT ROAD","Fort St. James - Rural","$25,000","5",,,"0.00",,"6/13/2015","$25,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261744951/0/60/45/88e531d6d3f7bf9720660f3faf9cc4a1/16/97f4f7c4eebde4fa9492d4da54bd347a/261744951.JPG","V1123270","Residential Detached","S","10 12868 229TH STREET","East Central","$26,500","31","1","1964","0.00","MANUF","6/13/2015","$26,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261806585/0/60/45/55ecef682c344ad258770e4230801e00/15/45225111b51b3371e205b4edd8defcb7/261806585.JPG","F1443717","Residential Detached","S","125 10221 WILSON STREET","Stave Falls","$31,900","10","2","1983","0.00","MANUF","6/15/2015","$31,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261629477/0/60/45/337b4b41efe32d4ba5e88decd1badc4e/13/038b6925727e9b3d80347d2d3f0fc3bf/261629477.JPG","N243659","Residential Detached","S","13 2091 E 16","Vanderhoof - Town","$34,000","74","3","1982","0.00","MANUF","6/12/2015","$34,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261318733/0/60/45/787033547bb616259579cbdd47d37da0/15/129015b07a8b6794d5870ee8b104a245/261318733.JPG","F1425087","Residential Detached","S","32 7850 KING GEORGE BOULEVARD","East Newton","$43,000","242","2","2001","0.00","MANUF","6/12/2015","$43,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261439553/0/60/45/fe7ffe23a07db1f3b13a47a7236bed32/14/3fc246debe03b19de49d37ee4211ca4c/261439553.JPG","H2150076","Residential Detached","S","44 45111 WOLFE ROAD","Chilliwack W Young-Well","$45,000","156","2","1977","0.00","MANUF","6/10/2015","$45,000"
