"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261798162/0/60/45/2451b31aab46d5c500c20ce07172eea0/13/0b0fb2acf896ef0685aa1b5ddecc10c6/261798162.JPG","N245816","Land Only","S","LOT 17 BOWRON LAKE ROAD","Wells/Barkerville","$10,500","12",,,"0.00",,"6/17/2015","$10,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260945550/0/60/45/0110c5c3fdf4e9c4636d1701a34e7ed9/13/30623dc84e7d94414ec89c70f0deafe2/260945550.JPG","N235389","Land Only","S","LOT 18 CLEAVE CRESCENT","Red Bluff/Dragon Lake","$15,500","413",,,"0.00",,"6/16/2015","$15,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261556111/0/60/45/b6bf54f7b580b02e3600ee3738800dc2/15/5536375db5b7c0018fce46c5156d1ddb/261556111.JPG","F1434189","Residential Detached","S","75 7790 KING GEORGE BOULEVARD","East Newton","$20,000","106","2","1975","0.00","MANUF","6/16/2015","$20,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261783458/0/60/45/8af936147013b8b920a70f6765f0f043/16/ed7b64cd1c6f5f0a6cfe20683a3c752e/261783458.JPG","V1126842","Residential Detached","S","25 7617 PEMBERTON MEADOWS ROAD","Pemberton Meadows","$20,500","14","3","1973","0.00","MANUF","6/15/2015","$20,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261806585/0/60/45/55ecef682c344ad258770e4230801e00/15/45225111b51b3371e205b4edd8defcb7/261806585.JPG","F1443717","Residential Detached","S","125 10221 WILSON STREET","Stave Falls","$31,900","10","2","1983","0.00","MANUF","6/15/2015","$31,900"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261550738/0/60/45/8d305980f91c4ae1f8d291b8f81d6c84/15/794fcf5a7b87e6a10cfc5a072f290fec/261550738.JPG","F1433974","Residential Detached","S","17 35584 DURIEU ROAD","Durieu","$32,000","106","2","9999","0.00","MANUF","6/16/2015","$32,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261477931/0/60/45/b9bad5667e8f86a30d4b55b541ce4ad3/14/5da464400a2af20b1a05c0b3a9401bdf/261477931.JPG","H2150351","Residential Detached","S","12 62010 FLOOD HOPE ROAD","Hope Center","$34,000","141","2","1980","0.00","MANUF","6/16/2015","$34,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261802729/0/60/45/e6228f1dc072d67c798de3048f413bba/13/948f356f5ff4b203842cba537d765e75/261802729.JPG","N245875","Residential Detached","S","7615 BURGESS ROAD","Deka/Sulphurous/Hathaway Lakes","$49,000","12","4","9999","35,719.20","HOUSE","6/16/2015","$49,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261372470/0/60/45/8394ade5b0ee5f464aabbba24c365cc2/13/f0a6d43a68ab225d215bd700e82625b8/261372470.JPG","N240997","Land Only","S","1719 INDIA AVENUE","Prince Rupert - City","$54,000","214",,,"4,500.00",,"6/14/2015","$54,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261811642/0/60/45/22227001544632069ff8a8adabdd0e34/13/365480d92b86e550bb3775772f29a913/261811642.JPG","N245977","Residential Detached","S","48 997 20TH HIGHWAY","Esler/Dog Creek","$59,000","9","2","1983","0.00","MANUF","6/19/2015","$59,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261826507/0/60/45/413e6b45b6d897b80b8d2721a7c62972/14/74847f8d59f223bd7986ac46a1edb4e0/261826507.JPG","H2152419","Residential Attached","S","106 9417 NOWELL STREET","Chilliwack N Yale-Well","$63,000","3","2","1983","0.00","APTU","6/18/2015","$63,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261525248/0/60/45/35c7017b977288a537c478a8db3249f5/15/511f569b3f62b8a0d34de0edb581b02e/261525248.JPG","F1433036","Residential Attached","S","204 32110 TIMS AVENUE","Abbotsford West","$63,481","127","2","1983","0.00","APTU","6/16/2015","$63,481"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261659371/0/60/45/4e07c8b71a2d2a2ebd5b881e805448ed/16/7d77093016859507b02ccf0f72907781/261659371.JPG","N244051","Land Only","S","LOT C KALUM LAKE ROAD","Terrace - Northwest/Rosswood","$63,500","68",,,"0.00",,"6/17/2015","$63,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261827650/0/60/45/83105572772d099923cc13aa8933f0b3/13/37e803f0f8c8485e62634d84ff867fba/261827650.JPG","N246159","Residential Detached","S","37 OLD HOPE ROAD","Lakeshore","$65,000","3","4","1972","0.00","MANUF","6/19/2015","$65,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261763824/0/60/45/40d6a0015bdb6dabbce9e2a2055d8c77/16/ddef93ff0dc9f4eb9015c7594fbed122/261763824.JPG","V1124701","Residential Attached","S","203 7220 LINDSAY ROAD","Granville","$72,800","28","1","1973","0.00","APTU","6/19/2015","$72,800"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261729008/0/60/45/a1cb18c537e100ced0dd52087abe9703/13/d888e3ddb463ad88ba38ce06ce91efa6/261729008.JPG","N244930","Residential Detached","S","85 3884 OLD LAKELSE LAKE DRIVE","Thornhill","$81,500","41","2","1995","0.00","MANUF","6/17/2015","$81,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261606296/0/60/45/c7add8945d1c8f6c40e7ee2b270366ae/13/932fde1b721de44bcafa33bd3a0ced73/261606296.JPG","N243298","Land Only","S","4187 SUNSHINE CRESCENT","Buckhorn","$85,000","91",,,"0.00",,"6/17/2015","$85,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261781532/0/60/45/01bbf26a01568a9eaa3aecfe6e3d1b23/16/ad2b43b98a0ec7a7e8448b0f2ef35ee5/261781532.JPG","V1126116","Residential Detached","S","22 7370 HIGHWAY 99","Pemberton","$85,500","15","2","1997","0.00","MANUF","6/16/2015","$85,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261431958/0/60/45/776046a9719aabae6b805ef9b0cc2c80/16/f9a5e06f68aa5f3e150aae95e2b49407/261431958.JPG","F1428891","Land Only","S","34651 GORDON PLACE","Hatzic","$90,000","170",,,"0.00",,"6/19/2015","$90,000"
