"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261585828/0/60/45/2df3f9d3ce4d87daeac7bc37afb8e80b/13/f78e19737dec7dd1c52604081e9f8312/261585828.JPG","N243051","Land Only","S","BLOCK B TALLUS ROAD","Summit Lake","$12,000","112",,,"0.00",,"7/2/2015","$12,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261692726/0/60/45/3e3c91182e5b952af85a1e1dc9126a8b/13/bf6dd8a8aa45a382b9934a8fa633e805/261692726.JPG","N244470","Residential Detached","S","50 634 S ELM STREET","Red Bluff/Dragon Lake","$21,000","69","1","1981","0.00","MANUF","7/2/2015","$21,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261491830/0/60/45/f0a887f4c21ad9b46d8b153e2c5258b4/13/34c8b003012b0d797d49f4388d21c51e/261491830.JPG","N242110","Land Only","S","LOT 3 GOLDEN POND ROAD","Red Bluff/Dragon Lake","$21,500","144",,,"0.00",,"6/26/2015","$21,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261851508/0/60/45/e83baac31e23963e7638f2e4d95e3f73/15/eb8046e4f568c9f54101b4e08fc31511/261851508.JPG","F1445488","Residential Detached","S","12 7850 KING GEORGE BOULEVARD","East Newton","$32,000","6","2","1976","0.00","MANUF","7/1/2015","$32,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261776492/0/60/45/ff3863ee4eb20f27fd19d4aeddcfecb7/13/fa67db90489bfc6b1ecb65a5e934d511/261776492.JPG","N245490","Residential Detached","S","7579 INGENTO ROAD","Deka/Sulphurous/Hathaway Lakes","$38,000","32","0","2008","0.00","RECRE","6/27/2015","$38,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261831036/0/60/45/df90787c67f8a3f68ff7dd5556f0b1ff/13/cfe558e1e4a392d75e97a21c7896cd2a/261831036.JPG","N246199","Residential Attached","S","886 OCEANVIEW DRIVE","Port Edward","$44,000","14","3","1975","4,206.00","DUPXH","7/2/2015","$44,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261694246/0/60/45/c7cf58038366faf1e33bd490499f6921/15/f91eb9ec30176bb9dea75082cc2c5f77/261694246.JPG","F1439454","Residential Detached","S","53 3300 HORN STREET","Central Abbotsford","$44,000","61","2","1988","0.00","MANUF","6/27/2015","$44,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261780606/0/60/45/72c488b9fdd2d8a1de234717fd710383/15/41b4db77e17c8f896e00fbb4093561de/261780606.JPG","H2152168","Residential Attached","S","307 9282 HAZEL STREET","Chilliwack E Young-Yale","$46,900","30","1","1982","0.00","APTU","6/26/2015","$46,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260623234/0/60/45/324af240cdb47dea070f19e0b6a92ce9/13/a03ee7ef10cb3a3446531cd1bbb93986/260623234.JPG","N231908","Land Only","S","LOT A 20 HIGHWAY","Bella Coola/Hagensborg","$48,000","603",,,"0.00",,"6/26/2015","$48,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261402995/0/60/45/006b78a7729c48595bfdb6652dc0803a/16/054dcbc17e8364421abf1081591e1e75/261402995.JPG","V1095955","Residential Attached","S","217 4122 VILLAGE GREEN","Whistler Village","$50,000","212","0","1987","0.00","APTU","6/29/2015","$50,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261743597/0/60/45/776c3564d90520392f0aa7872a7007e7/13/7610b3d7739a6dc6ccee9e39b92c2b74/261743597.JPG","N245101","Residential Detached","S","19 5378 PARK DRIVE","103 Mile House","$53,000","43","2","1995","0.00","MANUF","6/26/2015","$53,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261791283/0/60/45/6a81c2d907b5f36a8d4a2f9712065229/13/0616587a444975fc37bf16297db48820/261791283.JPG","N245691","Residential Detached","S","137 8420 ALASKA ROAD","Fort St. John - City SE","$54,500","27","3","1974","0.00","MANUF","6/29/2015","$54,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261461148/0/60/45/61222f76ce6b8a4c785a10b8ff48073b/13/febd60bcdc2650f7e0a4e33abb1ef755/261461148.JPG","N241824","Residential Attached","S","409 282 N BROADWAY AVENUE","Williams Lake - City","$55,000","164","2","1978","0.00","APTU","7/2/2015","$55,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261833745/0/60/45/0663b38d4be4876d17c06faa425e7047/15/a70e1361d835e8de5f75d05e34c39f4f/261833745.JPG","F1444712","Residential Detached","S","106 8224 134TH STREET","Queen Mary Park Surrey","$55,000","11","2","1983","0.00","MANUF","6/26/2015","$55,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261617786/0/60/45/e8ae25553bc704573585b4860d22c963/13/a1d56cb05aca2fadf6bdff24657d7c7b/261617786.JPG","N243473","Residential Detached","S","60 4625 GRAHAM AVENUE","Terrace - City","$56,000","96","2","1978","0.00","MANUF","6/30/2015","$56,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261678603/0/60/45/d61480a87fc2b5c9803375c0017509c3/15/25fe87204dfb1a022482b0e2fa39bbd1/261678603.JPG","H2151568","Residential Attached","S","139 1783 AGASSIZ-ROSEDALE HIGHWAY","Agassiz","$58,500","67","1","1977","0.00","APTU","6/27/2015","$58,500"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261657468/0/60/45/b234d23ac69813ee2b4b2ee3ef685fed/15/96865fc4f3e4471be7433d45b1fca34f/261657468.JPG","F1438048","Residential Detached","S","33 26892 FRASER HIGHWAY","Aldergrove Langley","$59,850","76","2","1971","0.00","MANUF","6/28/2015","$59,850"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261862102/0/60/45/ebb312f9587b50f4f7f920f822c11cc9/13/3790311e3e19a3c4360be25ec0e49741/261862102.JPG","N246569","Residential Attached","S","44 11 SELWYN DRIVE","Mackenzie -Town","$62,900","3","3","1967","0.00","TWNHS","7/2/2015","$62,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261526554/0/60/45/9603b51fa9d07f345a103816fbae0d69/13/5276348da8fdd174a4b567d2db451b52/261526554.JPG","N242460","Residential Attached","S","D58 2131 UPLAND STREET","VLA","$66,250","133","3","9999","0.00","TWNHS","6/29/2015","$66,250"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261689629/0/60/45/2bc92bc99313d6cd5de24672d49883e4/16/df7f0f7408963e2c9f6a87e8e7db18bb/261689629.JPG","N244424","Land Only","S","4815 KALUM LAKE ROAD","Terrace - City","$67,000","71",,,"0.00",,"7/2/2015","$67,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261833767/0/60/45/ca8314fc1c6b26f9abaad7011e333135/13/f74a83dd6573b1d97dd27004c474582b/261833767.JPG","N246219","Residential Detached","S","2412 PINE ROAD","70 Mile House","$70,000","16","2","9999","0.00","HACR","7/2/2015","$70,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261769953/0/60/45/7bbae05cd62d8c89b0aafbef641c337e/13/6abf28544f04321b96ee92a3a96ce1f8/261769953.JPG","N245407","Residential Detached","S","4347 HARDY ROAD","Forest Grove","$70,000","41","2","1974","0.00","MNFLD","7/1/2015","$70,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261769600/0/60/45/ed7e6b7f0f1d60820b76fcd03f2dc556/14/e8255993de8a2bb46668e0432a9f77e3/261769600.JPG","H2152129","Residential Detached","S","96 6035 VEDDER ROAD","Sardis West Vedder Rd","$75,900","35","2","1990","0.00","MANUF","6/30/2015","$75,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261675077/0/60/45/31435b972ef7f783c61e174938708362/14/d840932e90855f23bf60ad63b077b978/261675077.JPG","H2151539","Residential Attached","S","304 8934 MARY STREET","Chilliwack W Young-Well","$78,000","77","2","1994","0.00","APTU","7/2/2015","$78,000"
