"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261363090/0/60/45/0bcaa16f032178f3ce78b8522121d5c9/15/afb1e41f651f77bd070774a879997fba/261363090.JPG","F1426587","Residential Detached","S","182 7790 KING GEORGE BOULEVARD","East Newton","$15,000","134","2","1975","0.00","MANUF","3/21/2015","$15,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261535090/0/60/45/5f7a78617e2d682ce68d8cabf831e434/13/d7728444ea866d9b051362c5c732f5e0/261535090.JPG","N242512","Residential Detached","S","15 3666 11TH STREET","Houston - Town","$16,000","37","2","1977","0.00","MANUF","3/21/2015","$16,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261489646/0/60/45/c4ca2f042cceca3227c64e996b549a54/13/f669e6502a2812a8b744012dd2416ad9/261489646.JPG","N242093","Land Only","S","LOT 1 SHILLINAY PLACE","108 Ranch","$16,500","53",,,"0.00",,"3/25/2015","$16,500"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261578660/0/60/45/d7a33b35852ab7c916b3454751b73bc2/13/554aa1421438d1b8a92c1b04133ce8c8/261578660.JPG","N242965","Land Only","S","LOT 6 GOLDEN POND ROAD","Red Bluff/Dragon Lake","$21,500","11",,,"0.00",,"3/22/2015","$21,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261572462/0/60/45/f22cbc43a86aa2ec0ec2b693a2a152b5/15/8d3a712d08e7141f2334b2623b1d53d8/261572462.JPG","F1434845","Residential Detached","S","58 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$25,000","14","3","1976","0.00","MANUF","3/21/2015","$25,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261481925/0/60/45/f1dc922e8ad6d4a688e2c0283f43f545/14/193994b17d78a78916bffad0ca3a38dd/261481925.JPG","H2150372","Residential Attached","S","206 46165 GORE AVENUE","Chilliwack E Young-Yale","$30,000","50","1","1974","0.00","APTU","3/20/2015","$30,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261582391/0/60/45/ff01a43c988f65f5c600ea7b4f956489/16/5731ac44913fcd4cc4d940fe9723a645/261582391.JPG","F1435254","Residential Detached","S","89 9950 WILSON STREET","Stave Falls","$38,900","11","2","1974","0.00","MANUF","3/22/2015","$38,900"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261087447/0/60/45/e8b259b54a1c446149bf9ce224f93e25/13/8539f50aa807c6658e7365df4f647896/261087447.JPG","N237521","Residential Detached","S","1 HARMON CRESCENT","Granisle","$39,500","272","3","1972","8,400.00","HOUSE","3/25/2015","$39,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261526150/0/60/45/2752c481ea1f4f75c80a638570c89d9a/13/ceeb5431ed2caa36ce09902fbdb0b96e/261526150.JPG","N242452","Residential Attached","S","302 1288 SUMMIT AVENUE","Prince Rupert - City","$49,500","41","3","1968","980.00","APTU","3/20/2015","$49,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260972403/0/60/45/31e709d5c1218ec4528bde3355754719/13/81530970177d218e9c179fd7e8f5c9f8/260972403.JPG","N235800","Residential Attached","S","1006 1501 QUEENSWAY STREET","Millar Addition","$50,000","319","1","1965","0.00","APTU","3/21/2015","$50,000"
