"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261622648/0/60/45/d53f5c8b5ff3c8faf077f3fea754464b/13/74e2385057bd6e92a14d605212179ea4/261622648.JPG","N243540","Land Only","S","33707 E OOTSA LAKE ROAD","South Francois","$17,500","7",,,"0.00",,"4/2/2015","$17,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877451/0/60/45/364e6fa5418954d9db328dc0fe85bfbc/13/4545d9257d1a3de97e8ede74fc006f7a/259877451.JPG","N223294","Land Only","S","LOT 2 GOLD DIGGER DRIVE","150 Mile House","$22,500","885",,,"0.00",,"3/30/2015","$22,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877593/0/60/45/78dd1e9bcf8c4854748cfb4f92cd3bea/13/a76f80af36b3d05737646b7722549230/259877593.JPG","N223305","Land Only","S","LOT 27 GOLD DIGGER DRIVE","150 Mile House","$22,500","885",,,"0.00",,"3/30/2015","$22,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261622114/0/60/45/9a6ee77a0cd572cc1b646d30fbc6b525/13/3c88381b00eea9bacd014f874bb4fd7c/261622114.JPG","N243525","Residential Detached","S","3 8420 ALASKA ROAD","Fort St. John - City SE","$24,000","1","3","1974","0.00","MANUF","3/31/2015","$24,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261467166/0/60/45/157bda75041a7bacbbab1503d2db0521/15/26e7628b46137e66146641a55c6f3233/261467166.JPG","F1430546","Residential Detached","S","9 15820 FRASER HIGHWAY","Fleetwood Tynehead","$27,500","70","1","1975","0.00","MANUF","3/31/2015","$27,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261506314/0/60/45/b3d6280716aee3ce82f701cc039c59c3/13/149de6c254983a7d0ab06a911800166d/261506314.JPG","N242248","Residential Detached","S","23 302 N BROADWAY AVENUE","Williams Lake - City","$35,000","50","3","1979","0.00","MANUF","3/31/2015","$35,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261613568/0/60/45/3f3c558246690f8b5837628461257751/16/7a7a4c7c6a8fec5a6a34ce883d791717/261613568.JPG","H2151180","Residential Detached","S","79 6338 VEDDER ROAD","Sardis East Vedder Rd","$45,000","5","2","1974","0.00","MANUF","3/28/2015","$45,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260443869/0/60/45/9debd12dc60d7ad66f36d3d0c97ef393/13/a49bb535c3993e87f857574222f257c3/260443869.JPG","N229866","Residential Detached","S","5 WILKINSON AVENUE","Granisle","$47,000","609","3","9999","9,100.00","HOUSE","4/1/2015","$47,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261599534/0/60/45/f74d06c03a894753cb23241599d72d89/14/ef2b93c44d859ca1bdfac4d620bc0e3d/261599534.JPG","H2151107","Residential Detached","S","14 44565 MONTE VISTA DRIVE","Vedder S Watson-Promontory","$54,000","10","2","1989","0.00","MANUF","4/2/2015","$54,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261161373/0/60/45/119fdc1aec6284e401dfb90536f19372/13/f2a0b95422f2e2cb22fadac92ad9bffc/261161373.JPG","N238589","Land Only","S","76 BROUSSEAU ROAD","Terrace - Northwest/Rosswood","$54,900","245",,,"0.00",,"4/1/2015","$54,900"
