"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260745422/0/60/45/0b9015932cc67ea99f0e07e68916d573/13/ed65204436a5a9cc46c5cf27c5b521e5/260745422.JPG","N233011","Land Only","S","8300 CORRAL ROAD","Western Acres","$21,000","492",,,"0.00",,"5/15/2015","$21,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261342975/0/60/45/155eb910b76f244fd8205af02eab36de/13/83dd8f2c30da602ab40295e87c0eb9e9/261342975.JPG","N240681","Land Only","S","LOT 10 BIRCHWOOD ROAD","100 Mile House - Rural","$22,000","203",,,"0.00",,"5/11/2015","$22,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261391037/0/60/45/c366999f96e26ecaead25c6573c702ed/13/5c2ec1e593730bd3fffa59ec31f2d841/261391037.JPG","N241159","Land Only","S","LOT 5 LITTLE LAKE ROAD","Horsefly","$35,000","176",,,"0.00",,"5/15/2015","$35,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261611655/0/60/45/0016b2de321a21d0be7b7a0706dd7047/13/0d4d592949e87c03a162b63ccbc1c7d7/261611655.JPG","N243401","Residential Detached","S","31 4430 16 HIGHWAY","Smithers - Town","$39,000","52","2","1983","0.00","MANUF","5/14/2015","$39,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261723200/0/60/45/f9d1beea858b376bf71f1ebf69913c00/13/11e3ad3ead39c193f664c10437bb23eb/261723200.JPG","N244853","Residential Detached","S","13 HARMON CRESCENT","Granisle","$45,000","9","3","1972","7,872.00","MNFLD","5/14/2015","$45,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261700438/0/60/45/f0cc76aa7d468a0c381acd4ba6ffd39a/14/3ebea5cdc9a3834e49da0b2e557983b7/261700438.JPG","H2151704","Residential Detached","S","58 6035 VEDDER ROAD","Sardis West Vedder Rd","$46,000","15","2","1973","0.00","MANUF","5/12/2015","$46,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261492499/0/60/45/decb3937ef7f06209a294cd3f8554f1a/15/b86e440b06f87ac3454c55c070c095a2/261492499.JPG","F1431702","Residential Detached","S","80 3300 HORN STREET","Central Abbotsford","$50,000","99","2","1981","4,000.00","MANUF","5/13/2015","$50,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261473543/0/60/45/00149b9d68cef7dc0f8e214bba1331a2/15/32266f34d93e8f4be1fe592ceaadf6b3/261473543.JPG","F1430850","Residential Detached","S","60 3300 HORN STREET","Central Abbotsford","$52,000","109","2","1992","0.00","MANUF","5/11/2015","$52,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261588718/0/60/45/0b52df42a6e6f85c95ff8bbf8c98679c/15/b8da2050b054d1081cb36c93c1ff6e20/261588718.JPG","F1435499","Residential Detached","S","40 2270 196TH STREET","Brookswood Langley","$57,000","59","2","1978","0.00","MANUF","5/11/2015","$57,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261027326/0/60/45/85f476abc38d2dc7b2f879e9f9b1e7f2/16/402106ca798e797a9d3029427d98dc39/261027326.JPG","V1068058","Land Only","S","SL 19 DOUGLAS BAY GAMBIER ISLAND BAY","Gambier Island","$60,000","345",,,"0.00",,"5/11/2015","$60,000"
