"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261606741/0/60/45/94b4a46c9ab2fbf18ce67b7bdbd20dd1/13/4120146b1ab111a4df2ffa6111f2525c/261606741.JPG","N243307","Land Only","S","LOT A NORWOOD ROAD","Bouchie Lake","$20,000","46",,,"0.00",,"5/6/2015","$20,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261676190/0/60/45/94058d4d1d88d09d063fcc8dddfdb0d7/13/f317f9a9ddfaf93d77b5a9e435b6f480/261676190.JPG","N244237","Residential Detached","S","26 2091 W 16 HIGHWAY","Vanderhoof - Town","$27,500","14","2","1969","0.00","MANUF","5/4/2015","$27,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261573364/0/60/45/a7cfb1df6012f30b5b99814dc169fafb/13/1c33bea6162ddbca3c45ab686c702623/261573364.JPG","N242893","Land Only","S","2967 MINOTTI DRIVE","Hart Highway","$35,000","56",,,"36,590.40",,"5/6/2015","$35,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261606639/0/60/45/1dd7686ad2740577e534dbbb3e774578/13/758e725fbb0900f32a081e2cbea950c2/261606639.JPG","N243306","Land Only","S","LOT B NORWOOD ROAD","Bouchie Lake","$40,000","46",,,"0.00",,"5/6/2015","$40,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261700604/0/60/45/f64c42d1fda39d041e4f286a643ebb81/13/2d29e1a86b86942b4bcc58b028c6cfd4/261700604.JPG","N244562","Land Only","S","1000 ALFRED STREET","Prince Rupert - City","$41,000","8",,,"3,750.00",,"5/8/2015","$41,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261582549/0/60/45/e2d343c36479a7d5fc585f78c0cf726c/14/d61fe134ed739c7071a7a981585984fd/261582549.JPG","H2150998","Residential Detached","S","27 44565 MONTE VISTA DRIVE","Vedder S Watson-Promontory","$42,000","55","2","1972","0.00","MANUF","5/5/2015","$42,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261518783/0/60/45/5dc5e1a1140592b9a5998d2f271a1684/15/3b51eccbd43f46a724ec1e95c2574aaf/261518783.JPG","F1432781","Residential Detached","S","108 1840 160TH STREET","King George Corridor","$46,000","81","3","1975","0.00","MANUF","5/8/2015","$46,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261271541/0/60/45/0b9b98b006f6e28b09c0052cbd41a5ad/15/3829d368fdd03abc88ef50e266ca6039/261271541.JPG","H1403890","Residential Attached","S","309 45744 SPADINA AVENUE","Chilliwack W Young-Well","$54,900","225","1","1981","0.00","APTU","5/5/2015","$54,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261084603/0/60/45/875b7b823f2d32d4e60f025a87d9dbc3/16/33873337c57ef25a3c6b29860897864e/261084603.JPG","V1072519","Land Only","S","SHAWANABE ROAD","Gambier Island","$55,000","317",,,"0.00",,"5/6/2015","$55,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261647134/0/60/45/80993979db8cb3eb8d1f523ec76d2f82/13/7e82aeed230ecd837fc20a278ddd5c87/261647134.JPG","N243870","Residential Detached","S","341 DEASE AVENUE","Fort St. James - Town","$57,500","31","3","9999","7,600.00","HOUSE","5/5/2015","$57,500"
