"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261704717/0/60/45/0d128efa7924715970b344a44e317010/15/defdbaec1c3a7399b0220bfa1e1a8995/261704717.JPG","F1439939","Residential Detached","S","37 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$7,800","19","1","1975","0.00","MANUF","5/20/2015","$7,800"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261624746/0/60/45/74ec4afcdd8b628e9872f0f1de8ce1cb/15/8ec19490d6c1fc3779130bf66031e060/261624746.JPG","F1436810","Residential Detached","S","48 7850 KING GEORGE BOULEVARD","East Newton","$11,000","53","2","1977","0.00","MANUF","5/19/2015","$11,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261671040/0/60/45/60caca7772b5b11a2614a2f7eec1615d/15/7e3d8fdc87f8625b78afa1b07e7d8dd6/261671040.JPG","F1438597","Residential Detached","S","86 7850 KING GEORGE BOULEVARD","East Newton","$15,000","38","2","1976","0.00","MANUF","5/22/2015","$15,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261522508/0/60/45/0657d51a356e8e0057eb043f088b01bf/13/9b4874bbf8ea0e4b1d459a1375e6f27f/261522508.JPG","N242400","Land Only","S","LOT 145 PATERSON ROAD","Deka/Sulphurous/Hathaway Lakes","$26,000","93",,,"0.00",,"5/21/2015","$26,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261682271/0/60/45/2dd120a5633a272daf08f9988bf1a84d/13/419bbcb685554955d443c08590f56c71/261682271.JPG","N244319","Residential Attached","S","886 OCEANVIEW DRIVE","Port Edward","$30,000","35","3","1975","4,206.00","DUPXH","5/21/2015","$30,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261605915/0/60/45/6f014d1dde0a1da199ca12e2b17487f7/15/dca23e9785a0b024b11d32229458bc68/261605915.JPG","F1436158","Residential Detached","S","4 26892 FRASER HIGHWAY","Aldergrove Langley","$31,500","61","1","2002","0.00","MANUF","5/23/2015","$31,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261533520/0/60/45/e10a4484d9e36c3b9108f4e7e191099b/13/9fb2d06d565b3a8105a90b6805b5ec30/261533520.JPG","N242506","Residential Detached","S","4939 13TH AVENUE","Hazelton","$33,500","91","4","9999","0.00","HOUSE","5/21/2015","$33,500"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261713828/0/60/45/4c8ff372cf76615aae51f7613437cf62/16/220c6b1f9e1950148b6f61281bbffe62/261713828.JPG","V1120964","Residential Detached","S","#3 4686 SINCLAIR BAY ROAD","Pender Harbour Egmont","$41,400","20","2","2004","0.00","RECRE","5/21/2015","$41,400"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261269312/0/60/45/269fb20fc5003ee75b5014a6286af2b9/16/579196b4c7fe7cb5485bbde2993ad835/261269312.JPG","V1086387","Residential Detached","S","5374 SUNSHINE COAST HIGHWAY","Sechelt District","$43,000","244","2","9999","0.00","HOUSE","5/22/2015","$43,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261756235/0/60/45/a276c96078cc03970d669b5062be381e/13/2914810b5af43ddb0537f6f33cebd366/261756235.JPG","N245250","Land Only","S","4474 CANIM-HENDRIX LAKE ROAD","100 Mile House - Rural","$44,000","1",,,"0.00",,"5/21/2015","$44,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261100128/0/60/45/6feb07d0cb93369a670f35018c81e157/13/598feeb9b22609abb457ac2fc6e1128e/261100128.JPG","N237706","Land Only","S","1000 7TH AVENUE","Valemount - Town","$44,500","324",,,"18,120.00",,"5/19/2015","$44,500"
