"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261339159/0/60/45/f3f47f045286dcb0d5b2f81239d74673/13/19d1aa3c3849fb318612171221f2e45a/261339159.JPG","N240648","Land Only","S","LT 35& 36 LEE AVENUE","Willow River","$6,000","23",,,"0.00",,"PG Rural East (Zone 80)","013-978-381","V0J 3C0","50.00","Road Access","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261362024/0/60/45/1682706a2a0a015a5dca4d236977f2f5/13/abdedd506f6f81320b00688fa1c55498/261362024.JPG","N240875","Residential Detached","S","31 8474 BUNCE ROAD","Haldi","$9,000","17","2","1973","0.00","Manufactured","PG City South (Zone 74)","800-090-318","V2N 6P1","0.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261379502/0/60/45/92ba5c329568d494dda68fc7b274bd81/15/f7a4f80998fc6c34e6298af2f576ead2/261379502.JPG","F1427170","Residential Detached","S","58 1840 160 STREET","King George Corridor","$15,000","0","2","1975","0.00","Manufactured","South Surrey White Rock","900-572-998","V4A 4X4","0.00",,
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261346883/0/60/45/d47c7abb6d122da18888f6222a83528e/14/c98ec611d9fa451399a9afb37b82d8fd/261346883.JPG","H1404320","Residential Detached","S","1 45640 WATSON ROAD","Vedder S Watson-Promontory","$25,000","23","2","1970","0.00","Manufactured","Sardis","700-009-408","V2R 3P8",,,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261327035/0/60/45/4e53cdf4a90cf9e1e56c265df5299dc1/13/818891119ba4e048ea47abc8c852005a/261327035.JPG","N240524","Residential Detached","S","366 W 3RD STREET","Vanderhoof - Town","$27,000","29","1","9999","0.00","House/Single Family","Vanderhoof And Area (Zone 56)","013-088-203","V0J 3A0","33.00",,
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261285066/0/60/45/96b78aa7659555736b469a4b14436c46/15/abb7b9393f6ec5248ac4be0e8b8b8c32/261285066.JPG","F1423904","Residential Detached","S","4 43201 LOUGHEED HIGHWAY","Lake Errock","$27,000","46","3","1991","0.00","Manufactured","Mission","900-572-650","V0M 1G0",,,
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261140030/0/60/45/e1689820d89f7f4ef0a21cea8a7da7e2/13/108e0f6d8ac6d8a1d24b5afd98c567e5/261140030.JPG","N238316","Residential Detached","S","7456 ROE LAKE CRESCENT","Bridge Lake/Sheridan Lake","$39,000","118","4","9999","0.00","Manufactured with Land","100 Mile House (Zone 10)","004-314-468","V0K 1X1","0.00",,
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260769990/0/60/45/95cf051caba9d0a2116ee31294cbb3f7/13/fc387d42c44bf4ffb6df94fee2f1ce02/260769990.JPG","N233240","Residential Detached","S","5296 N MACHETE LK ROAD","Bridge Lake/Sheridan Lake","$42,000","284","2","9999","0.00","Recreational","100 Mile House (Zone 10)","023-930-080","V0K 1E0","0.00",,
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261341306/0/60/45/b496c1e7799d8a13771f9331d2cae64b/13/c600c4af218dac792daed3ddfaa0953c/261341306.JPG","N240656","Residential Detached","S","45 4625 GRAHAM AVENUE","Terrace - City","$47,900","14","2","1980","0.00","Manufactured with Land","Terrace (Zone 88)","800-090-002","V8G 1A7","0.00",,
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261334846/0/60/45/2395b5f451f9ff72045bca3247d8e180/14/37c8a4b762d6451220aa41e34f518cf5/261334846.JPG","H1404259","Residential Attached","S","209 9175 MARY STREET","Chilliwack W Young-Well","$51,500","25","1","1976","0.00","Apartment/Condo","Chilliwack","001-494-112","V2P 4H7",,,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261335703/0/60/45/6568aec3e907b292efc51209e77ff1d4/13/9620ac2e51d061aac350c32cadc1eec6/261335703.JPG","N240629","Land Only","S","17 4305 LAKELSE AVENUE","Terrace - City","$52,500","21",,,"0.00",,"Terrace (Zone 88)","025-103-181","V8G 1N5","37.00","Road Access","Other"
