"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260442425/0/60/45/a51689043d1dfaa42c210495e1de64aa/13/7619480ff6721d5479ca6ff8975f6ad3/260442425.JPG","N229846","Residential Detached","S","41 4603 S 50TH AVENUE","Fort Nelson -Town","$19,000","473","3","1975","0.00","Manufactured","Fort Nelson (Zone 64)","800-078-746","V0C 1R0","0.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260576048/0/60/45/14dcf915af0568f3c81f53dae32853c7/13/0a6d7f1eb5a33f1a06f3e18570874145/260576048.JPG","N231466","Land Only","S","LOT 2 STEWART ROAD","Tabor Lake","$20,000","399",,,"0.00",,"PG Rural East (Zone 80)","012-275-638","V2N 6X1","0.00","Road Access",
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260957010/0/60/45/2f14466b029e99d2e4cd4f86816a3d3c/14/9d85c40c309081e0f19b94a2056cc6d0/260957010.JPG","H1401835","Residential Detached","S","65330 PINE CLOSE","Boston Bar - Lytton","$20,150","189","1","9999","10,890.00","House/Single Family","Hope","002-019-990","V0X 1L3","60.00",,
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261285066/0/60/45/96b78aa7659555736b469a4b14436c46/15/abb7b9393f6ec5248ac4be0e8b8b8c32/261285066.JPG","F1423904","Residential Detached","S","4 43201 LOUGHEED HIGHWAY","Lake Errock","$27,000","46","3","1991","0.00","Manufactured","Mission","900-572-650","V0M 1G0",,,
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261328824/0/60/45/838c5c5c06f494a7935f4f4103938a6a/13/7c3c2db3c22955a701586aa6629362d4/261328824.JPG","N240564","Residential Detached","S","E-11 653 W COLUMBIA AVENUE","Kitimat","$28,500","23","3","1975","0.00","Manufactured","Kitimat (Zone 89)","800-089-815","V8C 1V4","0.00",,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261231325/0/60/45/5aab0cbc761535aa7abb174928697b3c/15/455d92fe158084f66c629629361f3c5f/261231325.JPG","F1421787","Residential Detached","S","67 24330 FRASER HIGHWAY","Otter District","$36,500","59","2","1971","0.00","Manufactured","Langley","900-572-422","V2Z 1N2","0.00",,
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260851152/0/60/45/ae3012d4d0fac19925fdb2bcd42fdaa2/13/6bbe01b17d9ec17c1dc0cb6ef9ebd73b/260851152.JPG","N234139","Residential Detached","S","7532 GAUTHIER ROAD","Deka/Sulphurous/Hathaway Lakes","$40,000","232","1","2001","0.00","House/Single Family","100 Mile House (Zone 10)","007-803-184","V0K 1X0","0.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261178213/0/60/45/38e93d579355650a579348b35deaf4ef/13/52cf9f3c2fc9de78452d75a519ce8104/261178213.JPG","N238843","Land Only","S","LOT 2 COLLEYMOUNT ROAD","Burns Lake - Rural South","$45,000","87",,,"0.00",,"Burns Lake (Zone 55)","011-582-901","V0J 1E0","0.00","Road Access",
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261359306/0/60/45/1389148447fe338284c1af9109a824af/13/e92ea6006e0497325950cf882dad2369/261359306.JPG","N240837","Residential Detached","S","56 8420 ALASKA ROAD","Fort St. John - City SE","$45,000","4","4","1972","0.00","Manufactured","Fort St. John (Zone 60)","800-090-257","V1J 6S4",,,
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261117582/0/60/45/73ecf57947ff5c75813a57af588a350b/13/a5cfe950873601e1b931f20ed2665319/261117582.JPG","N237983","Residential Detached","S","24 3624 KALUM STREET","Terrace - City","$47,500","121","2","1975","0.00","Manufactured","Terrace (Zone 88)","800-087-492","V8G 2P5","0.00",,
