"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261230858/0/60/45/8c9f23996e24e3ef6f47de950310ca89/13/126eda14a0e84f70bb60386d8f344e7e/261230858.JPG","N239532","Land Only","S","LOT 10 13-22 UPPER FRASER ROAD","Willow River","$7,000","54",,,"4,207.50",,"PG Rural East (Zone 80)","013-374-061","V0J 3C0","33.00","No Access","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261252911/0/60/45/8acf9e7cbfb2eae3543f1ec1cc7e5f68/15/24d7c14b1ce655520c1e7fa955298314/261252911.JPG","F1422718","Residential Detached","S","36 15820 FRASER HIGHWAY","Fleetwood Tynehead","$12,000","44","2","1974","0.00","Manufactured","Surrey","900-572-488","V3S 2W5",,,
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260893678/0/60/45/bac4ab940a197a817133b09f1b89c12f/13/70fc3360d4b0d5b220b6d463c6773ea0/260893678.JPG","N234686","Land Only","S","274 KEROUAC ROAD","Quesnel - Town","$18,000","199",,,"0.00",,"Quesnel (Zone 28)","024-496-847","V2J 2E1","0.00","Road Access","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261055476/0/60/45/1f5b63676742aeb71b83fff7e60dfa5f/13/542ccc83eda9360f68e8345541d9d7c1/261055476.JPG","N237061","Land Only","S","PERRY ROAD","Giscome/Ferndale","$20,000","139",,,"0.00",,"PG Rural East (Zone 80)","012-877-948","V2K 5E3","0.00","Road Access","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/257735742/0/60/45/d3b06358e9aa8cfb7f28d433c9599a8f/13/68b085581754df4d4e08065867566158/257735742.JPG","N199778","Land Only","S","1330 8TH AVENUE","Valemount - Town","$22,500","1666",,,"7,800.00",,"Robson Valley (Zone 81)","011-932-821","V0E 2Z0","0.00","Road Access","House/Single Family"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261195842/0/60/45/ea9ec982be43d933e926e257ebbaa769/13/37a7eeef209ca3f28fc192ce9be4489e/261195842.JPG","N239094","Residential Detached","S","46 7817 S 97 HIGHWAY","Sintich","$24,000","66","3","1983","0.00","Manufactured","PG City South East (Zone 75)","800-088-261","V2N 2J5","0.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260049555/0/60/45/c01fbf4e4275e171e30f27eaecbe4df6/13/0b61b714ed4f77dcf1f5b37371dd106b/260049555.JPG","N224663","Residential Detached","S","6286 PATERSON ROAD","Deka/Sulphurous/Hathaway Lakes","$30,000","626","0","9999","0.00","Recreational","100 Mile House (Zone 10)","004-575-342","V0K 1X3","0.00",,
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261195402/0/60/45/ab340dc2b7a9fe174291757d38b9c8ec/15/a1436dd36f96e357badf4437d001c6fb/261195402.JPG","F1420382","Residential Detached","S","13 41711 TAYLOR ROAD","Dewdney Deroche","$30,000","74","3","1974","8,000.00","Manufactured","Mission","900-572-261","V0M 1G0","80.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260890314/0/60/45/e16dedb417489025fb6b4da4cdeffa68/13/a51518462fcf492deeda46166ff032b1/260890314.JPG","N234648","Land Only","S","LOT 2 SALMON VALLEY ROAD","Salmon Valley","$32,000","201",,,"0.00",,"PG Rural North (Zone 76)","011-248-611","V2K 5X3","0.00","Road Access","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261294301/0/60/45/4492f6265ab21d4a93e5b56317c3f97b/13/152b67cb4be5d931bad02c00f8e605b8/261294301.JPG","N240246","Land Only","S","LOT 4 UPPER FRASER ROAD","Shelley","$32,500","27",,,"0.00",,"PG Rural East (Zone 80)","008-167-419","V2K 5C8","0.00","Road Access","House/Single Family"
