"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261230858/0/60/45/8c9f23996e24e3ef6f47de950310ca89/13/126eda14a0e84f70bb60386d8f344e7e/261230858.JPG","N239532","Land Only","S","LOT 10 13-22 UPPER FRASER ROAD","Willow River","$7,000","54",,,"4,207.50",,"PG Rural East (Zone 80)","013-374-061","V0J 3C0","33.00","No Access","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261007524/0/60/45/78ec80d00a874c92bdd03f2a23cf32fc/13/4eb573c7745a958bf64cf92fb4ed0eff/261007524.JPG","N236292","Land Only","S","LOT 273 KIRKLAND ROAD","Deka/Sulphurous/Hathaway Lakes","$12,000","188",,,"0.00",,"100 Mile House (Zone 10)","007-341-334","V0K 1X0","0.00","Allowed Access",
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261211310/0/60/45/4a387fc6e1112e63712f676673c89161/15/36311866e209acb30b800240b7a8379d/261211310.JPG","F1421019","Residential Detached","S","3 35584 DURIEU ROAD","Durieu","$12,001","67","2","1972","0.00","Manufactured","Mission","900-572-314","N0N 0N0",,,
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261146239/0/60/45/fde8c3cf429776ff78760cd6386566f1/13/cd106f0760bfb41f1d216c7b446bab81/261146239.JPG","N238375","Land Only","S","LOT 6 DODGE ROAD","Lac la Hache","$24,500","101",,,"0.00",,"100 Mile House (Zone 10)","009-891-579","V0K 1T1","0.00","Allowed Access",
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261165092/0/60/45/1fc6d9b0441e17858a6e7e011babfdcb/16/9851a33dea8de036e43b53cc4d0a5cbc/261165092.JPG","N238641","Land Only","S","2385 QUEENSWAY STREET","South Fort George","$25,000","92",,,"6,466.00",,"PG City Central (Zone 72)","013-307-355","V2L 5G3","53.00","Road Access",
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261348520/0/60/45/980a91f30cbe0371b9ed4d551833f2a4/13/f18336b76e29b2d3591d37b9b31e86ac/261348520.JPG","N240751","Residential Detached","S","1490 WILKIE ROAD","Esler/Dog Creek","$25,200","2","3","1990","0.00","Manufactured","Williams Lake (Zone 27)","800-090-141","V2G 4Y1",,,
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261245447/0/60/45/1a51fe17f147eb257dca379fe14b87fd/16/f7fc7c4a59b2ada168ded875ac337212/261245447.JPG","F1422416","Residential Detached","S","120 10221 WILSON STREET","Mission-West","$28,000","51","2","1990","3,000.00","Manufactured","Mission","900-572-466","V4S 1M1","30.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260049555/0/60/45/c01fbf4e4275e171e30f27eaecbe4df6/13/0b61b714ed4f77dcf1f5b37371dd106b/260049555.JPG","N224663","Residential Detached","S","6286 PATERSON ROAD","Deka/Sulphurous/Hathaway Lakes","$30,000","626","0","9999","0.00","Recreational","100 Mile House (Zone 10)","004-575-342","V0K 1X3","0.00",,
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261195402/0/60/45/ab340dc2b7a9fe174291757d38b9c8ec/15/a1436dd36f96e357badf4437d001c6fb/261195402.JPG","F1420382","Residential Detached","S","13 41711 TAYLOR ROAD","Dewdney Deroche","$30,000","74","3","1974","8,000.00","Manufactured","Mission","900-572-261","V0M 1G0","80.00",,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261231325/0/60/45/5aab0cbc761535aa7abb174928697b3c/15/455d92fe158084f66c629629361f3c5f/261231325.JPG","F1421787","Residential Detached","S","67 24330 FRASER HIGHWAY","Otter District","$36,500","59","2","1971","0.00","Manufactured","Langley","900-572-422","V2Z 1N2","0.00",,
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260851152/0/60/45/ae3012d4d0fac19925fdb2bcd42fdaa2/13/6bbe01b17d9ec17c1dc0cb6ef9ebd73b/260851152.JPG","N234139","Residential Detached","S","7532 GAUTHIER ROAD","Deka/Sulphurous/Hathaway Lakes","$40,000","232","1","2001","0.00","House/Single Family","100 Mile House (Zone 10)","007-803-184","V0K 1X0","0.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261178213/0/60/45/38e93d579355650a579348b35deaf4ef/13/52cf9f3c2fc9de78452d75a519ce8104/261178213.JPG","N238843","Land Only","S","LOT 2 COLLEYMOUNT ROAD","Burns Lake - Rural South","$45,000","87",,,"0.00",,"Burns Lake (Zone 55)","011-582-901","V0J 1E0","0.00","Road Access",
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261029556/0/60/45/1c6f49ab3a5b1be10d88e4f80f18eddd/13/d4d811ef2a6386fed5acb2d99362f306/261029556.JPG","N236623","Residential Detached","S","95 1000 INVERNESS ROAD","Aberdeen PG","$50,000","155","2","1994","0.00","Manufactured","PG City North (Zone 73)","800-086-517","V2K 4V1","0.00",,
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260345236/0/60/45/dfe10ea939f9cfb5fa7438023f4ee6a2/13/5bfad203af222b415661c9d3ab5af1fd/260345236.JPG","N228559","Land Only","S","1786 6TH AVENUE","Crescents","$52,000","500",,,"3,300.00",,"PG City Central (Zone 72)","012-970-271","V2L 2V3","0.00","Allowed Access","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261332009/0/60/45/04ebdfd8031c55fe154bb5de1bab6be7/16/e7ebf25fd27eed90df664b7d65571bd2/261332009.JPG","V1091173","Residential Attached","S","1217 5911 MINORU BOULEVARD","Brighouse","$52,000","6","0","1999","0.00","Other","Richmond","024-508-101","V6X 4C7",,,
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261225530/0/60/45/41a82bda2d261d84b174430986b754b8/15/f2963437ede867d947ae0cafa4961ed7/261225530.JPG","F1421573","Residential Detached","S","78 8560 156TH STREET","Fleetwood Tynehead","$56,000","59","2","1978","0.00","Manufactured","Surrey","900-572-385","V3S 5K4","0.00",,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261057750/0/60/45/3da004817976514fa25f44d4aedc82ca/13/b3f5ed5156dee62652b9cbea4dbe69ef/261057750.JPG","N237128","Residential Detached","S","1286 PALEY ROAD","Bouchie Lake","$60,000","139","4","1973","0.00","Manufactured with Land","Quesnel (Zone 28)","005-297-583","V2J 7G1","0.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261247022/0/60/45/d59942b8dc490a530cfb48c70b9eee30/13/989d5f911ea2080803129e40242dc678/261247022.JPG","N239717","Residential Detached","S","11 7100 ALDEEN ROAD","Lafreniere","$62,500","46","2","1997","0.00","Manufactured","PG City South (Zone 74)","800-088-775","V2N 5R5",,,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261087048/0/60/45/81e25fbdbcd73d1b848d194b1b7551cf/13/d51b9942d08c56de2efaf3b736aeaac9/261087048.JPG","N237510","Residential Detached","S","1198 N MACKENZIE AVENUE","Williams Lake - City","$64,000","129","3","9999","0.00","House/Single Family","Williams Lake (Zone 27)","013-474-375","V2G 5H4","0.00",,
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261026563/0/60/45/95ea06a8336fe92b2c83a044b01d254f/16/959bb63525eca619830fdc11913bf43f/261026563.JPG","V1068018","Residential Detached","S","307 201 CAYER STREET","Maillardville","$74,900","147","3","1974","0.00","Manufactured","Coquitlam","800-086-514","V3K 2X8","0.00",,
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261329069/0/60/45/fcb9f76cf5d6f701a4fe7b75d6bb3f32/15/44e138cbba2653634268ccecf2789cf1/261329069.JPG","F1425501","Residential Attached","S","214 32175 OLD YALE ROAD","Abbotsford West","$84,000","6","2","1974","0.00","Apartment/Condo","Abbotsford","001-154-729","V2T 2C8","0.00",,
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261235240/0/60/45/7bc43f97bdb918f59eaff14accfcaae5/15/be1f8d59ad3da9ba30659c702938a05f/261235240.JPG","F1421969","Residential Detached","S","48 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$84,900","57","2","2014","0.00","Manufactured","Surrey","900-572-421","V3W 6E1","0.00",,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261057196/0/60/45/4365c3902f2efc048f47462cf627c61b/14/15e9c1ad3a3fc4cf69a5fd57633751a1/261057196.JPG","H1402528","Residential Detached","S","11 2216 LOUGHEED HIGHWAY","Mt Woodside","$85,000","140","2","1993","0.00","Manufactured with Land","Harrison Mills / Mt Woodside","002-130-599","V0M 1A1","38.00",,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261194360/0/60/45/a093febe63afed5f6fd06b413d94fc12/15/9cede7ff0096e691dc142524d6819f0e/261194360.JPG","F1420345","Residential Attached","S","107 20460 54TH AVENUE","Langley City","$85,000","74","1","1979","0.00","Apartment/Condo","Langley","001-574-647","V3A 6N6","0.00",,
