"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260686938/0/60/45/37139b084db271b256aca368462a615a/13/4cd75fc5fc7579dd18d595a8df4d635c/260686938.JPG","N232514","Land Only","S","LOT 6 MEIER ROAD","Cluculz Lake","$14,000","359",,,"0.00",,"PG Rural West (Zone 77)","025-196-936","V0J 3A0","0.00","Road Access",
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261367314/0/60/45/63a16ee793e7e8de1b040ede3b06d4f6/16/6e92a551cccffad4a6e10a6cd9a8e828/261367314.JPG","V1093460","Residential Detached","S","4 240 HARRY ROAD","Gibsons & Area","$19,000","18","2","1974","0.00","Manufactured","Sunshine Coast","800-007-889","V0N 1V5","1.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261012126/0/60/45/51a1694942e7fd1e0da79b306e9779a6/13/832ddf1346263727b3a172ac514903ca/261012126.JPG","N236362","Land Only","S","2112 22ND AVENUE","Hazelton","$20,000","190",,,"0.00",,"Smithers And Area (Zone 54)","010-910-000","V0J 2J1","176.00","Road Access",
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261352894/0/60/45/bcc6b51324acdc7352c32e647a5f6d1d/13/a7ed645bc286cb57909aafe1f7150fcb/261352894.JPG","N240788","Land Only","S","LOT 38 KITWANGA DRIVE","108 Ranch","$20,000","27",,,"0.00",,"100 Mile House (Zone 10)","007-814-712","V0K 2Z0","128.00","Road Access","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260619363/0/60/45/cdba6e1e6b9aa2b1c05f30995da12157/13/3d358de7c8c7f09633fad3bcc2387d91/260619363.JPG","N231870","Land Only","S","6280 MOOSE POINT DRIVE","Lone Butte/Green Lk/Watch Lk","$20,000","400",,,"20,400.00",,"100 Mile House (Zone 10)","007-575-033","V0K 2K1","80.00","Road Access","House/Single Family"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260919876/0/60/45/e9ece2e7dc809eaac7afe69635520554/15/a23d612efb08bf9a256150032cd1b913/260919876.JPG","F1409524","Residential Detached","S","161 7790 KING GEORGE BOULEVARD","East Newton","$25,500","229","3","1974","0.00","Manufactured","Surrey","900-570-853","V3W 5Y4","0.00",,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261057154/0/60/45/622c89d13c150a42f2562ce563f64d44/16/33f1608d90b456e9d90f35192ab2ccae/261057154.JPG","V1070485","Land Only","S","9506 LOT C PORTAGE ROAD","D'Arcy","$30,000","169",,,"0.00",,"Pemberton","026-770-610","V0N 1L0","0.00","Road Access",
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260992640/0/60/45/e7ceeac8538253bc7e982b43c2d07d90/13/e3059cb5f26909e7ad436eff4ba5ad10/260992640.JPG","N236111","Residential Attached","S","106 398 RODDIS DRIVE","Quesnel - Town","$32,500","197","1","1981","0.00","Apartment/Condo","Quesnel (Zone 28)","004-603-311","V2J 1A6",,,
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261282767/0/60/45/28e7a039bdd20022effb65923e1f788f/13/14dc5e55842a819e521a8b3797b02d62/261282767.JPG","N240116","Land Only","S","LOT 106 CLEARVIEW ROAD","Deka/Sulphurous/Hathaway Lakes","$33,000","70",,,"0.00",,"100 Mile House (Zone 10)","001-918-273","V0K 1X0","0.00","Road Access",
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260786528/0/60/45/8e876b60c40305618550b9595bf3b70e/13/d048be8c9e1782ab1dee2387588d250c/260786528.JPG","N233439","Residential Detached","S","832 2ND AVENUE","McBride - Town","$35,000","289","4","9999","0.00","House/Single Family","Robson Valley (Zone 81)","013-918-656","V0J 2E0","50.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261321710/0/60/45/48cd3e2e8a6d95605109c5fced74dd98/13/a5b549d1aae9ea7032e526b55fb06e06/261321710.JPG","N240473","Land Only","S","3085 NAISMITH CRESCENT","Buckhorn","$40,000","44",,,"0.00",,"PG Rural South (Zone 78)","009-799-788","V2L 3X2","0.00","Road Access","House/Single Family"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261398917/0/60/45/eab64c587f064901def6b1b1403edb43/14/1a05a8a75bbcbb1d065e775e29e4eac0/261398917.JPG","H1404573","Land Only","S","21534 RICHMOND DRIVE","Hope Kawkawa Lake","$45,000","5",,,"0.00",,"Hope","003-195-899","V0X 1L1",,"Road Access","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260914742/0/60/45/45dbca2eea4721f7fe5331486f06c3ba/14/2e26c86cd4284bac2e12c58351d550fe/260914742.JPG","H1401510","Residential Attached","S","306 45744 SPADINA AVENUE","Chilliwack W Young-Well","$50,000","232","1","1981","0.00","Apartment/Condo","Chilliwack","005-195-365","V2P 1T6","0.00",,
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261375753/0/60/45/58e2415c680c991e59ad750bc4328723/13/92c08563d94c142910289b563af081b7/261375753.JPG","N241040","Residential Detached","S","341 8TH AVENUE","Burns Lake - Town","$50,000","20","3","1951","14,348.00","House/Single Family","Burns Lake (Zone 55)","011-770-171","V0J 1E0","0.00",,
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261300724/0/60/45/3b3530209611a09c084d01b701ab01be/16/04d695c85490dd0c85583194ac2deaf7/261300724.JPG","V1089169","Residential Attached","S","414D 2020 LONDON LANE","Whistler Creek","$50,000","54","1","2008","0.00","Apartment/Condo","Whistler","027-506-355","V0N 1B2",,,
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261003792/0/60/45/8e1c5db624db8cc86a9bd6742a76ae8d/16/ea0753e5e270ef85857d68f05d0fa855/261003792.JPG","F1412805","Residential Detached","S","22B 26892 FRASER HIGHWAY","Aldergrove Langley","$53,000","190","2","1976","0.00","Manufactured","Langley","900-571-164","V4W 3T5","0.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261384483/0/60/45/a634740da4a511e48fca68dd96d329e4/13/02abd2d64c4aef7d3b0a9dfb4d54bfcd/261384483.JPG","N241109","Residential Attached","S","203 1300 SUMMIT AVENUE","Prince Rupert - City","$53,000","10","3","1968","980.00","Apartment/Condo","Prince Rupert (Zone 52)","026-971-909","V8J 2A5","0.00",,
