"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262306403/0/60/45/2ccbda32fb1b2619c350536d620c8387/13/91d5e07f5eabe6f47b9a9cafaa8dc18e/262306403.JPG","R2284776","Land Only","S","LOT 20 TREMBLEUR LAKE","Fort St. James - Rural","$9,500","22",,,"0.00",,"Fort St. James (Zone 57)","009-989-251","V0J 1P0","0.00","Water Access","Recreational","$9,500","0.79",,"7/17/2018","Other",,"N/A"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264436/0/60/45/f9b681608c807ace158175c6c9a9acc2/13/5effb0696047c30a40b17a38f478edd3/262264436.JPG","R2242809","Land Only","S","209 W 7TH AVENUE","Prince Rupert - City","$19,500","131",,,"0.00",,"Prince Rupert (Zone 52)","014-624-958","V8J 2C3","25.00","Allowed Access","House/Single Family","$19,500","0.50",,"7/6/2018","Other",,"R2"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262294977/0/60/45/033767dc53b8f4b9a70db885957047b8/13/1ad8d5248cd9f93817ebafd032fe32e8/262294977.JPG","R2273350","Land Only","S","Lot 4 KOKANEE ROAD","Canim/Mahood Lake","$25,000","41",,,"36,154.80",,"100 Mile House (Zone 10)","007-143-265","V0K 1J0","0.00","Road Access","House/Single Family","$25,000","0.83","$0.69","7/6/2018","Other",,"R-1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262290791/0/60/45/7d3029d62e06bb4e56220df2a30c2489/13/d5715463d5fbcbb12d1060cb3db54643/262290791.JPG","R2269164","Land Only","S","LOT 27 SAUNDERS CRESCENT","103 Mile House","$26,000","61",,,"0.00",,"100 Mile House (Zone 10)","007-908-890","V0K 2E1","0.00","Road Access","House/Single Family","$26,000","0.79",,"7/16/2018","Other",,"R1"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262299159/0/60/45/c1779da84ab2619c4f8ab8069f0cc03d/13/61a6f155b0dada1807706948e838749d/262299159.JPG","R2277532","Land Only","S","3581 SELLARS ROAD","Canim/Mahood Lake","$27,500","41",,,"23,086.80",,"100 Mile House (Zone 10)","008-109-851","V0K 1L0","100.00","Road Access","House/Single Family","$27,500","0.77","$1.19","7/15/2018","Other",,"R-1"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262259326/0/60/45/d0c884a1c488584b61a9b36400373790/13/84f432a5263c35e0f9a60df17022953e/262259326.JPG","R2237699","Residential Detached","S","51 7414 FOREST LAWN STREET","Fort St. John - Rural E 100th","$28,000","153","3","1994","0.00","Manufactured","Fort St. John (Zone 60)","800-119-421","V1J 4M6",,,,"$28,000","1.00","$33.33","7/10/2018","Manufactured","1","MHP"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262291615/0/60/45/38a64fabe1e15b34b359fa7a04be6799/13/f199ef085fbd60882649edcf25105eb3/262291615.JPG","R2269988","Residential Detached","S","13 3001 N MACKENZIE AVENUE","Williams Lake - City","$34,000","49","4","1974","0.00","Manufactured","Williams Lake (Zone 27)","800-121-982","V2G 2N9",,,,"$34,000","0.85","$35.02","7/5/2018","Manufactured","1","MHP"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308784/0/60/45/876e1a92819f65fc15db1936a2d0d449/13/6468c9a2a0bacc45037981d3ccff2a1d/262308784.JPG","R2287157","Residential Detached","S","223 5130 NORTH NECHAKO ROAD","Nechako Bench","$35,000","0","2","1977","0.00","Manufactured","PG City North (Zone 73)","800-123-093","V2K 4W3","0.00",,,"$35,000","0.88","$35.71","7/5/2018","Manufactured","2","RM9"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262286687/0/60/45/de824fddd22d273faa42d3db27d705e4/13/c4068888fa0e27da776762f7cace5c2a/262286687.JPG","R2265060","Land Only","S","LOT 4 KALLUM DRIVE","108 Ranch","$37,000","72",,,"26,571.60",,"100 Mile House (Zone 10)","001-832-549","V0K 2Z0","74.00","Road Access","House/Single Family","$37,000","0.93","$1.39","7/14/2018","Other",,"R1-1"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2290884","Land Only","S","74 8400 SHOOK ROAD","Hatzic","$38,000","243",,,"1,200.00",,"Mission","905-002-388","V2V 7L3","30.00","Road Access","Recreational","$38,000","0.76","$31.67","7/19/2018","Other",,"REC"
