"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260112788/0/60/45/d435610f3af47d950cd4b4cea3169ab9/15/bd1d2fb0954973695b0bf2c86d439953/260112788.JPG","F1305723","Residential Detached","S","74 7850 KING GEORGE BOULEVARD","East Newton","418","2","1976","0.00","Manufactured","Surrey","900-565-975","V3W 5B2","0.00",,,"$12,000","0.86","$15.63","5/3/2014","Manufactured","1","MHP","$13,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260785749/0/60/45/cfae2c1e8351feeb8640619965051306/13/ba97a4cc4099ae7b94549043be13861f/260785749.JPG","N233434","Residential Detached","S","4935 7TH AVENUE","Hazelton","77","0","9999","7,920.00","House/Single Family","Smithers And Area (Zone 54)","014-017-172","V0J 2J0","66.00",,,"$15,175","1.87",,"5/5/2014","House/Single Family","0","R-1","$8,100"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260822483/0/60/45/13b145e4a66cdb1ba283ad6a71b221dc/13/644b6b09a1e1ec98b952b3c2d8295371/260822483.JPG","N233780","Residential Detached","S","223 5130 NORTH NECHAKO ROAD","Nechako Bench","68","2","1977","0.00","Manufactured","PG City North (Zone 73)","800-084-242","V2K 4W3","0.00",,,"$25,000","0.78","$27.47","5/7/2014","Manufactured","2","RS5","$31,900"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260961302/0/60/45/da7fe73aade73743d95c68b388b1869b/14/0492dd89c8045dd616e6e87f09324167/260961302.JPG","N235605","Land Only","S","ROSS MEADOW ROAD","Williams Lake - Rural West","2",,,"0.00",,"Williams Lake (Zone 27)","015-234-428","V2G 3A7","0.00","Mixed",,"$27,200","1.00",,"5/7/2014","Other",,"R1","$27,200"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260722306/0/60/45/b81b42bbcc341ed40369d0f82e32a633/13/5520d6748ce1d549029599e7383b9087/260722306.JPG","N232816","Residential Detached","S","14 2963 KLAHANNI DRIVE","Fort Nelson -Town","108","2","1976","0.00","Manufactured","Fort Nelson (Zone 64)","800-082-884","V0C 1R0","0.00",,,"$42,000","0.88","$47.30","5/1/2014","Manufactured","1","RMH","$47,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260352564/0/60/45/cdf3f39211b22a9d224f665f5da04118/14/44b69cc8255365dcf2034af5cbefe951/260352564.JPG","N228694","Land Only","S","DL 9961 SPOKIN LAKE ROAD","Williams Lake - Rural East","317",,,"0.00",,"Williams Lake (Zone 27)","015-289-737","V0K 2G0","0.00","Road Access",,"$42,250","0.72",,"5/4/2014","Other",,"R/A","$59,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260879265/0/60/45/768d814dd458de50737a471337662cb4/16/3f52ec3d92d0bc4c81d92ae9c55dfbf5/260879265.JPG","V1055865","Residential Detached","S","301 201 CAYER STREET","Maillardville","37","2","1974","0.00","Manufactured","Coquitlam","800-084-870","V3K 5A8","36.00",,,"$46,100","1.00","$52.63","5/7/2014","Manufactured","2","MHP","$46,100"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260874124/0/60/45/cf4ddfaa523de84fe11d8982e49d47a9/14/c02ee1bf307b6f71082a1439986b789f/260874124.JPG","H1401172","Residential Detached","S","37 46484 CHILLIWACK LAKE ROAD","Chilliwack River Valley","31","2","1977","0.00","Manufactured","Sardis","746-484-315","V2R 3R8","0.00",,,"$48,000","0.98","$48.98","5/1/2014","Manufactured","1","RMH","$49,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260936532/0/60/45/e83e4564089ea0d67991952cf8701065/15/9951c45c5178feb936708a0a19908340/260936532.JPG","F1410184","Residential Detached","S","100 2315 198 STREET","Brookswood Langley","14","2","1983","3,565.00","Manufactured","Langley","900-570-906","V2Z 1Z1","31.00",,,"$49,500","1.00","$52.00","5/7/2014","Manufactured","1","MHP","$49,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260764920/0/60/45/cb3ba10121d954cbd740387647d12ca3/15/b0e53ad4f3c537883a2ced90ae98bcdf/260764920.JPG","F1402915","Residential Attached","S","232 2821 TIMS STREET","Abbotsford West","86","2","1977","0.00","Apartment/Condo","Abbotsford","000-652-415","V2T 4B1","0.00",,,"$72,000","0.90","$78.77","5/1/2014","Apartment/Condo","1","RML","$79,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260763573/0/60/45/25df6793b20bd188a98841ada1df8a7d/14/68bbfe58c85a3289ce4639f1b54970d6/260763573.JPG","F1402832","Land Only","S","130 14500 MORRIS VALLEY ROAD","Lake Errock","92",,,"6,189.00",,"Mission","026-412-071","V0M 1A1","59.00","Road Access","House/Single Family","$77,500","0.97","$12.52","5/6/2014","House/Single Family",,"PRD 1","$79,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260949807/0/60/45/966ebc9716168147434f711949170eaf/15/538943a449dea2b13ceab6d06027db3d/260949807.JPG","F1410723","Residential Detached","S","44 8254 134 STREET","Queen Mary Park Surrey","4","2","1980","0.00","Manufactured","Surrey","900-570-968","V3W 6M2","40.00",,,"$80,000","0.94","$83.33","5/5/2014","Manufactured","1","MHP","$84,800"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260816605/0/60/45/aef1699e10c59a5b0ca0941caee78fb1/13/de65fe9a562004b7b0d0e04f26598276/260816605.JPG","N233723","Residential Detached","S","1980 MOUNTAIN VIEW ROAD","McBride - Town","62","2","9999","0.00","House with Acreage","Robson Valley (Zone 81)","012-546-046","V0J 2E0","0.00",,,"$83,000","0.95","$98.81","5/3/2014","House with Acreage","1","SH","$87,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260922978/0/60/45/460f1e059c40d71f5a3ab9307b7255c2/15/9d8fde09747d2f6445bae5782313cd3d/260922978.JPG","F1409676","Residential Attached","S","306 5906 176A STREET","Cloverdale BC","16","1","1983","0.00","Apartment/Condo","Cloverdale","000-516-074","V3S 4H7","0.00",,,"$89,000","0.96","$158.08","5/3/2014","Apartment/Condo","1","RM 45","$93,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260815512/0/60/45/b37228d6194315f1886c9fd38cd096fe/15/22295a375327708d7297f37d39676a2d/260815512.JPG","F1405111","Residential Attached","S","112 20460 54TH AVENUE","Langley City","68","1","1978","0.00","Apartment/Condo","Langley","001-574-582","V3A 6N6",,,,"$90,000","0.95","$86.96","5/6/2014","Apartment/Condo","1","MF","$94,500"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260763864/0/60/45/5857205c1850e82d41025da5b353cb85/16/ed04814acf5e79acba0deb66ba1bae71/260763864.JPG","V1045979","Land Only","S","LOT 24 RILEY ROAD","Sechelt District","92",,,"39,204.00",,"Sunshine Coast","023-405-309","V0N 1Y2","120.00","Allowed Access","House/Single Family","$94,750","0.88","$2.42","5/7/2014","House/Single Family",,"R2","$108,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/258896081/0/60/45/2f5c80fd32e28918da9602f90d97f08e/13/dceb7827374b0c9e5e9f120cfbc6fe6e/258896081.JPG","N212406","Residential Detached","S","906 COMOX AVENUE","Prince Rupert - City","1009","3","1992","4,000.00","House/Single Family","Prince Rupert (Zone 52)","005-035-201","V8J 2T3","40.00",,,"$95,000","0.95","$36.64","5/7/2014","House/Single Family","0","R2","$99,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260768785/0/60/45/c6e820ac31d3a0348a5d4f8f749d0218/16/cc4deb83b74f4220d4409d58fbe02877/260768785.JPG","F1403089","Residential Detached","S","101 10221 WILSON ROAD","Stave Falls","91","3","1983","0.00","Manufactured","Mission","900-570-033","V4S 1E2","0.00",,,"$95,000","0.96","$80.44","5/7/2014","Manufactured","1","MANUF","$99,500"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260930788/0/60/45/0f78a69e04bf0d586555bd520b75a585/16/45b52e9c4257ee515b0c89335c58723e/260930788.JPG","H1401634","Residential Attached","S","202 1275 SCOTT DRIVE","Hope Center","11","2","1995","0.00","Apartment/Condo","Hope","023-098-767","V0X 1L4","0.00",,,"$95,000","1.00","$112.03","5/4/2014","Apartment/Condo","2","RM-1","$95,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260952913/0/60/45/9a98d576112af99d8c1c5c336cc9ce5f/16/ead247fc3f254efba3666a9cb5405a4a/260952913.JPG","V1062251","Residential Attached","S","401D 2020 LONDON LANE","Whistler Creek","1","2","2008","0.00","Apartment/Condo","Whistler","027-506-266","V0N 1B2",,,,"$96,000","0.97","$94.77","5/2/2014","Apartment/Condo","2","CC2","$99,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260877767/0/60/45/271743c252cc35195740c77ef68d29ce/16/5752ea0997dd0e4b57f0f19eef6b4a92/260877767.JPG","H1401193","Residential Attached","S","309 45702 WATSON ROAD","Vedder S Watson-Promontory","41","1","1991","0.00","Apartment/Condo","Sardis","017-440-637","V2R 4E2",,,,"$96,238","1.10","$169.14","5/7/2014","Apartment/Condo","1","R5","$87,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260723424/0/60/45/03731d105cac8b759eab0f4805d3c19b/13/d78ce2bb7dd60cdec8d958132b69a233/260723424.JPG","N232826","Land Only","S","55344 JARDINE ROAD","Cluculz Lake","117",,,"0.00",,"PG Rural West (Zone 77)","010-695-800","V0J 3A3","200.00","Road Access","Recreational","$97,000","0.98",,"5/7/2014","Recreational",,"R4","$99,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260905032/0/60/45/c7081578f9184d0013bba8e5760a76ec/13/1299c5d0a8a8407007cfeff23cd34cd6/260905032.JPG","N234874","Residential Detached","S","4077 MCKINLEY DRIVE","Lac la Hache","26","2","1974","14,810.40","Manufactured with Land","100 Mile House (Zone 10)","009-507-329","V0K 1T0","85.00",,,"$101,000","0.93","$117.44","5/7/2014","Manufactured with Land","1","R1","$109,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260809439/0/60/45/2b45b9722cad1724b7e5ec5270b44937/13/2561bdabc669420d1f02b99bbe83c65d/260809439.JPG","N233646","Residential Attached","S","305 3777 MASSEY DRIVE","Pinecone","69","2","1980","0.00","Apartment/Condo","PG City West (Zone 71)","023-283-742","V2N 4J6",,,,"$103,000","0.94","$119.63","5/1/2014","Apartment/Condo","1","RM3","$109,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260943082/0/60/45/8d7701602be3b1a5048210e08e484849/15/aad54d7e1a4d5f689110bcf152d0622f/260943082.JPG","F1410450","Residential Attached","S","107 32145 OLD YALE ROAD","Abbotsford West","8","2","1987","0.00","Apartment/Condo","Abbotsford","008-071-071","V2T 2C8","0.00",,,"$105,000","0.96","$97.04","5/6/2014","Apartment/Condo","2","MF","$109,900"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260810154/0/60/45/b53125a5526b2217f1daa30a7b6d1503/16/717c39707087e53a87ebd989585053af/260810154.JPG","V1049980","Residential Detached","S","7488 SECHELT INLET ROAD","Sechelt District","67","1","1982","9,157.00","House/Single Family","Sunshine Coast","007-040-903","V0N 3A4","125.60",,,"$107,800","0.91","$528.43","5/6/2014","House/Single Family","1","R3","$119,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260778372/0/60/45/3d5b33306064860e856a95486cd2fcbb/16/0a9e4e4e85441d9f4fb5d7f9c21ad696/260778372.JPG","F1403516","Residential Attached","S","307 13277 108TH AVENUE","Whalley","84","1","2008","0.00","Apartment/Condo","North Surrey","027-483-762","V3T 0A9",,,,"$108,000","0.88","$227.85","5/6/2014","Apartment/Condo","1","MF","$122,900"
