"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260638036/0/60/45/c614c9647ff7ec5e3f6fa3c42aa06def/13/61e0e650f7859299927b7f93078bde32/260638036.JPG","N232063","Residential Detached","S","11 457 VANDERVIEW DRIVE","Vanderhoof - Town","188","2","1969","0.00","Manufactured","Vanderhoof And Area (Zone 56)","800-081-533","V0J 3A2","0.00",,,"$2,000","0.13","$2.16","5/15/2014","Manufactured","1","R-5","$15,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260710705/0/60/45/51c64ce5db8b29f4cd1fa4a008b8ab4a/14/2827eb4e7a4dfea1cef0b2815a67feea/260710705.JPG","H1400058","Residential Detached","S","34 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","129","2","9999","0.00","Manufactured","Hope","700-004-736","V0X 1L1","0.00",,,"$7,500","0.60","$8.33","5/15/2014","Manufactured","1","RMH","$12,500"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260914690/0/60/45/c567fbdaf3fa0a7e712ac5a958745f6a/13/87817a6aa90dd3b000ec9d3d2ea792f5/260914690.JPG","N234991","Residential Detached","S","2B 2530 FREEPORT ROAD","Burns Lake - Rural East","31","2","9999","0.00","Manufactured","Burns Lake (Zone 55)","800-085-335","V0J 1E3","0.00",,,"$8,500","0.90","$12.65","5/15/2014","Manufactured","1","R7","$9,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260926483/0/60/45/6cc868094bcfad8abb4a327e3c476055/15/b749593a21f77f4f731e4c5f6a80a19e/260926483.JPG","F1409778","Residential Detached","S","208 1840 160TH STREET","King George Corridor","22","2","1975","0.00","Manufactured","South Surrey White Rock","900-570-867","V4A 4X4","0.00",,,"$23,500","0.91","$26.40","5/14/2014","Manufactured","1","M.H.P.","$25,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260068572/0/60/45/dd9d6caa4f5e8591826caf06cd63c583/13/2be614b7d495509bd488c2bf67f647fa/260068572.JPG","N224840","Land Only","S","LOT 11 BAYVIEW ROAD","Fraser Lake","451",,,"0.00",,"Vanderhoof And Area (Zone 56)","006-026-826","V0J 3A0","177.00","Road Access",,"$26,000","0.65",,"5/12/2014","Other",,"R-4","$39,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260807907/0/60/45/61e89c221811aa9c6a89209a9111ba44/13/6b823f7396ae0ec37863c2be276fb96a/260807907.JPG","N233628","Land Only","S","4758 POLLARD ROAD","Quesnel - Rural North","76",,,"0.00",,"Quesnel (Zone 28)","004-394-941","V2J 6X5","0.00","Road Access","House/Single Family","$27,000","0.77",,"5/12/2014","House/Single Family",,"RR2","$35,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259632521/0/60/45/b6ec5e6b2ef8cb74feed27cb3d2c3346/13/e9ecd8a7ce3bc6dcf5967fa75250e516/259632521.JPG","N220561","Residential Detached","S","LOT 257 MERLYN ROAD","Deka/Sulphurous/Hathaway Lakes","672","0","2000","0.00","Recreational","100 Mile House (Zone 10)","007-542-887","V0K 1X0","0.00",,,"$31,000","0.86","$144.86","5/14/2014","Recreational","0","R1","$36,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260966754/0/60/45/3b32307674e512884eb1c36544fa5e20/15/b21d35e682bcdaebd321529d16d0db1a/260966754.JPG","F1411366","Residential Detached","S","39 9080 198TH STREET","Walnut Grove","8","2","1971","0.00","Manufactured","Langley","900-571-033","V1M 3A8",,,,"$35,500","0.97","$43.29","5/13/2014","Manufactured","1","MHP","$36,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260925987/0/60/45/41068ce321bf9405d67ae4aef898f4d7/13/39b6ae6506baa0acabafa564e909608b/260925987.JPG","N235109","Residential Attached","S","403 398 RODDIS DRIVE","Quesnel - Town","26","1","1980","827.00","Apartment/Condo","Quesnel (Zone 28)","004-603-931","V2J 1A6",,,,"$38,500","0.99","$57.04","5/13/2014","Apartment/Condo","1","RM2","$39,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260831559/0/60/45/befdd40a2f8a4a2a73a412aec1b8760d/13/777fc59b1b7df93b673f78a5fbcb8390/260831559.JPG","N233901","Residential Detached","S","565 GROVE STREET","Fort St. James - Town","72","2","1982","0.00","Manufactured with Land","Fort St. James (Zone 57)","010-056-343","V0J 1P0","0.00",,,"$46,500","0.79","$44.41","5/16/2014","Manufactured with Land","2","R4","$59,000"
