"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260562026/0/60/45/810e926846a1ea2c4d27afe7f0dc699e/13/72d2a8715e99d0fe54e1347d4b31b32a/260562026.JPG","N231263","Residential Detached","S","53 3001 N MACKENZIE AVENUE","Williams Lake - City","108","2","1976","0.00","Manufactured","Williams Lake (Zone 27)","800-080-277","V2G 3N9","9,999.00",,,"$20,000","0.91","$26.04","1/14/2014","Manufactured","1","MHP","$21,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260659519/0/60/45/31d36f13a9b69e7be7dae4dcec4dfc35/14/b6e557c6d1de9dc27a7df9c593a7381e/260659519.JPG","H1304343","Residential Detached","S","7 1884 HEATH ROAD","Agassiz","54","2","1976","0.00","Manufactured","Agassiz","700-002-289","V0M 1L0","0.00",,,"$20,000","0.77","$26.04","1/14/2014","Manufactured","1","RH","$26,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260380016/0/60/45/7e10851aa6361486d1f717d3a17fc926/16/6df3e9bc928bfe464f3f9044c0ca5474/260380016.JPG","V1016102","Residential Detached","S","421 RAINDANCE CRESCENT","Park Royal","196","2","1968","0.00","Manufactured","West Vancouver","800-077-881","V7P 1C1","0.00",,,"$27,500","0.73","$39.51","1/15/2014","Manufactured","1","MANUF","$37,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260486916/0/60/45/8290d7a4d6ae8b4782186937efcafffc/13/ad5d7fa9eb7506cf2510b383bef073cd/260486916.JPG","N230435","Residential Detached","S","H-17 653 COLUMBIA STREET","Kitimat","146","3","1983","0.00","Manufactured","Kitimat (Zone 89)","800-079-300","V8C 1V4","0.00",,,"$30,000","0.91","$22.73","1/16/2014","Manufactured","1","R6B","$32,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260679071/0/60/45/968ed31fa0a4cde30a239a3bad557f1c/13/26854f2c437919f770b1118c1bb559ae/260679071.JPG","N232449","Residential Detached","S","19 2091 E 16 HIGHWAY","Vanderhoof - Town","42","3","1972","0.00","Manufactured","Vanderhoof And Area (Zone 56)","800-082-220","V0J 3A0","0.00",,,"$33,000","1.03","$31.98","1/14/2014","Manufactured","1","R5","$31,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259515884/0/60/45/7453bf5c07d00414e19e36628f1ca199/13/682b07b337a646b53ded89915e9b92a9/259515884.JPG","N219085","Residential Detached","S","10 151 COLUMBIA STREET","McBride - Town","598","2","1996","0.00","Manufactured","Robson Valley (Zone 81)","800-068-024","V0J 2E0","0.00",,,"$33,000","0.85","$28.95","1/16/2014","Manufactured","2","MHP","$39,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260428308/0/60/45/7ab52d25a279f14dc7942203647997e4/15/291c3ff54bde5adf9ea87ca5da4c38ca/260428308.JPG","F1317866","Residential Detached","S","77 7850 KING GEORGE BOULEVARD","East Newton","177","2","1978","0.00","Manufactured","Surrey","900-568-177","V3W 5B2","0.00",,,"$34,000","0.97","$25.30","1/17/2014","Manufactured","2","RES","$35,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260624728/0/60/45/c7dc790149dacfc26dacb30aa57383ea/15/c09a6e9a0e350eca6788c5e3ac53c361/260624728.JPG","F1324955","Residential Detached","S","24 26892 FRASER HIGHWAY","Aldergrove Langley","79","3","1974","0.00","Manufactured","Langley","900-569-162","V4W 3T5","0.00",,,"$35,000","0.88","$31.08","1/17/2014","Manufactured","1","MHP","$39,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260736186/0/60/45/ddb3990a6edac5af7881a922bd766116/13/41439725f908b1796beff2ba957e7fcb/260736186.JPG","N232937","Residential Detached","S","C6 1885 QUEENSWAY DRIVE","Thornhill","1","2","1969","0.00","Manufactured","Terrace (Zone 88)","800-083-121","V8G 3X1","0.00",,,"$37,000","0.93","$34.91","1/22/2014","Manufactured","0","MHP","$39,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260687035/0/60/45/5bc439a9bdd135b5272b815448765054/13/a2cc7be48f8a5a75ac88a389cec2cd1a/260687035.JPG","N232516","Land Only","S","2517 CRAIG DRIVE","Terrace - City","55",,,"7,932.00",,"Terrace (Zone 88)","023-358-955","V2G 3J4","80.60","Allowed Access","Duplex","$37,500","0.94","$4.73","1/21/2014","Duplex",,"R2","$39,900"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260733639/0/60/45/51b97727cac4f38da79fffbcb88eaacd/15/932888cbace7d073e1cb122db2f6dc8d/260733639.JPG","F1401474","Residential Detached","S","79 8560 156 STREET","Fleetwood Tynehead","2","2","1978","0.00","Manufactured","Surrey","900-569-801","V3S 5K4",,,,"$37,500","0.79","$40.58","1/22/2014","Manufactured","1","MHP","$47,800"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259368464/0/60/45/cef777ad9a3ec8673e342a0e269a0e9f/13/06b646090ed9c61008ae2ef32a66a7c1/259368464.JPG","N217060","Land Only","S","LT 27- 28 GERALD CRESCENT","Bridge Lake/Sheridan Lake","650",,,"0.00",,"100 Mile House (Zone 10)","008-831-751","V0K 1E0",,"Road Access","House/Single Family","$38,000","0.92",,"1/12/2014","House/Single Family",,"R1","$41,400"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259725365/0/60/45/f4a9905d59a5f58762d5378aff6edad7/13/09f55017e342b61184244be1cbb784ca/259725365.JPG","N221802","Land Only","S","LOT 5 FRANCOIS LAKE ROAD","Fraser Lake","511",,,"0.00",,"Vanderhoof And Area (Zone 56)","007-027-966","V0J 1S0","0.00","Road Access",,"$40,000","0.91",,"1/13/2014","Other",,"H-1","$43,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260726223/0/60/45/73aba83085d259e96b4a5d16f3ff7e61/13/8478bf474601f642f1cce27ce4671c78/260726223.JPG","N232854","Land Only","S","LOT 3 HARGREAVES AVENUE","Vanderhoof - Town","5",,,"7,805.00",,"Vanderhoof And Area (Zone 56)","026-796-635","V0J 3A0","610.00","Road Access",,"$43,000","0.87","$5.51","1/21/2014","Other",,"R-1","$49,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260726232/0/60/45/746067ca7a6d752938cc126d37d731f1/13/20024080009c00b02e0f879e0d4ce1d8/260726232.JPG","N232853","Land Only","S","LOT 2 HARGREAVES AVENUE","Vanderhoof - Town","5",,,"7,805.00",,"Vanderhoof And Area (Zone 56)","026-796-601","V0J 3A0","61.00","Road Access",,"$43,000","0.87","$5.51","1/21/2014","Other",,"R-1","$49,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260726282/0/60/45/7e6f2f06b69ceb6e54ce214191426371/13/9721473b124461c875a93172d67029ee/260726282.JPG","N232855","Land Only","S","LOT 11 HARGREAVES AVENUE","Vanderhoof - Town","5",,,"8,337.00",,"Vanderhoof And Area (Zone 56)","026-796-716","V0J 3A0","66.00","Road Access",,"$43,000","0.78","$5.16","1/21/2014","Other",,"R-1","$55,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260595126/0/60/45/b42c83e18b8a88ed9c1dba29e53c289f/14/c3877abadc1f721fa555124385cfb117/260595126.JPG","H1303976","Residential Attached","S","237 1783 AGASSIZ-ROSEDALE HIGHWAY","Agassiz","93","2","1977","0.00","Apartment/Condo","Agassiz","023-570-067","V0M 1A0",,,,"$47,000","0.79","$55.89","1/16/2014","Apartment/Condo","1","R5","$59,900"
