"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261178198/0/60/45/b635d684b704c298f2eb20a3ad2e075a/15/cb7328db3f04fb30551125d8869038a1/261178198.JPG","V1079518","Residential Detached","S","130 1830 MAMQUAM ROAD","Garibaldi Estates","78","1","1974","0.00","Manufactured","Squamish","800-085-674","V8B 0K8",,,,"$15,900","0.80","$20.89","10/18/2014","Manufactured","1","MHP","$19,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261288239/0/60/45/37022c3f63a28f7dcc64e4c3b3cd1d6c/13/83dd701b1938eec4d012be2d9017d7da/261288239.JPG","N240180","Residential Detached","S","3 2189 GASSOFF ROAD","Quesnel - Town","15","2","1975","0.00","Manufactured","Quesnel (Zone 28)","800-089-262","V2J 4B4",,,,"$20,000","0.80","$20.41","10/15/2014","Manufactured","1","MHP","$24,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260194896/0/60/45/7833c76308fc36ecbee6eca6e92a7e86/13/733312bc814223af6882de33302afa7b/260194896.JPG","N226356","Land Only","S","4910 PEASIM COURT","108 Ranch","553",,,"0.00",,"100 Mile House (Zone 10)","008-007-896","V0K 2Z0","0.00","Road Access",,"$20,500","0.89",,"10/15/2014","Other",,"R1-1","$23,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261195842/0/60/45/ea9ec982be43d933e926e257ebbaa769/13/37a7eeef209ca3f28fc192ce9be4489e/261195842.JPG","N239094","Residential Detached","S","46 7817 S 97 HIGHWAY","Sintich","66","3","1983","0.00","Manufactured","PG City South East (Zone 75)","800-088-261","V2N 2J5","0.00",,,"$24,000","0.80","$25.97","10/20/2014","Manufactured","1","MHP","$29,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261224918/0/60/45/ad7127db6331e2001246a80fb3705193/15/18952515f44dd3667a2a3c8332027105/261224918.JPG","F1421551","Residential Detached","S","248 1840 160 STREET","King George Corridor","40","4","1975","0.00","Manufactured","South Surrey White Rock","900-572-382","V4A 4X4","0.00",,,"$25,000","0.63","$20.83","10/12/2014","Manufactured","1","MHP","$39,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261064173/0/60/45/f5f8677b914536d8afd5a44e99211769/13/fcee502dea5d9e6580fb3b5fca8e5edc/261064173.JPG","N237188","Residential Detached","S","26840 MARILYN ROAD","Buckhorn","123","2","2008","16,800.00","House/Single Family","PG Rural South (Zone 78)","008-082-481","V2N 6A5","0.00",,,"$30,000","1.00","$31.25","10/14/2014","House/Single Family","1","N/A","$30,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261309562/0/60/45/73a9e574422f9bd1c93c4c52ef290894/13/17b9cb255c7dabd01215b9604ea00bf4/261309562.JPG","N240379","Residential Detached","S","1372 7TH AVENUE","Valemount - Town","7","2","9999","8,880.00","House/Single Family","Robson Valley (Zone 81)","005-725-003","V0E 2Z0","0.00",,,"$33,000","0.94","$50.00","10/16/2014","House/Single Family","1","R1","$35,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260913753/0/60/45/a2af0f413ca2b060a8e7c4baf5e43c08/15/25321a009e599e7dca16a59e5661728e/260913753.JPG","H1401502","Residential Attached","S","108 9282 HAZEL STREET","Chilliwack E Young-Yale","180","1","1982","0.00","Apartment/Condo","Chilliwack","008-041-121","V2P 5N6",,,,"$46,000","0.86","$79.17","10/13/2014","Apartment/Condo","1","R5","$53,500"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261256080/0/60/45/3e57d795b753b15c3f9884431ad6da2e/15/98c2512f39eea2a8d0e6e95cd88f4c0c/261256080.JPG","F1422838","Residential Detached","S","52 3031 200TH STREET","Brookswood Langley","28","1","1978","0.00","Manufactured","Langley","900-572-540","V2Z 1N5","0.00",,,"$46,500","0.97","$71.32","10/14/2014","Manufactured","1","MHP","$48,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260604320/0/60/45/9d3da9e75737da7db17c15c6c88d1b10/13/580163d95e3d912cc3f88e462be7a8b4/260604320.JPG","N231741","Land Only","S","LOT 3 STOCKYARD ROAD","Lone Butte/Green Lk/Watch Lk","355",,,"0.00",,"100 Mile House (Zone 10)","028-839-951","V0K 1X0","0.00","Road Access","House/Single Family","$52,500","0.88",,"10/12/2014","House/Single Family",,"RR2","$59,900"
