"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260638315/0/60/45/86a4dcf583cce606f0349e3637601b3f/13/cd5b980e96c003113d6d85ba567439e8/260638315.JPG","N232065","Land Only","S","9302 KEITHLEY CREEK ROAD","Horsefly","286",,,"0.00",,"Williams Lake (Zone 27)","015-752-704","V0L 1K0","150.00","Road Access",,"$10,000","0.50",,"8/21/2014","Other",,"RR-3","$19,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261118165/0/60/45/c8b1cd4e97851bad5040c0d6cf6463ea/13/e94ce017c0eec5a205d2070eb1e158a3/261118165.JPG","N237997","Residential Detached","S","114 1427 DOG CREEK ROAD","Williams Lake - Rural South","42","2","1968","0.00","Manufactured","Williams Lake (Zone 27)","800-087-490","V2G 3H3","0.00",,,"$12,000","0.86","$17.24","8/19/2014","Manufactured","1","553","$14,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260580969/0/60/45/31586d8f00c405cb1e010f3b79a1b808/13/8569fe08920b1e5bbab29f961c796765/260580969.JPG","N231504","Land Only","S","LOT 5 QUESNEL-HIXON ROAD","Quesnel - Rural North","321",,,"0.00",,"Quesnel (Zone 28)","009-529-608","V2J 6Y4","0.00","Road Access","House/Single Family","$12,500","0.86",,"8/21/2014","House/Single Family",,"RR3","$14,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261142943/0/60/45/2339927a1d5e493838ab4b8c355a1079/13/31da5d4114bfa9deefc44003cc3c523e/261142943.JPG","N238335","Land Only","S","1234 3RD AVENUE","Valemount - Town","28",,,"8,760.00",,"Robson Valley (Zone 81)","009-062-823","V0J 2E0","0.00","Road Access",,"$24,000","0.93","$2.74","8/18/2014","Other",,"R1","$25,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260903790/0/60/45/9c116d1183d0fbafdf06ffdc7fb9a3a0/13/91728bb71834f44223f15f506797ef47/260903790.JPG","N234858","Residential Detached","S","138 1000 INVERNESS ROAD","Aberdeen PG","131","3","1980","0.00","Manufactured","PG City North (Zone 73)","800-085-177","V2K 4V1","0.00",,,"$31,000","0.85","$33.55","8/19/2014","Manufactured","1","MHP","$36,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261164692/0/60/45/635a949463cbe4d6c6c3210c652ad110/15/a10edd4f84eafb04fd524270cf2cd504/261164692.JPG","F1419075","Residential Detached","S","76 20071 24TH AVENUE","Brookswood Langley","17","2","1986","0.00","Manufactured","Langley","900-572-181","V2Z 2A1","0.00",,,"$32,800","0.94","$41.84","8/18/2014","Manufactured","1","MH1","$34,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261202538/0/60/45/b65b2e7691786e9aeb7e3e1b5eda091a/13/3bfbe3cc4101a7f9e5b3e6dc342d02d3/261202538.JPG","N239182","Residential Detached","S","13 6100 O'GRADY ROAD","Upper College","1","2","1988","0.00","Manufactured","PG City South (Zone 74)","800-088-336","V2N 4R1",,,,"$39,000","0.87","$40.63","8/20/2014","Manufactured","1","MHP","$44,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260863538/0/60/45/f13166138d6111d403b2b064d996fd0d/15/18d7c973dbf7a2dd0f1880c7d2e5dd28/260863538.JPG","F1407075","Residential Detached","S","159 7790 KING GEORGE BOULEVARD","East Newton","147","3","1977","0.00","Manufactured","Surrey","900-570-433","V3W 5Y4",,,,"$39,000","0.93","$27.08","8/16/2014","Manufactured","2","MHP","$41,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261073549/0/60/45/cd7cb8ea95130ae8c258baf0cac9b333/16/7c7324eb40cef6fe901ae8416e5caa2f/261073549.JPG","V1071689","Residential Detached","S","17 1416 NORTH ROAD","Gibsons & Area","61","2","1970","0.00","Manufactured","Sunshine Coast","800-019-922","V0N 1V1","0.00",,,"$41,000","0.91","$46.54","8/20/2014","Manufactured","1","RM1","$44,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261164499/0/60/45/25657395819fe696dd665d19a908ed68/16/14c6176d102f4cd6e6e73dd35c04c321/261164499.JPG","V1078452","Residential Attached","S","1215 5911 MINORU BOULEVARD","Brighouse","16","0","1999","0.00","Other","Richmond","024-508-128","V6X 4C7",,,,"$42,450","0.73","$121.98","8/15/2014","Other","1","CDT1","$58,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261052428/0/60/45/8c83ee7a34466b5db97dd63770cd08b8/14/617453557a5b35e7aa1d9784de8af287/261052428.JPG","H1402481","Residential Detached","S","208 45835 SLEEPY HOLLOW ROAD","Cultus Lake","65","3","1982","0.00","Manufactured","Cultus Lake","700-000-549","V2R 4C6","0.00",,,"$45,000","0.90","$37.63","8/13/2014","Manufactured","1","RMH","$49,900"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261144072/0/60/45/bc521801383bc24eab601175196fe45b/15/11fc27e7fdf2367d711da11481541713/261144072.JPG","F1418376","Residential Detached","S","2 31313 LIVINGSTONE AVENUE","Abbotsford West","30","2","1975","0.00","Manufactured","Abbotsford","900-572-028","V2T 4T1","0.00",,,"$45,000","0.90","$62.50","8/21/2014","Manufactured","1","MHP","$49,900"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261145718/0/60/45/9bd4879a9aa6006b251f13c7ff9f8196/13/2d22326e2a47d7fe86dc4f98491c37ec/261145718.JPG","N238365","Land Only","S","5664 HORSEFLY ROAD","Horsefly","30",,,"212,573.00",,"Williams Lake (Zone 27)","005-932-513","V0L 1L0","700.00","Road Access",,"$48,000","0.81","$0.23","8/21/2014","Other",,"C2","$59,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261050710/0/60/45/4297f7119a269f2b21e8fc5cdbad8ee1/16/e65b9bfae8564e3312db7263396c9221/261050710.JPG","H1402470","Land Only","S","47/48 1650 COLUMBIA VALLEY ROAD","Columbia Valley","72",,,"3,200.00",,"Cultus Lake","002-183-391","V2R 4X4",,"Road Access","Recreational","$49,900","1.00","$15.59","8/20/2014","Recreational",,"REC","$49,999"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261159484/0/60/45/6f034f5619ae11ef5724c50a4f974c9d/13/0a6cac9e6f92c40f9fb2bd46bda7ee13/261159484.JPG","N238549","Residential Detached","S","2 704 DOG CREEK ROAD","Williams Lake - City","17","2","2001","0.00","Manufactured","Williams Lake (Zone 27)","800-087-926","V2G 3G3","0.00",,,"$50,000","1.00","$54.11","8/15/2014","Manufactured","1","MHP","$50,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261197440/0/60/45/bbaf18a1a327b9f39378dc7eacb50bca/16/224278e1506070f63a4d0a3b7f67b2ca/261197440.JPG","V1081017","Residential Detached","S","6 39768 GOVERNMENT ROAD","Northyards","3","2","1973","0.00","Manufactured","Squamish","800-088-284","V8B 0K8",,,,"$51,500","0.94","$75.29","8/21/2014","Manufactured","1","RMH1","$55,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260671356/0/60/45/abef425baa78340025281e9e941b398d/13/aaa2df8d53c6dd397abf07698d39048e/260671356.JPG","N232400","Residential Attached","S","4 301 STUART DRIVE","Mackenzie -Town","264","3","1978","0.00","Townhouse","Mackenzie (Zone 69)","023-674-989","V0J 2C0",,,,"$55,000","0.87","$38.19","8/18/2014","Townhouse","1","RM2","$62,900"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260689274/0/60/45/5c2a76eaf7a276d83d08b68ebcf4a97e/13/30899763546ac9ab1d81ae40900bfab3/260689274.JPG","N232555","Residential Detached","S","3800 OMINECA CRESCENT","Houston - Town","252","4","9999","0.00","House/Single Family","Houston (Zone 53)","006-284-680","V0J 1Z0","59.10",,,"$55,000","0.73","$28.29","8/21/2014","House/Single Family","1","R1","$74,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261004487/0/60/45/367548db0601b9b94172bd7094a01a59/16/0cf7f82f8f204e57ae0647df1c5fcf27/261004487.JPG","V1066330","Residential Attached","S","103 12096 222ND STREET","West Central","89","1","1971","0.00","Apartment/Condo","Maple Ridge","001-138-600","V2X 5W1",,,,"$70,000","0.94","$109.38","8/20/2014","Apartment/Condo","1","RS1","$74,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260147914/0/60/45/034cd14d989986abe9d4be0b0f50c4ae/13/c410ba037467d0b745914243f3a9dbac/260147914.JPG","N225707","Land Only","S","LOT 1 GROSSETT ROAD","Bridge Lake/Sheridan Lake","507",,,"0.00",,"100 Mile House (Zone 10)","019-117-353","V0K 1X2","0.00","Road Access","House/Single Family","$71,000","0.90",,"8/14/2014","House/Single Family",,"RR1","$79,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261058414/0/60/45/a00c98e3d7d2acc14356febb8556be18/16/050a7fc670326eab536df6fb15dae16b/261058414.JPG","V1071200","Residential Attached","S","316 4122 VILLAGE GROVE","Whistler Village","69","1","1987","0.00","Apartment/Condo","Whistler","006-932-720","V0N 1B4",,,,"$72,637","0.97","$138.62","8/20/2014","Apartment/Condo","2","CC1","$75,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261040574/0/60/45/8a91cf26ce5e8532d40fec11b861512b/13/2795f5a2cc7c2413f279283345694e04/261040574.JPG","N236853","Residential Detached","S","9298 KEITHLEY CREEK ROAD","Horsefly","76","3","9999","0.00","House with Acreage","Williams Lake (Zone 27)","015-752-721","V0L 1N0","0.00",,,"$76,900","0.86","$78.15","8/20/2014","House with Acreage","1","RR3","$89,900"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261120017/0/60/45/9967a10f33395e32bd5fb6035e927f57/16/589a4fa84f942a1d81272ddf5cb4810f/261120017.JPG","V1075238","Residential Detached","S","63 145 KING EDWARD STREET","Maillardville","39","2","1986","0.00","Manufactured","Coquitlam","800-087-537","V3K 2X8","0.00",,,"$84,500","0.94","$100.60","8/18/2014","Manufactured","1","RMH-1","$89,800"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261138915/0/60/45/db5ce7d7b3531c48382e60856ec725eb/13/ef78b36132e840a3f5c8efd4002bc077/261138915.JPG","N238299","Residential Attached","S","2378 VICTORIA STREET","Assman","24","3","1975","3,028.00","1/2 Duplex","PG City Central (Zone 72)","014-034-271","V2L 2M2","0.00",,,"$85,000","0.96","$58.38","8/13/2014","1/2 Duplex","1","RT2","$89,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261127536/0/60/45/e9d224e2a7bf54dd4f535297813018bc/13/b4652a3447e65f9f3d76b3bd1f6ee8d3/261127536.JPG","N238224","Residential Detached","S","88 9207 82ND STREET","Fort St. John - City SE","40","3","9999","0.00","Manufactured","Fort St. John (Zone 60)","800-087-622","V1J 4M7","0.00",,,"$86,500","0.96","$106.00","8/17/2014","Manufactured","1","R4","$89,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260977976/0/60/45/2f5f6afc3335cc6243066d20419fac95/13/05a011342fce86b0a282ee92323e2164/260977976.JPG","N235870","Land Only","S","2203 BARKER ROAD","Bouchie Lake","94",,,"0.00",,"Quesnel (Zone 28)","011-762-276","V2J 7B7","0.00","Road Access","House/Single Family","$88,000","0.89",,"8/14/2014","House/Single Family",,"R2","$99,000"
