"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260809492/0/60/45/1da9a86ffdf568aac1a508c3e4ea1b13/13/edcbb2233deb9d7cedf6672149bce731/260809492.JPG","N233647","Land Only","S","CORDOVA STREET","Hazelton","19",,,"17,100.00",,"Smithers And Area (Zone 54)","014-550-148","V0J 1Y1","150.00","Road Access","House/Single Family","$6,500","0.65","$0.38","3/17/2014","House/Single Family",,"R1","$10,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260788299/0/60/45/dd44c0274e92631081e9c94ce5249822/15/5960112548764a8dec83c90b4db0eaff/260788299.JPG","V1048115","Residential Detached","S","56 3295 SUNNYSIDE DRIVE","Anmore","35","2","1979","0.00","Manufactured","Port Moody","800-083-765","V3H 4Z4","0.00",,,"$15,000","0.60","$17.86","3/14/2014","Manufactured","1","RCH1","$24,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260718703/0/60/45/5c5456b3972d4a08a7533dcdc05cd467/14/c0c440dfb4412a02f1af4cc6111d66d6/260718703.JPG","H1400123","Residential Detached","S","3 45640 WATSON ROAD","Vedder S Watson-Promontory","69","2","1974","0.00","Manufactured","Sardis","700-002-711","V2R 3P8","0.00",,,"$22,000","0.79","$25.06","3/17/2014","Manufactured","2","RMH","$27,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260782249/0/60/45/4d080de053eec58690c47afeca0d01dd/13/cd2e9da9a616b6798ca668f3121fb883/260782249.JPG","N233389","Land Only","S","1350 SODA CREEK ROAD","Williams Lake - Rural North","27",,,"0.00",,"Williams Lake (Zone 27)","009-282-432","V2G 2V2","0.00","No Access","House/Single Family","$25,000","0.50",,"3/13/2014","House/Single Family",,"RR1","$49,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260816989/0/60/45/0497534188a17fb112df40d9d9d6ebef/15/82a327df4365d9e6c4e50c2ad75ed323/260816989.JPG","F1405182","Residential Detached","S","396 8400 SHOOK ROAD","Hatzic","21","2","1974","4,050.00","Manufactured with Land","Mission","900-570-315","N0N 0N0","45.00",,,"$25,000","0.42","$31.57","3/17/2014","Manufactured with Land","1","REC","$59,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259969007/0/60/45/d99e1806f546341ea4fa80dd614e9141/13/b21e7abf54940f4398de4895f348ca45/259969007.JPG","N223993","Land Only","S","929 CARIBOO TRAIL","100 Mile House - Town","445",,,"0.00",,"100 Mile House (Zone 10)","028-047-303","V0K 2E0","0.00","Road Access","House/Single Family","$28,000","0.94",,"3/17/2014","House/Single Family",,"R1","$29,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260832283/0/60/45/2505a8aea97ad1403f9ceb1fef7407cf/13/1cf14c4669ab88bcad66401f84e32a39/260832283.JPG","N233919","Land Only","S","1185 9TH AVENUE","Valemount - Town","7",,,"7,534.00",,"Robson Valley (Zone 81)","006-200-630","V0E 2Z0","0.00","Allowed Access","House/Single Family","$31,000","0.97","$4.11","3/17/2014","House/Single Family",,"R1","$31,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260855705/0/60/45/5f58c1666ed41c4d6b3f53b82f62312f/13/20ee7497f43cd252d98a529235ecb3ef/260855705.JPG","N234195","Residential Detached","S","1 2155 COMMODORE CRESCENT","Williams Lake - Rural North","0","3","1972","0.00","Manufactured","Williams Lake (Zone 27)","800-084-636","V2G 5E1","0.00",,,"$31,500","1.00","$36.80","3/20/2014","Manufactured","0","R1","$31,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260402999/0/60/45/5b6d5dc00d4445451401b2b6785b88e0/13/ecc56c1da7abad9db59305cf690e6899/260402999.JPG","N229329","Residential Detached","S","9006 JAMIESON AVENUE","Hudsons Hope","243","2","9999","0.00","House/Single Family","Fort St. John (Zone 60)","015-890-571","V0C 1V0","0.00",,,"$32,000","0.91","$38.83","3/14/2014","House/Single Family","1","RU1","$35,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260574456/0/60/45/3f534baacfc60a66d1e348bc03d2babd/13/2354bc2daeef9996b1bbbf0e63bc0528/260574456.JPG","N231451","Residential Detached","S","3 4401 NAHANNI DRIVE","Fort Nelson -Town","164","2","1982","0.00","Manufactured","Fort Nelson (Zone 64)","800-080-422","V0C 1R0","0.00",,,"$33,500","0.84","$36.26","3/15/2014","Manufactured","1","M-1","$40,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260719617/0/60/45/ee5e62274d058378412d3b6053969f7d/13/649764e76533a9b2f6781a52c6b89d5d/260719617.JPG","N232788","Residential Attached","S","2626 QUINCE STREET","VLA","72","3","9999","3,090.42","1/2 Duplex","PG City Central (Zone 72)","006-840-345","V2L 1H5","0.00",,,"$34,000","0.85","$37.28","3/20/2014","1/2 Duplex","1","RT2","$39,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260722603/0/60/45/95cf843a75996d5234001da06af26099/16/3a7c8b1514f0e604a055087d735e22d0/260722603.JPG","V1041948","Residential Detached","S","4 4200 DEWDNEY TRUNK ROAD","Ranch Park","60","2","1969","0.00","Manufactured","Coquitlam","800-082-910","V3H 3E2",,,,"$38,000","0.85","$56.55","3/14/2014","Manufactured","1","MHP","$44,900"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260333896/0/60/45/e54ab3c34fc80af5fdb82bcb4bc20fa5/13/145a8709a93516085fff5f940729dabc/260333896.JPG","N228370","Land Only","S","LOT 4 CHESTNUT CRESCENT","Telkwa","285",,,"12,066.00",,"Smithers And Area (Zone 54)","023-572-167","V0J 2X0","0.00","Road Access","House/Single Family","$41,500","0.91","$3.44","3/19/2014","House/Single Family",,"R1","$45,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260830820/0/60/45/1c967b15076856193acb29b19d188605/13/049bf48f6fa1708e49019671317af561/260830820.JPG","N233884","Residential Attached","S","A79 2131 UPLAND STREET","VLA","9","3","1964","0.00","Townhouse","PG City Central (Zone 72)","018-435-467","V2L 2V8",,,,"$44,900","1.00","$27.21","3/19/2014","Townhouse","2","RM3","$44,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260390327/0/60/45/e0fda32fdc83690b174c98ccad8906ac/13/279848f0e65756100ad5341c94121f6e/260390327.JPG","N229167","Residential Detached","S","3058 BOSWELL STREET","Horsefly","249","1","9999","0.00","House/Single Family","Williams Lake (Zone 27)","013-817-434","V0L 1L0","99.00",,,"$45,000","0.92","$90.00","3/14/2014","House/Single Family","1","RS1","$49,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260714542/0/60/45/2b827cdb8412bdb38f91e99df23cd45f/13/5291ebd68b8de707fe424411655b2208/260714542.JPG","N232753","Residential Detached","S","20 7128 OTWAY ROAD","Cranbrook Hill","71","2","1994","0.00","Manufactured","PG City West (Zone 71)","800-082-764","V2M 7E1","0.00",,,"$48,000","0.96","$41.74","3/20/2014","Manufactured","1","MHP","$49,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260460071/0/60/45/9734b597dd4312e5bbe7d404e8067774/13/a3d5bb4360840a0765890d70d4a3a644/260460071.JPG","N230096","Land Only","S","CUISSON LAKE ROAD","McLeese Lake","218",,,"0.00",,"Williams Lake (Zone 27)","018-518-427","V0L 1P0","85.00","Allowed Access","Recreational","$50,000","0.77",,"3/15/2014","Recreational",,"RL","$65,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260607775/0/60/45/8b68195d82d555b9393210edc8100f40/13/acc94ca54e6a0e11ac08acca086d6db7/260607775.JPG","N231777","Land Only","S","5263 COOK CRESCENT","Hart Highway","155",,,"0.00",,"PG City North (Zone 73)","024-342-220","V2K 5G7","45.28","Road Access",,"$56,500","0.19",,"3/20/2014","Other",,"RS2M","$299,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260607805/0/60/45/91b5e3415bc9b9cf9cf66edfd5d2d953/13/5f1ae8694ed36cd09302a54657ec1e5e/260607805.JPG","N231776","Land Only","S","5167 COOK PLACE","Hart Highway","155",,,"0.00",,"PG City North (Zone 73)","024-342-297","V2K 5G7","0.00","Road Access",,"$56,500","0.94",,"3/20/2014","Other",,"RS2M","$59,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260607827/0/60/45/7d727272035af1d4427b2320ba0dffb2/13/fb168825625081aaf7c6dfc46831b441/260607827.JPG","N231778","Land Only","S","5290 COOK CRESCENT","Hart Highway","155",,,"0.00",,"PG City North (Zone 73)","024-342-173","V2K 5G7","45.28","Road Access",,"$56,500","0.75",,"3/20/2014","Other",,"RS2M","$74,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260607841/0/60/45/9053604b5100c59f3003474195ded7d0/13/cbaeeb1f575dfe5594c06c1a8a32bd98/260607841.JPG","N231781","Land Only","S","5291 COOK CRESCENT","Hart Highway","155",,,"0.00",,"PG City North (Zone 73)","024-342-190","V2K 5G7","45.28","Road Access",,"$56,500","0.75",,"3/20/2014","Other",,"RS2M","$74,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260607847/0/60/45/55a445abdd62e3e48092baac9be010ba/13/8fb52fd7fe86846c7d4f4f3792c1d98a/260607847.JPG","N231779","Land Only","S","5264 COOK CRESCENT","Hart Highway","155",,,"0.00",,"PG City North (Zone 73)","024-342-157","V2K 5G7","45.28","Road Access",,"$56,500","0.90",,"3/20/2014","Other",,"RS2M","$62,900"
