"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260570132/0/60/45/05ae32036d9ca9c6dcda84033de50494/15/ce605311b4fe276573aa1e00a511204d/260570132.JPG","F1323065","Residential Detached","S","78 7790 KING GEORGE BOULEVARD","East Newton","198","2","1975","0.00","Manufactured","Surrey","900-563-863","V3W 5Y4","0.00",,,"$8,900","0.94","$11.50","4/19/2014","Manufactured","2","RM-M","$9,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260778750/0/60/45/1a279d91ae68928f59d3f00e9d8f6ebc/14/5081278e44896a478171ed4acf7182ae/260778750.JPG","H1400577","Residential Detached","S","3 63922 SCHOOL ROAD","Hope Silver Creek","65","2","1969","0.00","Other","Hope","700-009-054","V0X 1L2","0.00",,,"$17,500","0.93","$21.42","4/16/2014","Other","1","RMH","$18,900"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260909191/0/60/45/0accfa84dca435a4b9d4c0f0a6823bf3/15/aa430b455d6d4eefda5d4529761a538b/260909191.JPG","F1409064","Residential Detached","S","75 1840 160TH STREET","King George Corridor","10","2","1976","0.00","Manufactured","South Surrey White Rock","900-570-788","V4A 4X4",,,,"$22,500","0.90","$31.25","4/18/2014","Manufactured","2","MFH","$24,888"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260875449/0/60/45/c2dfe4407fd53612bd35ceae6ae7a068/15/c0bd1edcd7d51143f6c0e230bd6b3408/260875449.JPG","V1055475","Residential Detached","S","30 5288 SELMA PARK ROAD","Sechelt District","19","2","1975","0.00","Manufactured","Sunshine Coast","800-084-825","V0N 3A6","0.00",,,"$26,000","0.87","$32.83","4/14/2014","Manufactured","1","R-5","$29,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260821734/0/60/45/058ccac6eaf520946163a47c4636a9e3/15/723495cf03659c8c2d3357137e2ca040/260821734.JPG","F1405330","Residential Detached","S","18 1840 160TH STREET","King George Corridor","49","2","1972","0.00","Manufactured","South Surrey White Rock","900-570-318","V4A 4X4","0.00",,,"$26,200","0.80","$34.11","4/21/2014","Manufactured","1","MHP","$32,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260850011/0/60/45/55cd05352f819e6cfd24414cac3259ed/13/473c45b778ac4dc32a42b2dcff3f7a3e/260850011.JPG","N234124","Residential Detached","S","45 634 S ELM STREET","Red Bluff/Dragon Lake","27","3","1983","0.00","Manufactured","Quesnel (Zone 28)","800-084-590","V2J 6R1","0.00",,,"$27,500","0.92","$29.76","4/14/2014","Manufactured","0","MHP","$29,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260824728/0/60/45/e8753c9cb19ed0e99c91ddd0f2cc4113/16/98f63cd353f76afe53432afccbdf34be/260824728.JPG","V1051330","Residential Detached","S","57 21163 LOUGHEED HIGHWAY","West Central","40","2","1967","0.00","Manufactured","Maple Ridge","800-084-277","V2X 2R4","20.00",,,"$28,000","0.94","$41.67","4/14/2014","Manufactured","1","MOBLE","$29,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260427814/0/60/45/90ec941ccfe56a341dd8eae20df80c2f/13/61d238791c8845970bfa2a48c97bcd33/260427814.JPG","N229646","Residential Detached","S","1176 4TH AVENUE","McBride - Town","273","1","9999","0.00","House/Single Family","Robson Valley (Zone 81)","013-917-692","V0J 2E0","50.00",,,"$29,000","0.81","$42.15","4/17/2014","House/Single Family","1","R-1","$35,750"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260887436/0/60/45/88905c06e0f4b241e13f1a44eb511d21/13/91ee1af0141dd2cf7f37a269403577ac/260887436.JPG","N234619","Land Only","S","LOT 16 WOMACK ROAD","Deka/Sulphurous/Hathaway Lakes","13",,,"0.00",,"100 Mile House (Zone 10)","007-308-426","V0K 1T0","0.00","Road Access",,"$30,000","0.86",,"4/14/2014","Other",,"R1","$35,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260680770/0/60/45/d97ab54b72f209b96a750b52b2dfe8cc/13/652ba51234ccdfca25be5432b7c4ca3c/260680770.JPG","N232465","Land Only","S","LOT 64 KITWANGA DRIVE","108 Ranch","136",,,"0.00",,"100 Mile House (Zone 10)","007-484-658","V0K 1Z0","109.00","Road Access","House/Single Family","$30,000","0.75",,"4/17/2014","House/Single Family",,"R1-1","$39,900"
