"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260951935/0/60/45/1489f9a50edc2f5e01e7ed90ecb4cf6e/15/fbe34f9e2fea1d271cd5be57bfafd3bd/260951935.JPG","F1410838","Residential Detached","S","6 8266 KING GEORGE BOULEVARD","Bear Creek Green Timbers","51","2","1974","0.00","Manufactured","Surrey","900-570-969","V3W 5C2","30.00",,,"$9,000","0.92","$11.72","6/21/2014","Manufactured","1","MHP","$9,800"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261048544/0/60/45/68b882c7c6556e4518d501ed150c430e/15/49aa67be820d0b039bdae78ead353819/261048544.JPG","F1414630","Residential Detached","S","18 16039 FRASER HIGHWAY","Fleetwood Tynehead","7","3","1976","0.00","Manufactured","Surrey","900-571-420","V4N 0G2","0.00",,,"$12,400","0.96","$13.78","6/16/2014","Manufactured","1","MHP","$12,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260899987/0/60/45/cade8bf9505dc9da0add402632c663a8/13/c8ced3ba227b5184e10876dd58b41a70/260899987.JPG","N234787","Residential Detached","S","28 803 HODGSON ROAD","Esler/Dog Creek","77","2","1981","0.00","Manufactured","Williams Lake (Zone 27)","800-085-085","V2G 3R2",,,,"$16,000","0.82","$16.33","6/19/2014","Manufactured","2","MHP","$19,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261039183/0/60/45/f8f0fd11c77489eafc3c1f600753c8c3/13/c415d411a15eadd81dcb2cade44bb731/261039183.JPG","N236773","Land Only","S","LOT 104 JULSRUD ROAD","Deka/Sulphurous/Hathaway Lakes","24",,,"0.00",,"100 Mile House (Zone 10)","007-346-361","V0K 1X0","90.00","Allowed Access","Recreational","$22,000","1.00",,"6/23/2014","Recreational",,"R1","$22,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261019918/0/60/45/ba2b81df719a6f160c2aae15ffad836d/14/e7845b7d6224e6e01c23b123100768f3/261019918.JPG","H1402272","Residential Detached","S","55 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","18","2","1969","0.00","Manufactured","Hope","700-006-573","V0X 1L1","0.00",,,"$24,000","0.83","$26.61","6/16/2014","Manufactured","1","RMH","$29,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","F1415330","Land Only","S","182 8400 SHOOK ROAD","Hatzic","0",,,"1,500.00",,"Mission","900-571-527","V2V 7N1","30.00","Road Access","Recreational","$25,000","0.86","$16.67","6/17/2014","Recreational",,"REC","$29,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260980042/0/60/45/401d1cfff041340b41e2cc7cb575cab7/13/e84b0981fbcd5c0bbcccf02f3d615cd2/260980042.JPG","N235907","Land Only","S","LOT 30 NICKEL RIDGE AVENUE","Quesnel - Town","35",,,"0.00",,"Quesnel (Zone 28)","027-127-265","V2J 6P6","0.00","Road Access","House/Single Family","$28,500","0.93",,"6/17/2014","House/Single Family",,"RS1","$30,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260457323/0/60/45/55a20718428e3b6df6ed5a27f5805b6d/13/eb0da161c07cff32b7448ab778f6f71b/260457323.JPG","N230073","Residential Detached","S","345 BIRCH STREET","Fort St. James - Town","317","1","9999","0.00","House/Single Family","Fort St. James (Zone 57)","011-647-272","V0J 1P0","55.00",,,"$30,000","0.75","$49.26","6/19/2014","House/Single Family","1","R-1","$40,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260067125/0/60/45/915c2aaa572d2b61a220a5d1b3abf1cf/13/dff20e94c679a0bd2b2156a1ef9b1bc0/260067125.JPG","N224827","Land Only","S","LOT 14 BAYVIEW ROAD","Fraser Lake","487",,,"0.00",,"Vanderhoof And Area (Zone 56)","006-026-877","V0J 3A0","311.00","Road Access",,"$36,000","0.90",,"6/17/2014","Other",,"R4","$39,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260900236/0/60/45/0454aa8057f959dbc87739bbae75bf42/14/ba767ccfaa6229d4880ac6ca11795079/260900236.JPG","H1401395","Residential Detached","S","8 6338 VEDDER ROAD","Sardis East Vedder Rd","74","3","1975","0.00","Manufactured","Sardis","700-009-144","V2R 4M8","0.00",,,"$38,000","0.85","$26.39","6/20/2014","Manufactured","2","RMH","$44,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260791399/0/60/45/d0372e8b1d6862ec2214559c3dd7eff9/16/6a28ef2d7d42497cf0717d5b1551a1d9/260791399.JPG","V1048740","Residential Detached","S","269 201 CAYER STREET","Maillardville","121","2","1973","0.00","Manufactured","Coquitlam","800-083-897","V3K 5A9","0.00",,,"$39,000","0.78","$44.52","6/16/2014","Manufactured","1","MMH1","$49,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260974782/0/60/45/dc284c625c537248886b081ce78fe5ea/13/0f08c16298ed2f0c079417a6392a66b3/260974782.JPG","N235817","Residential Detached","S","2 602 ELM STREET","Red Bluff/Dragon Lake","43","3","1994","0.00","Manufactured","Quesnel (Zone 28)","800-085-927","V2J 3X1","0.00",,,"$42,000","0.90","$45.45","6/21/2014","Manufactured","2","MHP","$46,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260869255/0/60/45/4ed25a7b6432e97dee8199808fb90af3/13/4240db40ed6ec741520e873458d21da2/260869255.JPG","N234397","Residential Detached","S","12 2377 LARCH AVENUE","Quesnel - Town","89","2","1983","0.00","Manufactured","Quesnel (Zone 28)","800-084-755","V2J 4R9","0.00",,,"$45,000","0.90","$48.70","6/23/2014","Manufactured","1","MHP","$49,900"
