"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260973948/0/60/45/33e26cfd5f060769549bb7116ca3f863/13/1bf5a83e732a20b5192ef788e3ee3722/260973948.JPG","N235803","Land Only","S","LOT 35 PATTON ROAD","Canim/Mahood Lake","138",,,"0.00",,"100 Mile House (Zone 10)","007-143-915","V0K 1J0","120.00","Road Access","House/Single Family","$9,500","0.95",,"9/24/2014","House/Single Family",,"R1","$10,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261202190/0/60/45/8fe84900cd61dcdc312328a6358adcfa/13/f0d9b1ed1eec933080c92ff09ec24673/261202190.JPG","N239178","Residential Detached","S","217 PIONEER WAY","Burns Lake - Town","32","2","9999","0.00","House/Single Family","Burns Lake (Zone 55)","009-068-937","V0J 1E0","0.00",,,"$18,577","1.17","$15.64","9/19/2014","House/Single Family","1","R1","$15,900"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261036660/0/60/45/0063a4b8a6550c8b70f7246298dc4604/15/50831f2fcdd7dfd1af27d6f7e759e85b/261036660.JPG","F1414190","Residential Detached","S","85 1840 160TH STREET","King George Corridor","109","2","1975","0.00","Manufactured","South Surrey White Rock","900-571-414","V4A 4X4","0.00",,,"$28,000","0.91","$38.89","9/21/2014","Manufactured","1","MHP","$30,800"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261247011/0/60/45/91b6610f7e3baa7f0079ec12c64de24f/15/ce81604ded7bd7b2d6a1310217d59b7e/261247011.JPG","F1422489","Residential Detached","S","43 7850 KING GEORGE BOULEVARD","East Newton","13","2","1988","0.00","Manufactured","Surrey","900-572-474","V3W 5B2","0.00",,,"$28,000","0.94","$26.42","9/23/2014","Manufactured","1","MHP","$29,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261077272/0/60/45/ff775d24aed8f6a60d36da2580901496/13/4115123bc67e37d57f82fcff2875fc2c/261077272.JPG","N237338","Residential Detached","S","54 4430 HIGHWAY 16 HIGHWAY","Smithers - Town","98","3","1975","0.00","Manufactured","Smithers And Area (Zone 54)","800-087-082","V0J 2N0","0.00",,,"$31,500","0.88","$34.24","9/23/2014","Manufactured","1","MHP","$36,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261057321/0/60/45/a58756cb3be57334940765763b110962/16/82063d2dd07edfed1b11b5596133f960/261057321.JPG","V1070487","Residential Detached","S","95 201 CAYER STREET","Maillardville","102","3","9999","0.00","Manufactured","Coquitlam","800-086-924","V3K 5A9",,,,"$35,502","1.00","$41.09","9/18/2014","Manufactured","1","MHP","$35,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261016657/0/60/45/3a2ed5e8004b80d4cf09f08a496a229d/13/18574de5779f966467e31e131e47c0d9/261016657.JPG","N236440","Land Only","S","DISCOVERY ROAD","Chief Lake Road","113",,,"0.00",,"PG Rural North (Zone 76)","005-221-528","V2K 5N8","0.00","Mixed",,"$40,000","0.94",,"9/18/2014","Other",,"RU 1/2","$42,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260912095/0/60/45/883c33ca2f536710fb14b28d31f5e3f2/13/2dea4002c3770c86bb92a582e2be8066/260912095.JPG","N234965","Residential Detached","S","23 1000 INVERNESS ROAD","Aberdeen PG","158","2","1989","0.00","Manufactured","PG City North (Zone 73)","800-085-297","V2K 4V3","0.00",,,"$41,000","0.89","$37.55","9/19/2014","Manufactured","1","RS5","$45,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260974302/0/60/45/8a9af47fdb241d61d5f96f04163a5da1/15/78b9c58f8a80374daa62da571346ded4/260974302.JPG","F1411665","Land Only","S","298 8400 SHOOK ROAD","Hatzic","130",,,"0.00",,"Mission","900-571-059","V2V 7L5",,"Road Access","Recreational","$43,500","0.67",,"9/19/2014","Recreational",,"REC","$65,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261243502/0/60/45/b25db8f8319cdb89a12f026f625b919e/14/afa8501a90e97889e9fe2f9435b3d78f/261243502.JPG","H1403705","Residential Attached","S","209 9175 MARY STREET","Chilliwack W Young-Well","10","1","1976","0.00","Apartment/Condo","Chilliwack","001-494-112","V2P 4H7",,,,"$45,000","1.00","$66.08","9/18/2014","Apartment/Condo","1","R6","$45,000"
