"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260771760/0/60/45/7523f12bed25e19084de6a88ebeba5fb/15/372b7c2eff3833c3706b13fb242699e6/260771760.JPG","F1403285","Residential Detached","S","4 32380 LOUGHEED HIGHWAY","Mission BC","71","2","9999","0.00","Manufactured","Mission","900-570-034","V2V 1A4",,,,"$11,000","0.65","$14.82","4/23/2014","Manufactured","1","MHP","$16,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260887095/0/60/45/9ef00daa743924d545089468ae4a0dbe/13/2a8d3d60bf9ab0110f779dba80fb657d/260887095.JPG","N234614","Residential Detached","S","U9 160 E 16 HIGHWAY","Burns Lake - Town","22","3","1977","0.00","Manufactured","Burns Lake (Zone 55)","800-084-956","V0J 1E0","0.00",,,"$20,000","0.80","$21.65","4/26/2014","Manufactured","1","R4","$25,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260800717/0/60/45/f327ebcda3e5d1ef1f07ef883b8a61a3/16/4da0ba8c204526c6c60398f438c749a4/260800717.JPG","V1049172","Residential Detached","S","80 201 CAYER STREET","Maillardville","64","1","9999","0.00","Manufactured","Coquitlam","800-083-992","V3K 5A9","0.00",,,"$21,500","0.72","$22.21","4/27/2014","Manufactured","1","RMH-1","$29,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877575/0/60/45/93b774486328bb1e26e622dc34165379/13/0cd4541cac27f458a17a38489120a8c6/259877575.JPG","N223303","Land Only","S","LOT 25 GOLD DIGGER DRIVE","150 Mile House","545",,,"0.00",,"Williams Lake (Zone 27)","023-898-640","V0K 2G0","213.27","Allowed Access","House/Single Family","$24,000","0.83",,"4/24/2014","House/Single Family",,"RR3","$29,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260821734/0/60/45/058ccac6eaf520946163a47c4636a9e3/15/723495cf03659c8c2d3357137e2ca040/260821734.JPG","F1405330","Residential Detached","S","18 1840 160TH STREET","King George Corridor","49","2","1972","0.00","Manufactured","South Surrey White Rock","900-570-318","V4A 4X4","0.00",,,"$26,200","0.80","$34.11","4/21/2014","Manufactured","1","MHP","$32,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259877586/0/60/45/70a99415d9bfd56150f3917a688d944c/13/1125fa3674eb91d460eb82c3e6570b30/259877586.JPG","N223304","Land Only","S","LOT 26 GOLD DIGGER DRIVE","150 Mile House","545",,,"0.00",,"Williams Lake (Zone 27)","023-898-658","V0K 2G0","196.86","Allowed Access","House/Single Family","$27,000","0.93",,"4/24/2014","House/Single Family",,"RR3","$29,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260839703/0/60/45/3bac6a5cea36f9896218e0ea69b90f8a/16/48c90ab034f6b069f4f30f30be2f9a73/260839703.JPG","V1052648","Residential Detached","S","295 201 CAYER STREET","Maillardville","45","3","1973","0.00","Manufactured","Coquitlam","800-084-473","V3K 2X8",,,,"$28,500","0.88","$30.32","4/26/2014","Manufactured","1","MHP","$32,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260855155/0/60/45/2e267e7e1969e935741d9d75824677e0/15/d9078b4dd2d2e4aa029e45a3d74e997f/260855155.JPG","F1406715","Residential Detached","S","103 7790 KING GEORGE BOULEVARD","East Newton","34","2","1978","0.00","Manufactured","Surrey","900-570-429","V3W 5Y4","0.00",,,"$30,000","0.91","$30.61","4/21/2014","Manufactured","1","MHP","$32,888"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","F1409794","Residential Detached","S","60 7850 KING GEORGE BOULEVARD","East Newton","4","2","1978","0.00","Manufactured","Surrey","900-570-875","V3W 5B2","0.00",,,"$34,000","0.81","$29.51","4/21/2014","Manufactured","2","MHP","$42,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260688334/0/60/45/23018f217d21bee632a57035996712f9/13/2eb77ab3327de44b3ee4bd8ddf12b148/260688334.JPG","N232535","Residential Detached","S","74 OOTSA PLACE","Fraser Lake","134","3","9999","0.00","House/Single Family","Vanderhoof And Area (Zone 56)","010-904-832","V0J 1S0","0.00",,,"$38,000","0.91","$19.79","4/23/2014","House/Single Family","1","R1","$41,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260900986/0/60/45/aa49a77fd5cfb6b5f6eb06af0891a3f4/15/9d530859cd033d3c04fe502259352328/260900986.JPG","F1408691","Residential Detached","S","A 41721 TAYLOR ROAD","Dewdney Deroche","17","3","1969","0.00","Manufactured","Mission","900-570-743","V0M 1G0","0.00",,,"$39,900","0.89","$28.20","4/25/2014","Manufactured","1","MHP","$44,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256148655/0/60/45/a07a18c49989f60a7b903fbae7f5fa03/13/e97b040ca38a44c00b7d6e020c80a800/256148655.JPG","N177313","Land Only","S","LOT 1 CODY DALE ROAD","Quesnel Rural - South","2379",,,"0.00",,"Quesnel (Zone 28)","024-618-632","V2J 4J6","66.00","Road Access","Other","$40,000","0.92",,"4/21/2014","Other",,"RS1","$43,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260926065/0/60/45/470880052900fca700e242b4f5702a4a/13/be6aac3e925defbc422f47b8aadc227c/260926065.JPG","N235110","Residential Attached","S","409 398 RODDIS DRIVE","Quesnel - Town","8","2","1980","827.00","Apartment/Condo","Quesnel (Zone 28)","004-603-893","V2J 1A6","0.00",,,"$40,000","0.98","$48.37","4/25/2014","Apartment/Condo","1","RM2","$41,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260903702/0/60/45/497a1eb93220e96bbc27a769939a2dc0/16/1eb2d52c600f9e84f4610be2551b2d54/260903702.JPG","V1058184","Residential Attached","S","509 4295 BLACKCOMB WAY","Whistler Village","15","0","1995","0.00","Apartment/Condo","Whistler","019-193-548","V0N 1B4",,,,"$40,000","0.89","$82.47","4/23/2014","Apartment/Condo","1","RM1","$44,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260755440/0/60/45/b9783e68dcd51a311947df4b9f73bbb1/15/e98cd9f332e037686e591605c0dc9ca1/260755440.JPG","F1402464","Residential Detached","S","60 9950 WILSON STREET","Stave Falls","88","2","1973","0.00","Manufactured","Mission","900-569-931","V2V",,,,"$40,000","0.57","$42.11","4/25/2014","Manufactured","2","MHP","$69,900"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260752303/0/60/45/dc906b9e19fd3314267bad0bcb59806e/13/190b66e521329c3c9d1477cc4519b633/260752303.JPG","N233072","Land Only","S","448 EVERGREEN DRIVE","Port Edward","84",,,"8,500.00",,"Prince Rupert (Zone 52)","012-457-027","V0T 1G0","85.00","Road Access","House/Single Family","$42,000","0.93","$4.94","4/22/2014","House/Single Family",,"R-2","$45,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260795555/0/60/45/390bb9070a5fb393254b66ed27530f36/16/cda394b47eb5b63cb938b56060a8d7ab/260795555.JPG","F1404304","Residential Detached","S","28 10221 WILSON STREET","Stave Falls","68","3","1974","0.00","Manufactured","Mission","900-570-213","V4S 1A2","0.00",,,"$46,000","0.92","$46.00","4/27/2014","Manufactured","1","MHP","$49,800"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260790595/0/60/45/8aead80398adbf1992f2850d1f9a5246/16/46d4aef6cf020ae3a61e5ce30db0df74/260790595.JPG","F1404059","Residential Detached","S","38 9132 120TH STREET","Queen Mary Park Surrey","65","3","1970","0.00","Manufactured","Surrey","900-570-173","V3V 4B6","0.00",,,"$46,000","0.92","$50.00","4/23/2014","Manufactured","1","RES","$49,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260871485/0/60/45/05cb3f258835e5fe3fe80b36be36cdd3/13/a922078d848fe2f33c81f9343b705041/260871485.JPG","N234436","Multifamily","S","2512 OAK STREET","VLA","35","3","9999","4,219.00","Duplex","PG City Central (Zone 72)","010-042-156","V2L 2A4","0.00",,,"$50,000","0.91","$25.00","4/25/2014","Duplex","1","RT2","$54,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260725994/0/60/45/3b331230bbfe84db84a06325dcbaa975/13/48b54914145686258e6a224254d23b67/260725994.JPG","N232850","Residential Detached","S","4081 ESTAVILLA DRIVE","Emerald","97","4","1992","0.00","Manufactured","PG City North (Zone 73)","800-082-949","V2K 2T8","0.00",,,"$55,000","0.85","$56.12","4/22/2014","Manufactured","1","RS2M","$64,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260911684/0/60/45/96829b477a69d5252b445f35e15120b0/13/f0eeaf4a3d72d99bfe27967f50451c2b/260911684.JPG","N234959","Residential Detached","S","125 2500 GRANT ROAD","Hart Highway","8","2","1994","4,757.00","Manufactured with Land","PG City North (Zone 73)","018-676-782","V2K 4X9","0.00",,,"$60,000","1.11","$64.94","4/22/2014","Manufactured with Land","2","RS5","$54,300"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260930440/0/60/45/18dc9fd42c93ac549aaa393ac0c62a75/13/f08891e572b82b225d81113ba9a4c6b6/260930440.JPG","N235166","Land Only","S","4519 SCOTT AVENUE","Terrace - City","3",,,"0.00",,"Terrace (Zone 88)","006-210-406","V8G 2A8","62.00","Road Access","Duplex","$65,000","1.00",,"4/25/2014","Duplex",,"R5","$65,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259817238/0/60/45/d8bb0d3412b4589ecea0756bfeb64ece/14/a6cb7e70c035cac9f81b9a5e03629cb9/259817238.JPG","H1203995","Residential Attached","S","17 46210 MARGARET AVENUE","Chilliwack E Young-Yale","572","2","1986","0.00","Apartment/Condo","Chilliwack","001-192-884","V2P 2G9",,,,"$65,500","0.90","$83.33","4/24/2014","Apartment/Condo","1","R5","$72,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260666778/0/60/45/646b235998502e652a287a8a35c59b31/15/f15a63ab468f304381dc506e486dfa83/260666778.JPG","F1326354","Residential Detached","S","24 24330 FRASER HIGHWAY","Otter District","147","2","2006","0.00","Manufactured","Langley","900-569-419","V2Z 1N2","0.00",,,"$66,000","0.94","$71.43","4/21/2014","Manufactured","2","MHP","$69,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260928405/0/60/45/4520ca11b5cfea1e2856a75c243cbdb0/13/6ded1a3b9aa8e9f5260fadb921f1c3ed/260928405.JPG","N235143","Residential Detached","S","46 370 WESTLAND ROAD","Quesnel - Town","2","2","1998","0.00","Manufactured","Quesnel (Zone 28)","800-085-452","V2J 6A7","0.00",,,"$68,500","0.98","$74.13","4/24/2014","Manufactured","2","CR1","$69,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260888340/0/60/45/de604ef94324e99cad661b630d901057/13/db6129426d5cb7f5facadbe20622a934/260888340.JPG","N234637","Land Only","S","LOT 52 ELLIS ROAD","Pineview","21",,,"0.00",,"PG Rural South (Zone 78)","014-030-233","V2N 6E2","0.00","Road Access","House/Single Family","$74,000","0.95",,"4/25/2014","House/Single Family",,"RR1","$77,900"
