"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260464586/0/60/45/dc2690b963a431174a0cd464f5823c73/16/9e42491e9d132b7c22ea64226c3b91ff/260464586.JPG","V1022416","Residential Detached","S","18 201 CAYER STREET","Maillardville","200","1","9999","0.00","Manufactured","Coquitlam","800-079-013","V3K 2X8","0.00",,,"$18,500","0.82","$26.62","3/1/2014","Manufactured","1","RES","$22,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260638731/0/60/45/2b32f71f070f962d2d8e9248c08a074a/15/3db602290d2ac9944f231accd907e12d/260638731.JPG","F1325431","Residential Detached","S","105 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","110","2","1976","0.00","Manufactured","Surrey","900-569-242","V3E 6E1","0.00",,,"$19,900","0.91","$25.91","2/25/2014","Manufactured","1","MHP","$21,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259993627/0/60/45/bcdbc55c6f88840baf236f3e4dde55a5/13/eb0d46319e0cdfd89f3a4a54f0c4e2d5/259993627.JPG","N224165","Land Only","S","MILE 456 HIGHWAY","Fort Nelson - Remote","411",,,"0.00",,"Fort Nelson (Zone 64)","025-781-847","V0C 1Z0","0.00","Road Access","Recreational","$20,000","0.71",,"2/27/2014","Recreational",,"N/A","$28,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260791016/0/60/45/86a072926099327855dad5438c82603c/13/fa5fdc21bc7a20e5b758c1a444bd9ad0/260791016.JPG","N233476","Residential Detached","S","E-11 653 COLUMBIA AVENUE","Kitimat","3","3","1975","0.00","Manufactured","Kitimat (Zone 89)","800-083-837","V8C 1V4",,,,"$23,000","0.84","$23.47","2/20/2014","Manufactured","2","R6B","$27,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260367343/0/60/45/c982555adc04a47a17ff2e540bcd1c88/13/c0834b2edff511a2ed9d9da29948fc35/260367343.JPG","N228885","Residential Detached","S","A 1510 N KITWANGA ROAD","Kitwanga","252","2","1970","0.00","Manufactured with Land","Smithers And Area (Zone 54)","025-586-131","V0J 2A0","0.00",,,"$27,000","0.90","$40.18","2/26/2014","Manufactured with Land","1","MHP","$29,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259842771/0/60/45/b2483ecc15ece02447387aa60547de90/13/ea15e6ed7630916fd3bef5934f5e9d31/259842771.JPG","N222994","Land Only","S","LT 40- 43 LEWIS DRIVE","Quesnel - Town","505",,,"2,594.00",,"Quesnel (Zone 28)","024-299-961","V2J 5W2","0.00","Allowed Access","Other","$32,000","0.64","$12.34","2/28/2014","Other",,"RS1","$49,900"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259952691/0/60/45/5474a7e5c4603307df5996440dd7625e/13/99ed6f98ca0db0fbecc985de996b508a/259952691.JPG","N223891","Land Only","S","W UPPER FRASER","Willow River","443",,,"0.00",,"PG Rural East (Zone 80)","006-120-377","V2K 1C2","0.00","Road Access","House/Single Family","$33,000","0.70",,"2/27/2014","House/Single Family",,"RU1","$47,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260770065/0/60/45/d3fc625167a994626b66219809e61c4e/16/c6c32c3771fd0bfd725adc4eacd31643/260770065.JPG","V1046505","Residential Detached","S","33 40157 GOVERNMENT ROAD","Garibaldi Estates","19","2","1980","0.00","Manufactured","Squamish","800-083-602","V0N 1T0","0.00",,,"$35,000","0.88","$30.38","2/26/2014","Manufactured","2","RMH","$39,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260514435/0/60/45/14c1064b6e5fa95fb308376af2bf4cab/15/a89545e10fd3e8829a9a7a2446d41573/260514435.JPG","F1321142","Residential Detached","S","28 3031 200 STREET","Brookswood Langley","172","2","1972","0.00","Manufactured","Langley","900-564-578","V2Z 1N5","0.00",,,"$39,500","0.92","$39.82","2/25/2014","Manufactured","1","MH-1","$42,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260714368/0/60/45/977791eed888c2775a9c2b13227b0ccf/13/464c310d1ab0dcc365c6e6b620f55c9c/260714368.JPG","N232751","Land Only","S","10107 114TH AVENUE","Fort St. John - City NW","50",,,"0.00",,"Fort St. John (Zone 60)","013-341-014","V1J 2R4","50.00","No Access",,"$40,000","0.80",,"2/25/2014","Other",,"R3","$49,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260671810/0/60/45/bec7d4d3504d6836a3e12f7e124c7060/13/01f09b03e0bb57c7093cdaaf3c8abdae/260671810.JPG","N232410","Residential Detached","S","5 7170 HART HIGHWAY","Hart Highway","88","3","1980","0.00","Manufactured","PG City North (Zone 73)","800-082-068","V2K 3A8","0.00",,,"$43,000","0.91","$36.63","2/24/2014","Manufactured","1","MHP","$47,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260772018/0/60/45/cc2b534d3a43b37f644aef27fc91fff2/14/1a28796f6f4b2853749de9f632b000e1/260772018.JPG","H1400521","Residential Attached","S","209 9282 HAZEL STREET","Chilliwack E Young-Yale","19","1","1980","0.00","Apartment/Condo","Chilliwack","008-041-270","V2P 5N6","0.00",,,"$43,000","0.89","$74.01","2/28/2014","Apartment/Condo","1","R5","$48,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260673968/0/60/45/dd3bc835022077250f6ec94dd8e2fcdc/16/9c39a26948719a75ad343b48d35d13b1/260673968.JPG","V1037884","Residential Attached","S","522 4295 BLACKCOMB WAY","Whistler Village","88","0","1995","0.00","Apartment/Condo","Whistler","019-193-416","V0N 1B4",,,,"$44,000","0.90","$94.22","2/28/2014","Apartment/Condo","1","TA8","$49,000"
