"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260922951/0/60/45/dfd3d8cb934825c55bbeb0ab0685f264/14/6f9cafd239a406b7203eca0ade870325/260922951.JPG","H1401578","Residential Detached","S","60 5742 UNSWORTH ROAD","Sardis West Vedder Rd","69","2","1976","0.00","Manufactured","Sardis","700-004-741","V2R 3A2","50.00",,,"$18,000","0.95","$17.21","6/24/2014","Manufactured","1","RMH","$19,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259842825/0/60/45/956d9b885070006bc55b2c753b58df15/13/4a007caa6493078c416076cf4960153c/259842825.JPG","N222995","Land Only","S","LT 44- 47 LEWIS DRIVE","Quesnel - Town","622",,,"2,594.00",,"Quesnel (Zone 28)","024-300-004","V2J 5W2","0.00","Allowed Access","Other","$20,000","0.50","$7.71","6/25/2014","Other",,"RS1","$39,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256999076/0/60/45/21f12796d0e2eddf916993ea9d134b6d/13/dec38e3f4e3b650f73596063e5434ce6/256999076.JPG","N190259","Land Only","S","LOT 44 KALLUM DRIVE","108 Ranch","1930",,,"0.00",,"100 Mile House (Zone 10)","007-958-331","V0K 2Z0","94.00","Allowed Access","House/Single Family","$20,000","0.85",,"6/25/2014","House/Single Family",,"R1-1","$23,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256999144/0/60/45/defba653e8b2a0193e128560c729daf2/13/36baa689706692c2d3e65002d0125269/256999144.JPG","N190264","Land Only","S","LOT 37 KITWANGA DRIVE","108 Ranch","1932",,,"0.00",,"100 Mile House (Zone 10)","007-955-561","V0K 2Z0",,"Allowed Access","House/Single Family","$20,000","0.85",,"6/27/2014","House/Single Family",,"R1-1","$23,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261039183/0/60/45/f8f0fd11c77489eafc3c1f600753c8c3/13/c415d411a15eadd81dcb2cade44bb731/261039183.JPG","N236773","Land Only","S","LOT 104 JULSRUD ROAD","Deka/Sulphurous/Hathaway Lakes","24",,,"0.00",,"100 Mile House (Zone 10)","007-346-361","V0K 1X0","90.00","Allowed Access","Recreational","$22,000","1.00",,"6/23/2014","Recreational",,"R1","$22,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260863573/0/60/45/ef7aaa0451659a2c0751b73aaf0ae336/13/340dc07a631298818e62478590befdbf/260863573.JPG","N234292","Residential Detached","S","252 W BOUCHIE STREET","Quesnel - Town","95","3","9999","6,000.00","House/Single Family","Quesnel (Zone 28)","013-621-092","V2J 1L8","0.00",,,"$34,000","0.68","$15.98","6/27/2014","House/Single Family","1","RM2","$49,900"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260871053/0/60/45/7c9d1d66411e3a5a36f34398a3e417f7/13/2a763add840ca873110a3422a098d4f3/260871053.JPG","N234455","Residential Detached","S","46 4430 16 HIGHWAY","Smithers - Town","88","3","1973","0.00","Manufactured","Smithers And Area (Zone 54)","800-084-798","V0J 2N0","0.00",,,"$41,000","1.00","$40.51","6/24/2014","Manufactured","1","MHP","$41,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260730986/0/60/45/73ed72ad9ddf19b502772d3e7b5c4334/15/c62820032f5f03db65473d03f7bc188b/260730986.JPG","F1401343","Residential Detached","S","80 9950 WILSON STREET","Stave Falls","163","2","1992","0.00","Manufactured","Mission","900-563-824","V2V 6H5","0.00",,,"$42,000","0.94","$53.57","6/29/2014","Manufactured","1","MHP","$44,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260869255/0/60/45/4ed25a7b6432e97dee8199808fb90af3/13/4240db40ed6ec741520e873458d21da2/260869255.JPG","N234397","Residential Detached","S","12 2377 LARCH AVENUE","Quesnel - Town","89","2","1983","0.00","Manufactured","Quesnel (Zone 28)","800-084-755","V2J 4R9","0.00",,,"$45,000","0.90","$48.70","6/23/2014","Manufactured","1","MHP","$49,900"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261006510/0/60/45/935fb4a28ddf09cbd35df8c10772be32/15/50fa5b5b29faaef5997218bcef5b7811/261006510.JPG","F1412927","Residential Detached","S","81 24330 FRASER HIGHWAY","Otter District","31","3","1968","0.00","Manufactured","Langley","900-571-264","V2Z 1N2","0.00",,,"$45,000","0.79","$39.06","6/24/2014","Manufactured","1","MHP","$57,000"
