"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261090490/0/60/45/c51e6b88f4dd794a954717c18b909680/15/b5a22cf1e6b6aef3be98d5dd9b8696f8/261090490.JPG","F1416273","Residential Detached","S","91 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","29","2","1975","0.00","Manufactured","Surrey","900-571-662","V3W 6E1","0.00",,,"$3,500","0.35","$4.56","7/24/2014","Manufactured","1","MHP","$9,900"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261135639/0/60/45/fcf2f48254961cdb675ae39695a23c1c/13/9cc3e4091c78201003241c4991858f15/261135639.JPG","N238272","Land Only","S","1957 BRADFORD ROAD","Bouchie Lake","9",,,"0.00",,"Quesnel (Zone 28)","023-185-015","V2J 7B4","0.00","Allowed Access","House/Single Family","$15,000","0.75",,"7/27/2014","House/Single Family",,"RR3","$20,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261051685/0/60/45/b37a91beedc2706b62e3a384423bd6bc/13/c7235adb606de1235daceddc13f2c040/261051685.JPG","N237005","Residential Detached","S","11 7817 97 S HIGHWAY","Sintich","53","2","1973","0.00","Manufactured","PG City South East (Zone 75)","800-086-808","V2N 6P6",,,,"$15,000","0.88","$19.53","7/28/2014","Manufactured","1","MHP","$17,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260816923/0/60/45/27d905bcb5b73bdff2b303aaa9a3b756/13/ffd15f5cb109a224fe809fa96112f641/260816923.JPG","N233728","Land Only","S","LOT 37 MULLIGAN DRIVE","Horse Lake","147",,,"0.00",,"100 Mile House (Zone 10)","007-882-581","V0K 2E0","100.00","Road Access","House/Single Family","$26,000","0.74",,"7/28/2014","House/Single Family",,"R1","$35,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260876245/0/60/45/e1a77846c672fa9459a8e4e92cc7e2da/15/73743984f7ca5ad712e52c8f4b4f5c98/260876245.JPG","F1407620","Residential Detached","S","63 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","117","3","1976","0.00","Manufactured","Surrey","900-566-157","V3W 6E1","0.00",,,"$30,000","0.92","$30.00","7/30/2014","Manufactured","1","MHP","$32,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261130832/0/60/45/bc32e13e2b8d33daf54e1078942a7479/13/de6dd7be5c8464b49e94e2b029773789/261130832.JPG","N238188","Residential Detached","S","1913 E 7TH AVENUE","Prince Rupert - City","13","2","9999","3,750.00","House/Single Family","Prince Rupert (Zone 52)","014-491-508","V8J 2K6","37.50",,,"$32,000","1.00","$41.56","7/24/2014","House/Single Family","1","R2","$32,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260987814/0/60/45/4a59b79671f6a5dee928ee77e2cc1e6b/13/4a05d6b27d94592623bac677912e734e/260987814.JPG","N236034","Land Only","S","LOT 3 WELDON ROAD","Red Bluff/Dragon Lake","75",,,"0.00",,"Quesnel (Zone 28)","019-041-543","V2J 4P8","0.00","Road Access",,"$33,000","0.83",,"7/28/2014","Other",,"R2","$39,900"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261107550/0/60/45/2d97adc114a220adad74b5ea2bc502e0/13/9651e8fd325b9f3499415b503492d46d/261107550.JPG","N237839","Land Only","S","10110 PAQUETTE AVENUE","Hudsons Hope","24",,,"8,662.00",,"Fort St. John (Zone 60)","012-203-122","V0C 1V0","61.00","Road Access",,"$35,000","1.00","$4.04","7/28/2014","Other",,"R2","$35,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260972136/0/60/45/6ca056adf230394cb3a73d820e2ea497/14/5fdabd5ec10dc10819c51779776d8e18/260972136.JPG","H1401967","Residential Detached","S","79 6338 VEDDER ROAD","Sardis East Vedder Rd","77","2","1974","0.00","Manufactured","Sardis","700-005-148","V2R 3R3","0.00",,,"$38,000","0.95","$47.98","7/24/2014","Manufactured","1","MHP","$39,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261052291/0/60/45/6e1ecf542ebd73587a6f76cbaee0b97a/15/7c7ccd19dc5505368bc7237a959bf4ec/261052291.JPG","F1414763","Residential Detached","S","40 9080 198 STREET","Walnut Grove","50","2","1968","0.00","Manufactured","Langley","900-571-452","V1M 3A8","0.00",,,"$38,500","0.91","$33.77","7/31/2014","Manufactured","1","MH-1","$42,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260493897/0/60/45/5fb057b12d427c9cc401b65ec1189595/13/8f6aef968474aaee20768449055c81ec/260493897.JPG","N230517","Land Only","S","LOT 19 THEODORE ROAD","Hobby Ranches","334",,,"0.00",,"PG Rural North (Zone 76)","007-448-431","V2K 0A4","0.00","Road Access","House/Single Family","$41,000","0.89",,"7/28/2014","House/Single Family",,"RR1","$45,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261021649/0/60/45/4438f57267608c8998fc3d3fdf7d6e3a/15/b95dcebe796c72871fbacbc3ada40400/261021649.JPG","F1413540","Residential Detached","S","46 3031 200TH STREET","Brookswood Langley","64","2","1977","0.00","Manufactured","Langley","900-571-291","V2Z 1N6","0.00",,,"$44,000","0.88","$43.18","7/30/2014","Manufactured","1","MHP","$49,900"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259955838/0/60/45/5741c746b2e5212cfd5955602fad149a/16/7df0d92ef7cc927c20b9db55e709717e/259955838.JPG","V982641","Residential Detached","S","8 4496 SUNSHINE COAST HIGHWAY","Sechelt District","594","2","1972","0.00","Manufactured","Sunshine Coast","800-022-314","V0N 3A1",,,,"$45,900","0.92","$47.22","7/28/2014","Manufactured","1","R1","$49,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260745823/0/60/45/802620c33d7c3d36a9c4b289842705b7/13/672d1b06a0c96584ef6b60001b0f4bdf/260745823.JPG","N233015","Land Only","S","LOT A SEAL COVE CRESCENT","Prince Rupert - City","178",,,"4,252.00",,"Prince Rupert (Zone 52)","005-381-428","V8J 2K8","0.00","Allowed Access",,"$46,000","0.84","$10.82","7/23/2014","Other",,"R2","$55,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260317036/0/60/45/03cea736636ceaebf390ab6decf6eb12/13/a553ad085e7d853a5fbe249aeda0ae72/260317036.JPG","N228139","Land Only","S","LOT 8 COLONY POINT ROAD","Fort St. James - Town","419",,,"0.00",,"Fort St. James (Zone 57)","009-399-623","V0J 1P0","0.00","Road Access","House/Single Family","$48,000","0.85",,"7/27/2014","House/Single Family",,"R3","$56,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261123856/0/60/45/374d574a34b85998ea4d619169f49017/13/8856991ce061ae6e6aa7630d2a4bb74f/261123856.JPG","N238088","Residential Detached","S","4261 FORD PLACE","Williams Lake - Rural North","10","3","1994","0.00","Manufactured with Land","Williams Lake (Zone 27)","006-704-701","V2G 4Z5","24.00",,,"$49,000","0.96","$53.03","7/24/2014","Manufactured with Land","2","R1","$51,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260854899/0/60/45/56c5b9a32a589bb2e5a4798e736b3e6d/13/320b45e9b260dd6137f56a2c25f5d8ac/260854899.JPG","N234178","Land Only","S","440 PROCTOR STREET","Williams Lake - City","134",,,"0.00",,"Williams Lake (Zone 27)","013-572-385","V2G 1S2","66.00","Allowed Access","Duplex","$50,000","0.63",,"7/31/2014","Duplex",,"R2","$79,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260612022/0/60/45/f44ec072ca455515be12fbe11b338b32/14/0fde6a90c94223fdfefc3eccbd20270d/260612022.JPG","H1304060","Residential Detached","S","120 6338 VEDDER ROAD","Sardis East Vedder Rd","274","2","1982","0.00","Manufactured","Sardis","700-008-924","V2R 3R4","0.00",,,"$52,000","0.93","$56.28","7/24/2014","Manufactured","1","RMH","$55,900"
