"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260675216/0/60/45/f78235870e4ec0082f50a07437be2ccd/16/936f5ce15a103cb4f2ee8bc335610469/260675216.JPG","V1037999","Residential Detached","S","62 201 CAYER STREET","Maillardville","35","1","1973","0.00","Manufactured","Coquitlam","800-027-438","V3K 5A8","0.00",,,"$7,000","0.47","$8.05","1/2/2014","Manufactured","1","RMHI","$14,900"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260337981/0/60/45/fdb835c77536efef5acc8b4e0466c430/13/650f2b2d94ab3ca969b1e3b4f765d3f3/260337981.JPG","N228444","Land Only","S","3015 PURDEN SKI HILL ROAD","Purden","201",,,"0.00",,"PG Rural East (Zone 80)","800-077-455","V2L 4P1","0.00","Road Access","Recreational","$15,000","1.00",,"12/30/2013","Recreational",,"SR1","$15,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260577668/0/60/45/ffe7c398d22c8e09df13d956af13b896/16/3a5c0975c1c9c4b3426a63ab01f4e2f4/260577668.JPG","V1031196","Land Only","S","258 1200 PACIFIC BOULEVARD","Yaletown","98",,,"0.00",,"Vancouver West","018-383-963","V0V 0V0",,"Road Access","Other","$16,500","0.92",,"1/9/2014","Other",,"CD-1","$18,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260394094/0/60/45/54aa0737a03304519ded36b7db1ebc74/13/3ec5f32a959d037ce17769785fab5716/260394094.JPG","N229225","Land Only","S","9306 KEITHLEY CREEK ROAD","Horsefly","174",,,"0.00",,"Williams Lake (Zone 27)","014-384-892","V0L 1K0","170.00","Allowed Access","House/Single Family","$18,000","0.75",,"12/30/2013","House/Single Family",,"RR-3","$24,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260689374/0/60/45/d45075d00c19c15cec70e7df30f240da/14/bb548a9f96f2d12a8713e50e97b1faa6/260689374.JPG","H1304501","Residential Detached","S","1 45715 ALMA AVENUE","Vedder S Watson-Promontory","19","2","9999","0.00","Manufactured","Sardis","745-715-024","V2R 3M5","0.00",,,"$20,000","0.67","$20.83","12/31/2013","Manufactured","1","RMH","$29,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260026490/0/60/45/f53e27b824a0b6abf77da32d10e3aa16/13/ea3fba5b9323b997e8c2ec07656bdd5b/260026490.JPG","N224462","Land Only","S","1200 14TH AVENUE","Valemount - Town","344",,,"9,432.00",,"Robson Valley (Zone 81)","005-496-624","V0E 2Z0","72.00","Road Access","House/Single Family","$28,000","0.80","$2.97","1/8/2014","House/Single Family",,"R1","$34,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260583290/0/60/45/7e54621f9276ab38e8608ca781a6725f/13/5da332ae8038d8f04d940962efb82856/260583290.JPG","N231528","Residential Detached","S","4 5016 PARK AVENUE","Terrace - City","91","2","1969","0.00","Manufactured","Terrace (Zone 88)","800-080-549","V8G 1X1","0.00",,,"$29,500","0.95","$36.88","1/7/2014","Manufactured","1","MHP","$31,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260613604/0/60/45/ffb3f6fbf9a00e0e9025d03c3d19f9d6/14/cb19b4a58868a2793b4ed897ea6a8190/260613604.JPG","H1304072","Residential Detached","S","49 46484 CHILLIWACK LAKE ROAD","Chilliwack River Valley","75","2","1982","0.00","Manufactured","Sardis","746-484-327","V2R 3R8","0.00",,,"$31,500","0.90","$34.09","1/9/2014","Manufactured","2","RMH","$34,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260656234/0/60/45/cf7edb048c9e7313c990ae6c147efde8/13/972232164b10758f8a455152c9468078/260656234.JPG","N232274","Residential Detached","S","37 8474 BUNCE ROAD","Haldi","42","2","1984","0.00","Manufactured","PG City South (Zone 74)","800-081-845","V2N 6P1","0.00",,,"$35,000","0.92","$37.88","12/31/2013","Manufactured","1","MHP","$37,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260711329/0/60/45/335171f540297dfdfb1fcd80ab6afb09/15/e5da141d444421b438e4b688181561b9/260711329.JPG","F1400391","Residential Detached","S","175 1840 160TH STREET","King George Corridor","4","2","1975","0.00","Manufactured","South Surrey White Rock","900-561-494","V4A 4X4","0.00",,,"$35,000","0.92","$30.38","1/10/2014","Manufactured","2","MHP","$37,900"
