"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","N233918","Land Only","S","LOT 6 SALMON VALLEY ROAD","Salmon Valley","56",,,"0.00",,"PG Rural North (Zone 76)","013-050-117","V2K 5W3","0.00","Road Access","Other","$11,500","0.89",,"4/28/2014","Other",,"CR-1","$12,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260887095/0/60/45/9ef00daa743924d545089468ae4a0dbe/13/2a8d3d60bf9ab0110f779dba80fb657d/260887095.JPG","N234614","Residential Detached","S","U9 160 E 16 HIGHWAY","Burns Lake - Town","22","3","1977","0.00","Manufactured","Burns Lake (Zone 55)","800-084-956","V0J 1E0","0.00",,,"$20,000","0.80","$21.65","4/26/2014","Manufactured","1","R4","$25,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260800717/0/60/45/f327ebcda3e5d1ef1f07ef883b8a61a3/16/4da0ba8c204526c6c60398f438c749a4/260800717.JPG","V1049172","Residential Detached","S","80 201 CAYER STREET","Maillardville","64","1","9999","0.00","Manufactured","Coquitlam","800-083-992","V3K 5A9","0.00",,,"$21,500","0.72","$22.21","4/27/2014","Manufactured","1","RMH-1","$29,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260885083/0/60/45/48daa0fb0b59801e07b1b5d5f68b7c7e/16/866c1ee805b52e584bfd28271554d4a4/260885083.JPG","V1056362","Residential Detached","S","57 40157 GOVERMENT ROAD","Garibaldi Estates","29","2","1973","0.00","Manufactured","Squamish","800-084-920","V8B 0K8",,,,"$26,000","0.88","$43.33","4/30/2014","Manufactured","1","MHP1","$29,500"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260839703/0/60/45/3bac6a5cea36f9896218e0ea69b90f8a/16/48c90ab034f6b069f4f30f30be2f9a73/260839703.JPG","V1052648","Residential Detached","S","295 201 CAYER STREET","Maillardville","45","3","1973","0.00","Manufactured","Coquitlam","800-084-473","V3K 2X8",,,,"$28,500","0.88","$30.32","4/26/2014","Manufactured","1","MHP","$32,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260747431/0/60/45/12187d544c6aeef2fd115a5c5beef743/15/d7ad9e02cffe52a25028ed070ad197c7/260747431.JPG","F1402092","Residential Detached","S","39 2035 MARTENS STREET","Poplar","97","1","1975","0.00","Manufactured","Abbotsford","900-569-891","V2T 6M4","0.00",,,"$30,000","0.75","$34.09","4/30/2014","Manufactured","1","MHP","$39,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260868487/0/60/45/a58eb68b09af3a9d58a6c6f41fbc9255/13/a9439bbb6db7d86695729e604dc0f915/260868487.JPG","N234365","Land Only","S","926 CARIBOO TRAIL","100 Mile House - Town","33",,,"0.00",,"100 Mile House (Zone 10)","028-047-281","V0K 2E0","0.00","Road Access","House/Single Family","$40,000","0.82",,"4/29/2014","House/Single Family",,"R1","$49,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260722306/0/60/45/b81b42bbcc341ed40369d0f82e32a633/13/5520d6748ce1d549029599e7383b9087/260722306.JPG","N232816","Residential Detached","S","14 2963 KLAHANNI DRIVE","Fort Nelson -Town","108","2","1976","0.00","Manufactured","Fort Nelson (Zone 64)","800-082-884","V0C 1R0","0.00",,,"$42,000","0.88","$47.30","5/1/2014","Manufactured","1","RMH","$47,900"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260795555/0/60/45/390bb9070a5fb393254b66ed27530f36/16/cda394b47eb5b63cb938b56060a8d7ab/260795555.JPG","F1404304","Residential Detached","S","28 10221 WILSON STREET","Stave Falls","68","3","1974","0.00","Manufactured","Mission","900-570-213","V4S 1A2","0.00",,,"$46,000","0.92","$46.00","4/27/2014","Manufactured","1","MHP","$49,800"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260874124/0/60/45/cf4ddfaa523de84fe11d8982e49d47a9/14/c02ee1bf307b6f71082a1439986b789f/260874124.JPG","H1401172","Residential Detached","S","37 46484 CHILLIWACK LAKE ROAD","Chilliwack River Valley","31","2","1977","0.00","Manufactured","Sardis","746-484-315","V2R 3R8","0.00",,,"$48,000","0.98","$48.98","5/1/2014","Manufactured","1","RMH","$49,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260846308/0/60/45/b170ee9245c64cba82e40dc58b75a29f/13/1b0259c347d7314fe8d6ce7d0ae92df3/260846308.JPG","N234092","Residential Detached","S","37 560 SODA CREEK ROAD","Williams Lake - Rural North","42","3","1996","0.00","Manufactured","Williams Lake (Zone 27)","800-084-520","V2G 5E5","0.00",,,"$51,000","0.93","$55.19","4/28/2014","Manufactured","1","MHP","$54,900"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260509214/0/60/45/fb611771c3e98b84885bdf6948fb0f17/13/3a09263fcd156b14cb2f403f05f44c83/260509214.JPG","N230686","Land Only","S","S CANIM-MAHOOD ROAD","Canim/Mahood Lake","237",,,"0.00",,"100 Mile House (Zone 10)","013-317-971","V0K 1J0","0.00","Road Access",,"$54,500","0.92",,"4/30/2014","Other",,"RR1","$59,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260491116/0/60/45/65a255399ff7a45512841b2a736cff3d/15/322312aa8c0174b5081d7c61d7661330/260491116.JPG","H1303360","Land Only","S","26543 APOSTOLIC WAY","Hope Center","247",,,"25,744.00",,"Hope","024-044-962","V0X 1L3","130.00","Road Access","House/Single Family","$60,000","0.86","$2.33","4/30/2014","House/Single Family",,"R1","$69,898"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260687009/0/60/45/bc3c69ed15df86047dc3ee204bcf2d85/16/2de6c0f3f204acf5f743f3e0ce98c445/260687009.JPG","F1327003","Residential Detached","S","83 1840 160 STREET","Sunnyside Park Surrey","144","2","1975","0.00","Manufactured","South Surrey White Rock","900-569-535","V2Z 4X4","0.00",,,"$62,800","0.97","$76.59","4/30/2014","Manufactured","1","MHP","$65,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260870386/0/60/45/9c26dd27c7717fb0c0afcf40f169f04c/13/1ae1e8257632327e65da1e7e299e03ac/260870386.JPG","N234407","Residential Detached","S","37 95 LAIDLAW ROAD","Smithers - Rural","33","2","1990","0.00","Manufactured","Smithers And Area (Zone 54)","800-084-785","V0J 2N6","0.00",,,"$67,000","0.94","$72.51","4/29/2014","Manufactured","1","MHP","$71,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260764920/0/60/45/cb3ba10121d954cbd740387647d12ca3/15/b0e53ad4f3c537883a2ced90ae98bcdf/260764920.JPG","F1402915","Residential Attached","S","232 2821 TIMS STREET","Abbotsford West","86","2","1977","0.00","Apartment/Condo","Abbotsford","000-652-415","V2T 4B1","0.00",,,"$72,000","0.90","$78.77","5/1/2014","Apartment/Condo","1","RML","$79,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260840297/0/60/45/e4bcc9026328ec0a43f2e1226deaace3/13/a92840ab5c5cec3095040dfabca4b74a/260840297.JPG","N234031","Residential Detached","S","50630 LLOYD DRIVE","Cluculz Lake","47","2","9999","0.00","Recreational","PG Rural West (Zone 77)","011-364-530","V0J 3A3","0.00",,,"$73,000","0.95","$99.73","4/29/2014","Recreational","1","R4","$76,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260873537/0/60/45/69c54923b87ca90408d27fd67fb24178/13/0d67bec39cfd78b8f88ef0f9b1f35b13/260873537.JPG","N234449","Residential Detached","S","1326 PIGOTT AVENUE","Prince Rupert - City","32","2","1945","3,200.00","House/Single Family","Prince Rupert (Zone 52)","012-551-988","V8J 2E1","40.00",,,"$75,000","0.81","$65.62","4/29/2014","House/Single Family","1","R2","$93,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260665862/0/60/45/8efeb2f68bd964e276e73c7f2823d29d/13/2c665851bb110eac00cc1ba034dcbc30/260665862.JPG","N232354","Residential Detached","S","2451 MACKENZIE 20 HIGHWAY","Bella Coola/Hagensborg","158","3","1980","0.00","House with Acreage","Williams Lake (Zone 27)","000-037-079","V0T 1H0","0.00",,,"$85,000","0.78","$62.13","4/28/2014","House with Acreage","1","R2","$109,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260354981/0/60/45/9d690ec97a0b839bc3456aab8684bee6/13/e4960ef8fca4fdd4c991f501d95d0301/260354981.JPG","N228708","Residential Detached","S","0 BABINE LAKE ROAD","Smithers - Rural","313","1","9999","28,314.00","Recreational","Smithers And Area (Zone 54)","019-199-651","V0J 2N0","0.00",,,"$89,500","1.00","$146.72","4/29/2014","Recreational","1","NA","$89,500"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260779285/0/60/45/422a79397a0838ff108efaba30d6a978/15/0b97f2b9bd88b23b733e98967580e3a6/260779285.JPG","F1403578","Residential Attached","S","8 33136 MILL LAKE ROAD","Central Abbotsford","75","2","1984","0.00","Townhouse","Abbotsford","000-553-751","V2S 2A5","0.00",,,"$90,000","0.90","$90.00","4/29/2014","Townhouse","1","RM","$99,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260907879/0/60/45/0355c04c9533b6b1188637af142bc347/14/a78f0b6773c9b9d0e0e0e0cd3ec47eca/260907879.JPG","H1401459","Residential Detached","S","38 9055 ASHWELL DRIVE","Chilliwack W Young-Well","18","2","1982","0.00","Manufactured","Chilliwack","700-005-114","V2P 1A1","0.00",,,"$90,000","0.95","$112.50","4/28/2014","Manufactured","1","RSV3","$94,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260899316/0/60/45/134ff40c08323ea3d62cfbafeb4d161e/13/4f094d486a129428dca65d594b77b500/260899316.JPG","N234785","Land Only","S","7420 OLD ALASKA HIGHWAY","Fort Nelson - Rural","21",,,"0.00",,"Fort Nelson (Zone 64)","800-085-094","V0C 1R0","0.00","Road Access","House/Single Family","$95,000","0.79",,"4/30/2014","House/Single Family",,"RR","$120,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260952913/0/60/45/9a98d576112af99d8c1c5c336cc9ce5f/16/ead247fc3f254efba3666a9cb5405a4a/260952913.JPG","V1062251","Residential Attached","S","401D 2020 LONDON LANE","Whistler Creek","1","2","2008","0.00","Apartment/Condo","Whistler","027-506-266","V0N 1B2",,,,"$96,000","0.97","$94.77","5/2/2014","Apartment/Condo","2","CC2","$99,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260809439/0/60/45/2b45b9722cad1724b7e5ec5270b44937/13/2561bdabc669420d1f02b99bbe83c65d/260809439.JPG","N233646","Residential Attached","S","305 3777 MASSEY DRIVE","Pinecone","69","2","1980","0.00","Apartment/Condo","PG City West (Zone 71)","023-283-742","V2N 4J6",,,,"$103,000","0.94","$119.63","5/1/2014","Apartment/Condo","1","RM3","$109,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260573629/0/60/45/41966f292c96e212446cbafa24a9b6b9/16/06b57f88907917b83b91bdc8496c6f96/260573629.JPG","V1030970","Residential Detached","S","19636 PALMTREE LANE","Central Meadows","208","3","1975","0.00","Manufactured","Pitt Meadows","800-080-436","V3Y 1Z3",,,,"$110,000","0.92","$79.02","4/30/2014","Manufactured","2","LUC2","$119,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260954256/0/60/45/839fe8f0e862cfd078e170360a2b838a/13/23fc01b498c3b5f55d2d15bb71558aa4/260954256.JPG","N235527","Residential Attached","S","401 W 8TH AVENUE","Prince Rupert - City","2","3","1960","0.00","Townhouse","Prince Rupert (Zone 52)","014-933-853","V8J 2P5",,,,"$110,000","0.88","$78.01","4/28/2014","Townhouse","3","RM1","$125,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260856182/0/60/45/9e5d7d8fe3aafb5d0ecae67268ae3a61/16/2c1d9a255bb98a31221695816c2da06a/260856182.JPG","V1054025","Residential Attached","S","221 22661 LOUGHEED HIGHWAY","East Central","39","1","1990","0.00","Apartment/Condo","Maple Ridge","013-828-321","V2X 2V4",,,,"$112,500","0.90","$163.52","4/28/2014","Apartment/Condo","1","CONDO","$124,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260704185/0/60/45/cbf357f165ae3b82f23610659eab514b/16/d1b4bf08b39f4e473251d97d0a2d6cfe/260704185.JPG","V1039895","Residential Attached","S","109 20561 113TH AVENUE","Southwest Maple Ridge","121","2","1992","0.00","Apartment/Condo","Maple Ridge","017-996-040","V2X 1E2",,,,"$115,000","0.89","$139.90","5/2/2014","Apartment/Condo","1","APT","$129,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260780010/0/60/45/29455a41dd8032d9210954136c825534/13/2cdcc6adf14bd3fef85f04d3ba12ccb4/260780010.JPG","N233369","Land Only","S","5113 COHO PLACE","Terrace - City","73",,,"13,777.00",,"Terrace (Zone 88)","027-357-708","V8G 5L7","0.00","Allowed Access","House/Single Family","$115,000","0.92","$8.35","4/27/2014","House/Single Family",,"R1","$124,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260923115/0/60/45/6b980902f7c03b3d07edfaff9736b9bc/16/d7879fade12b00d045f7c370417eaad0/260923115.JPG","V1059717","Residential Detached","S","99 40157 GOVERNMENT ROAD","Garibaldi Estates","8","3","1981","0.00","Manufactured","Squamish","800-085-402","V0N 1T0","0.00",,,"$115,500","0.97","$96.25","4/30/2014","Manufactured","1","RMH","$119,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260836818/0/60/45/2aa1304e5aa5b9691ab7cc4ac9b07897/15/46be1b81e6c9a08bfd6643e1523b7bd8/260836818.JPG","F1405918","Residential Attached","S","222 31955 OLD YALE ROAD","Abbotsford West","50","2","1984","0.00","Apartment/Condo","Abbotsford","001-204-343","V2T 4N1",,,,"$119,000","0.95","$100.51","4/28/2014","Apartment/Condo","1","APT","$124,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/256716099/0/60/45/96a802b33f64903a9b7421f3688f6b96/13/c563187254af5af445c5085672dd26b7/256716099.JPG","N186567","Land Only","S","2607 LINKS DRIVE","Aberdeen PG","2064",,,"0.00",,"PG City North (Zone 73)","027-614-867","V2K 5R7",,"Allowed Access",,"$119,000","1.00",,"4/30/2014","Other",,"URS2A","$119,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259687376/0/60/45/524035573803f0b02a225a4c16d21c04/13/12d7749c767eeae35e47cba21fe3a135/259687376.JPG","N221301","Land Only","S","LOT 51 CREEKSIDE WAY","Lower College","638",,,"5,812.51",,"PG City South (Zone 74)","028-848-292","V2N 0A5","0.00","Road Access","House/Single Family","$120,000","0.96","$20.65","5/1/2014","House/Single Family",,"Z14","$124,900"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260901762/0/60/45/7c2a13f797453a4a7adeeb4f8fc1a375/13/82d5e9735cc2749c7be5cecb28e0b7aa/260901762.JPG","N234818","Residential Attached","S","805 COMOX AVENUE","Prince Rupert - City","21","3","1978","2,500.00","1/2 Duplex","Prince Rupert (Zone 52)","014-918-706","V8J 2T4","50.00",,,"$122,000","0.97","$93.85","5/1/2014","1/2 Duplex","2","R-2","$126,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260887104/0/60/45/1dd8dc6d13854439bf540ca615d74eca/16/b1cfb3907551b32182b58d8e8a1a06b2/260887104.JPG","V1056636","Residential Attached","S","105 11605 227TH STREET","East Central","29","1","1995","0.00","Apartment/Condo","Maple Ridge","018-703-054","V2X 2L6",,,,"$127,000","0.91","$172.32","5/2/2014","Apartment/Condo","1","RM2","$139,000"
