"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261120472/0/60/45/1e4723816f0b057a5d76cc638b236fa9/13/5e871a42a96d2f858491e573c36adb05/261120472.JPG","N238039","Residential Detached","S","20 8474 BUNCE ROAD","Lafreniere","51","2","1973","0.00","Manufactured","PG City South (Zone 74)","800-087-531","V2N 6P1","0.00",,,"$7,500","0.77","$9.77","8/29/2014","Manufactured","1","MHP","$9,800"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261140168/0/60/45/f96cd400cfaf6dafb17c6b54b0cdf19e/13/779f0379d765a85b265db2c5c833d199/261140168.JPG","N238318","Land Only","S","13870 GISCOME ROAD","Tabor Lake","42",,,"0.00",,"PG Rural East (Zone 80)","012-139-840","V2N 6W6","0.00","No Access","House/Single Family","$10,000","0.67",,"8/29/2014","House/Single Family",,"R2","$14,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261142106/0/60/45/12baf406141dc4a5b5884f0f84341859/14/ec38b4e9584485076f2ce20d0dd90e91/261142106.JPG","H1403067","Residential Detached","S","48073 RIVERSIDE ROAD","Boston Bar - Lytton","50","3","9999","0.00","House/Single Family","Hope","011-355-492","V0K 1C0","50.00",,,"$10,000","1.00","$6.25","9/4/2014","House/Single Family","0","N/A","$10,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261059558/0/60/45/57ca63fb68a2479b517d690608ab84c1/15/49c9f264168dea78537f4411eedddbec/261059558.JPG","F1415066","Residential Detached","S","22 6571 KING GEORGE BOULEVARD","West Newton","77","2","1971","0.00","Manufactured","Surrey","900-571-476","V3W 4Z4","0.00",,,"$12,000","0.86","$20.00","8/29/2014","Manufactured","1","MHP","$13,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261192245/0/60/45/866f10523049abf99c9810282d169846/15/b5c33784be40979f17cd9808cdb32c40/261192245.JPG","F1420297","Residential Detached","S","108 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","14","3","1977","0.00","Manufactured","Surrey","900-572-250","V3W 6E1","0.00",,,"$30,000","0.86","$26.04","8/29/2014","Manufactured","2","MHP","$35,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261175789/0/60/45/5b81206988e6d5fb4423f7319d0e0c06/15/01ee4ebadc9e6a6d6223a5d3171d32b9/261175789.JPG","F1419551","Residential Detached","S","33 15820 FRASER HIGHWAY","Fleetwood Tynehead","30","2","1976","0.00","Manufactured","Surrey","900-572-191","V4N 0Y0","0.00",,,"$34,000","0.97","$39.53","9/5/2014","Manufactured","1","MHP","$34,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261079834/0/60/45/a07ab970e13b030996781daed21f8510/16/f94f138952a26a0034b22f27d71ac8f1/261079834.JPG","V1072139","Residential Detached","S","255 201 CAYER STREET","Maillardville","77","3","9999","0.00","Manufactured","Coquitlam","800-087-058","V3K 5A9",,,,"$35,000","0.82","$40.51","9/4/2014","Manufactured","1","MHP","$42,500"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260912385/0/60/45/1ee18a39dad02d50cb571d0df0c10284/14/f41724ab60aba6d08ae6e44221e5e2ed/260912385.JPG","H1401493","Residential Detached","S","84 5742 UNSWORTH ROAD","Vedder S Watson-Promontory","138","2","1971","0.00","Manufactured","Sardis","700-004-858","V2R 3A2","0.00",,,"$35,500","0.91","$38.97","8/27/2014","Manufactured","1","RMH","$39,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260779570/0/60/45/28e579cba0c0d35c16d8c570df9dbfa6/13/23c9d56393b19e24f5205f9c862fa05c/260779570.JPG","N233358","Residential Attached","S","1848 BALSAM CRESCENT","Masset","218","4","9999","3,700.00","1/2 Duplex","Prince Rupert (Zone 52)","024-086-029","V0T 1M0","40.30",,,"$44,000","0.75","$25.29","9/5/2014","1/2 Duplex","2","R1","$58,900"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260835932/0/60/45/f8e24bc053f24a82ab579d1164940ae1/14/6b1a07dc74e4becfab09642164ef40cc/260835932.JPG","H1400940","Residential Detached","S","32 45111 WOLFE ROAD","Chilliwack W Young-Well","175","2","1993","0.00","Manufactured","Chilliwack","700-004-499","V2P 1V6","0.00",,,"$49,000","0.94","$50.00","8/30/2014","Manufactured","2","RMH","$51,900"
