"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260710983/0/60/45/3776f16ad309b340e6d68379fdff61b7/13/907c08b0a89046a68a2e655444d5a83a/260710983.JPG","N232721","Land Only","S","1175 OMEGA ROAD","Quesnel - Rural North","84",,,"0.00",,"Quesnel (Zone 28)","011-304-987","V2J 6V5","0.00","Road Access",,"$9,500","0.96",,"3/29/2014","Other",,"RR3","$9,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260878805/0/60/45/0d6ae9967c9443f9440d49205579a891/13/f28d3c699ceb7a008a5e478ed22f9716/260878805.JPG","N234519","Residential Detached","S","12 4195 WILDWOOD ROAD","Williams Lake - Rural North","7","3","1981","0.00","Manufactured","Williams Lake (Zone 27)","800-084-850","V2G 5G4",,,,"$9,800","1.00","$10.61","4/4/2014","Manufactured","1","MHP","$9,800"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260880232/0/60/45/aeb4feeeedeb791653ac506c1568e3f2/15/a1803ecd07066db141e5af16a58c7e8c/260880232.JPG","F1407777","Residential Detached","S","1 3031 200TH STREET","Brookswood Langley","7","2","1975","0.00","Manufactured","Langley","900-570-630","V2Z 1N5",,,,"$12,000","0.71","$15.75","4/4/2014","Manufactured","1","MH-1","$16,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260716509/0/60/45/bb7cbcc55c907731050774b15a535120/13/a20369ff6a9abfaa2a97fff81cec09df/260716509.JPG","N232768","Residential Detached","S","146 5130 N NECHAKO ROAD","Nechako Bench","82","2","1973","0.00","Manufactured","PG City North (Zone 73)","800-082-811","V2K 4W1","0.00",,,"$15,000","0.84","$20.16","3/29/2014","Manufactured","1","MHP1","$17,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260771093/0/60/45/4afc5038786e1312bdccde4aac69045a/16/37100e8de9bc8415d4d9d4de2ea0c042/260771093.JPG","V1046621","Residential Detached","S","9 5294 SELMA PARK ROAD","Sechelt District","50","1","1968","0.00","Manufactured","Sunshine Coast","800-083-625","V0N 3A2","0.00",,,"$15,000","0.79","$24.19","3/29/2014","Manufactured","1","R5","$18,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260682749/0/60/45/52b22f85a8352bf18b7b7aa2be4beef8/15/fc445654f0d471792d2946c6439eb694/260682749.JPG","F1326868","Residential Detached","S","54 7850 KING GEORGE BOULEVARD","East Newton","119","3","1977","0.00","Manufactured","Surrey","900-569-544","V3W 5B2","0.00",,,"$17,500","0.88","$14.23","3/31/2014","Manufactured","2","MHP","$20,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260643719/0/60/45/58f65813093ab0b48a54e7651334cfce/15/3df89c29a2323aa67afb6220b1f7c187/260643719.JPG","H1304238","Residential Detached","S","122 3942 COLUMBIA VALLEY ROAD","Cultus Lake","144","2","1991","0.00","Manufactured","Cultus Lake","700-001-439","V2R 5B3","0.00",,,"$22,400","0.90","$28.57","3/30/2014","Manufactured","1","RMH","$24,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260750579/0/60/45/320fab5760d91333956aef376bf37ebd/15/3a87818ade978f454004d72518d3bcbf/260750579.JPG","F1402224","Residential Detached","S","230 1840 160TH STREET","King George Corridor","67","2","1975","0.00","Manufactured","South Surrey White Rock","900-569-909","V4A 4X4","0.00",,,"$25,000","0.84","$32.55","4/4/2014","Manufactured","1","MHP","$29,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260452632/0/60/45/bd8bc9f49fb786889a4917f8b5d42cb5/13/800c15d3f6fba9bf8e4fa2344ed1df8b/260452632.JPG","N229993","Land Only","S","1368 FOREMAN ROAD","Tabor Lake","243",,,"0.00",,"PG Rural East (Zone 80)","004-090-420","V2K 5C5","0.00","Road Access","House/Single Family","$32,500","0.96",,"4/3/2014","House/Single Family",,"RS1","$34,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260578951/0/60/45/8a1e8946137eb3266dbd62869332febe/13/dc8309392b1f1ed9917b4d1c3643ca2b/260578951.JPG","N231489","Residential Detached","S","21 4501 NAHANNI DRIVE","Fort Nelson -Town","176","3","1973","0.00","Manufactured","Fort Nelson (Zone 64)","800-080-456","V0C 1R0","0.00",,,"$35,000","0.88","$29.17","4/1/2014","Manufactured","1","M1","$39,900"
