"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260108299/0/60/45/6a8f0f0522a04fd3289d4d11eecacc3a/13/773d886eeabae5ba4d5bf31abee34bd6/260108299.JPG","N225260","Land Only","S","91 MORRISON STREET","Granisle","449",,,"8,400.00",,"Burns Lake (Zone 55)","008-567-638","V0J 1W0","0.00","Road Access","House/Single Family","$5,500","0.80","$0.65","5/28/2014","House/Single Family",,"R-1","$6,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260747482/0/60/45/f9bfd1c58614e29cf024cbd2308c8a5b/15/d8b1b9b3516459bea42c1d41bda551a7/260747482.JPG","F1402094","Residential Detached","S","74 10221 WILSON ROAD","Mission-West","128","3","1981","0.00","Manufactured","Mission","900-569-898","V4S 1L8",,,,"$18,500","0.56","$12.01","6/1/2014","Manufactured","1","MOB","$32,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260726543/0/60/45/b1f88ca88580d07e9644a93b1bda9a8a/13/835ca798ba9c5fa018dede019978602f/260726543.JPG","N232860","Residential Detached","S","5 1095 DYKE ROAD","McBride - Town","138","3","1976","0.00","Manufactured","Robson Valley (Zone 81)","800-082-965","V0J 2E0","0.00",,,"$21,000","0.94","$21.69","5/29/2014","Manufactured","1","MHP","$22,400"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260407590/0/60/45/4b3414fec5a5207f5b2d88ecbc2c45a3/13/d74d2f27d7252676f687877dd63f7165/260407590.JPG","N229402","Land Only","S","LOT 5 HORSEFLY ROAD","Horsefly","326",,,"0.00",,"Williams Lake (Zone 27)","010-771-671","V0L 1L0","200.00","Road Access","House/Single Family","$29,900","1.00",,"6/2/2014","House/Single Family",,"RS2","$29,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260631818/0/60/45/2911cc6324f805b309cc70075d5151f6/14/2de97831b1a993aa387cb3270471d99a/260631818.JPG","H1304189","Residential Detached","S","206 45835 SLEEPY HOLLOW ROAD","Cultus Lake","216","3","1983","0.00","Manufactured","Cultus Lake","745-836-130","V2R 5A9","0.00",,,"$31,000","0.89","$33.55","6/2/2014","Manufactured","1","RMH","$35,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260802866/0/60/45/a3b65f836ddee21b38d8f7af862ee02c/15/a8e5e236430178856f156c8ec2cf8048/260802866.JPG","F1404636","Residential Detached","S","20 43201 LOUGHEED HIGHWAY","Dewdney Deroche","96","3","9999","0.00","Manufactured","Mission","900-570-241","V2V 1G0","0.00",,,"$34,000","0.85","$36.80","5/27/2014","Manufactured","2","MOB","$39,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260724905/0/60/45/023ff44255f839b7d193f88b8be08af3/16/8389df3c2bb7655a712a00c8860b20da/260724905.JPG","V1042171","Residential Detached","S","25 4200 DEWDNEY TRUNK ROAD","Ranch Park","135","2","1976","0.00","Manufactured","Coquitlam","800-082-947","V3H 3E2",,,,"$34,000","0.85","$44.27","5/30/2014","Manufactured","1","MHP","$39,900"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260559489/0/60/45/be09c6822419da1d83aca49df889f88c/15/5fc15783086f03db7285dc4cfa61fb78/260559489.JPG","F1322722","Residential Detached","S","92 7790 KING GEORGE BOULEVARD","East Newton","251","3","1975","0.00","Manufactured","Surrey","900-568-680","V3W 5Y4","0.00",,,"$35,000","0.88","$30.38","5/30/2014","Manufactured","1","MHP","$39,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260988816/0/60/45/11d74a274c7e947b2f5414934e01a6f3/13/21a170baebfb30a14cc80af386271447/260988816.JPG","N236064","Land Only","S","N CHILCO ROAD","Vanderhoof - Rural","23",,,"0.00",,"Vanderhoof And Area (Zone 56)","015-016-188","V0J 3A0","0.00","Road Access",,"$36,000","0.90",,"5/30/2014","Other",,"RR-1","$40,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260666680/0/60/45/f982a3770d5b707520ecafd56b9ff906/16/6201830787396bbfa5f4ff2a26fc2a73/260666680.JPG","V1037565","Residential Attached","S","425 4295 BLACKCOMB WAY","Whistler Village","189","0","1995","0.00","Apartment/Condo","Whistler","019-193-114","V0N 1B4",,,,"$39,000","0.91","$83.51","5/30/2014","Apartment/Condo","1","TA8","$43,000"
