"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260328163/0/60/45/6ab87e6904db7aab934891dfe0a90b25/15/5bc3d6d472480d239503a113e625d87e/260328163.JPG","F1314065","Residential Detached","S","183 1840 160 STREET","King George Corridor","233","2","1975","0.00","Manufactured","South Surrey White Rock","900-567-555","V4A 4X4","0.00",,,"$14,000","0.70","$16.24","1/29/2014","Manufactured","1","MHP","$19,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260563716/0/60/45/4468693d63eebef66b4b3f680a89a575/14/4be542c5ddd40033b2b6d948e90c754c/260563716.JPG","H1303808","Residential Detached","S","59 45640 WATSON ROAD","Vedder S Watson-Promontory","129","2","1974","0.00","Manufactured","Sardis","745-640-460","V2R 2H1","0.00",,,"$19,000","0.80","$22.75","2/1/2014","Manufactured","1","RMH","$23,900"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260332002/0/60/45/c7af0e154c5b7811a252740104ec129b/13/dba3d281030dd565995f1334490e7db1/260332002.JPG","N228353","Residential Attached","S","2018 HEMLOCK CRESCENT","Masset","235","4","9999","4,682.00","1/2 Duplex","Prince Rupert (Zone 52)","024-082-708","V0T 1M0","0.00",,,"$21,000","1.05","$11.71","1/31/2014","1/2 Duplex","2","R1","$20,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260342080/0/60/45/322787d6cadce7f3d89af65c9f4b15ed/13/4895761c4687ea253bf822edaa322189/260342080.JPG","N228497","Residential Attached","S","2016 HEMLOCK CRESCENT","Masset","236","4","9999","5,845.00","1/2 Duplex","Prince Rupert (Zone 52)","024-082-694","V0T 1M0","0.00",,,"$21,300","1.07","$11.87","2/4/2014","1/2 Duplex","2","R1","$20,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260729371/0/60/45/8d19a375fa6259a0f423db909e69cf0b/16/f685a87b35273475e0d74d2ccacbda34/260729371.JPG","F1401318","Residential Detached","S","32 9267 SHOOK ROAD","Hatzic","28","4","1971","0.00","Manufactured","Mission","900-569-778","V2V 7M3","0.00",,,"$30,000","0.77","$24.19","2/1/2014","Manufactured","1","MHP","$39,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260093708/0/60/45/e567f48a21a8e62f5b4a03c4c3ed0846/13/24c5cc2c6bcc1bb3919166abf409887d/260093708.JPG","N225093","Land Only","S","LOT B CANIM-HENDRIX LAKE ROAD","Forest Grove","335",,,"0.00",,"100 Mile House (Zone 10)","002-943-701","V0K 1M0","0.00","Road Access","Other","$30,500","0.76",,"1/28/2014","Other",,"RR3","$39,900"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260199171/0/60/45/5121d3df41575953b81df5076967bcc8/14/8173138ae287e7f0896f482fcfcc5de4/260199171.JPG","H1301505","Residential Detached","S","36 6035 VEDDER ROAD","Sardis West Vedder Rd","292","2","1972","0.00","Manufactured","Sardis","700-001-589","V2R 1E5","0.00",,,"$34,500","0.92","$27.27","2/2/2014","Manufactured","2","MHP","$37,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260298292/0/60/45/027991d3dfcea470469ad910f3a99817/13/611e5aecf5379e3a47f4dc0c2b39965c/260298292.JPG","N227874","Residential Detached","S","27 3614 KALUM STREET","Terrace - City","253","2","1971","0.00","Manufactured","Terrace (Zone 88)","800-076-966","V8G 4E2","0.00",,,"$34,900","1.00","$42.67","2/4/2014","Manufactured","1","MHP","$34,900"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260173643/0/60/45/f24250a28fd32051970842e67b74e3b0/16/48057c9c8e4a863f05df7d68870569da/260173643.JPG","V999973","Residential Detached","S","37 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","303","2","1968","0.00","Manufactured","Sunshine Coast","800-067-814","V0N 1V5",,,,"$35,000","0.78","$32.35","2/2/2014","Manufactured","1","RMZ","$45,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260255119/0/60/45/d1a2ef6a643759a5e43736f74ebaba2f/13/3639320f50784fdd05b2dd83b70d33ed/260255119.JPG","N227236","Land Only","S","40 KALUM LAKE ROAD","Terrace - Northwest/Rosswood","265",,,"0.00",,"Terrace (Zone 88)","023-638-796","V8G 4R6","0.00","Mixed","House/Single Family","$40,000","0.80",,"1/30/2014","House/Single Family",,"R1","$49,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260588727/0/60/45/6be54dc82723ba30439f91c626dafb5c/16/0b1ead56ee2e6841cce1ddb2cc1d3d4c/260588727.JPG","V1032024","Residential Attached","S","219 4122 VILLAGE GROVE","Whistler Village","108","0","1987","0.00","Apartment/Condo","Whistler","006-932-479","V0N 1B4",,,,"$41,500","0.94","$112.16","1/28/2014","Apartment/Condo","1","CC1","$44,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259329322/0/60/45/ac1b44037af770fb0ae51045d8c44837/13/efd591d70d2dceea46c782b3f9185241/259329322.JPG","N216589","Residential Detached","S","84 HAYS VALE DRIVE","Prince Rupert - City","692","2","1973","6,077.00","Manufactured with Land","Prince Rupert (Zone 52)","012-980-960","V8J 3Z1","100.00",,,"$45,000","0.92","$48.70","2/5/2014","Manufactured with Land","1","RMH","$49,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260603492/0/60/45/23592c75faa897b937800b089cc207ba/16/2ac17c314b1cfa2cea66ede8fa0f7410/260603492.JPG","V1033295","Residential Attached","S","117 C 2020 LONDON LANE","Whistler Creek","101","1","2008","0.00","Apartment/Condo","Whistler","027-505-863","V0N 1B2",,,,"$46,000","0.93","$76.92","1/30/2014","Apartment/Condo","1","CC2","$49,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260739640/0/60/45/3bf40e3c37dc2c209665ee2d03527764/16/66f1bb492d8f02ffe63f9b3e5d1da46a/260739640.JPG","V1043601","Residential Attached","S","317 G1 4653 BLACKCOMB WAY","Benchlands","6","1","2000","0.00","Apartment/Condo","Whistler","800-083-174","V0N 1B4",,,,"$52,250","0.95","$80.76","1/28/2014","Apartment/Condo","1","TA13","$55,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260687435/0/60/45/6b3c28c175e5a6d5f233ba8cd9fd1f26/13/42270bc1949e86cf56c17d8042564cae/260687435.JPG","N232524","Land Only","S","S STANLEY","Vanderhoof - Rural","49",,,"0.00",,"Vanderhoof And Area (Zone 56)","013-654-101","V0J 3A0","0.00","Road Access",,"$52,500","1.00",,"1/28/2014","Other",,"RR-1","$52,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260678394/0/60/45/528b2fa72b8123c79526368054c188b4/13/53968d7742c25924e506ebf4b937e7a5/260678394.JPG","N232446","Residential Detached","S","160 3666 11TH STREET","Houston - Town","58","2","1996","0.00","Manufactured","Houston (Zone 53)","800-082-209","V0J 1Z2","0.00",,,"$53,500","0.92","$37.70","1/31/2014","Manufactured","1","R-3","$57,900"
