"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260510179/0/60/45/aa664a2d720810e823b8cd906ac7e93b/15/949cce7052dccdd35c1cad52324b0e70/260510179.JPG","F1320962","Residential Detached","S","5 35584 DURIEU ROAD","Durieu","305","2","1972","0.00","Manufactured","Mission","900-568-467","V2V 7K9","0.00",,,"$12,000","0.81","$10.68","7/3/2014","Manufactured","1","MHP","$14,900"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260862982/0/60/45/5c1c31411bb60891323fa0f979f3e7b2/13/08c7532a325b0edad853ef75935d7098/260862982.JPG","N234284","Land Only","S","LOT 7 WINWORD ROAD","Bouchie Lake","102",,,"0.00",,"Quesnel (Zone 28)","004-520-556","V2J 7G3","0.00","Road Access","House/Single Family","$17,000","0.85",,"7/4/2014","House/Single Family",,"RR2","$19,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260988611/0/60/45/3eadba80047e173f4a14d457c5d9f244/16/f2fad80093db2eb5f413de9c138ab201/260988611.JPG","V1065044","Residential Detached","S","129 201 CAYER STREET","Maillardville","50","2","1972","0.00","Manufactured","Coquitlam","800-086-056","V3K 5A8",,,,"$23,000","0.92","$30.42","7/4/2014","Manufactured","1","MH","$25,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260886425/0/60/45/e770ad8d0efc80aeabb0d64f43d11287/15/ff0058aa36d89cfe8a6f3e959a856f7b/260886425.JPG","H1401280","Residential Detached","S","12 6900 INKMAN ROAD","Agassiz","93","2","1973","0.00","Manufactured","Agassiz","700-004-084","V0M 1A1","0.00",,,"$24,300","0.90","$24.57","7/5/2014","Manufactured","1","MHR","$27,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260915247/0/60/45/d33eeaa21797a1fc6aa546ccf1d61ffa/13/567dfe2215677167292d42781396d31d/260915247.JPG","N235000","Residential Detached","S","34 4430 16 HIGHWAY","Smithers - Town","77","2","1973","0.00","Manufactured","Smithers And Area (Zone 54)","800-085-359","V0J 2N0","0.00",,,"$32,000","0.82","$43.01","7/2/2014","Manufactured","1","MHP","$39,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260730986/0/60/45/73ed72ad9ddf19b502772d3e7b5c4334/15/c62820032f5f03db65473d03f7bc188b/260730986.JPG","F1401343","Residential Detached","S","80 9950 WILSON STREET","Stave Falls","163","2","1992","0.00","Manufactured","Mission","900-563-824","V2V 6H5","0.00",,,"$42,000","0.94","$53.57","6/29/2014","Manufactured","1","MHP","$44,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261103615/0/60/45/72a9547fbdb7fb34f4aa86ba79ca82a8/16/08408e8ed1aa44fc7782abb7365f0261/261103615.JPG","V1073883","Residential Attached","S","910 5911 MINORU BOULEVARD","Brighouse","3","0","1999","0.00","Other","Richmond","024-508-772","V6X 4C7",,,,"$42,300","0.85","$119.49","7/6/2014","Other","1","CDT1","$49,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260974177/0/60/45/bf337a1f2eb9b75c34857cbf9f30b661/13/50cdf384be57f58df0b5abd0c24f72bd/260974177.JPG","N235810","Residential Detached","S","58054 KENNEY DAM ROAD","Vanderhoof - Rural","60","2","9999","0.00","House/Single Family","Vanderhoof And Area (Zone 56)","005-030-498","V0J 3A1","0.00",,,"$50,000","0.83","$40.19","7/4/2014","House/Single Family","0","N/A","$60,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260850195/0/60/45/39643479bab7c9935c11a9e2649a2e78/16/4d46e55f46c44f00f1f334e3e80b9887/260850195.JPG","V1053534","Residential Attached","S","222 4315 NORTHLANDS BOULEVARD","Whistler Village","108","0","1998","0.00","Apartment/Condo","Whistler","024-148-920","V0N 1B4",,,,"$50,000","0.91","$183.15","7/4/2014","Apartment/Condo","1","CC1","$55,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261108347/0/60/45/7737a3dfa0a2db9179a7c5e3939cda6b/13/00075c16b2ee580d73e149a4e5e318a1/261108347.JPG","N237856","Land Only","S","LOT 4 DESAUTEL ROAD","Williams Lake - Rural East","0",,,"0.00",,"Williams Lake (Zone 27)","005-069-734","V0K 2G0","0.00","Road Access","House/Single Family","$51,500","0.89",,"7/3/2014","House/Single Family",,"RR2","$58,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261099022/0/60/45/6932884932a8fed4e8c3d104a030e770/16/ace9d50a48b8d1bef3095a14e663acb0/261099022.JPG","V1073526","Residential Attached","S","1106 5911 MINORU BOULEVARD","Brighouse","3","0","1999","0.00","Other","Richmond","024-508-373","V6X 4C7",,,,"$52,000","0.72","$118.99","7/3/2014","Other","1","CDT1","$72,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260674555/0/60/45/e78869adb879f33e0f94c1d4a675d5d1/13/4f75db4fa37fb26bdb9f78708aa12da1/260674555.JPG","N232419","Residential Attached","S","51 605 CARSON DRIVE","Williams Lake - City","227","3","1977","0.00","Townhouse","Williams Lake (Zone 27)","027-059-006","V2G 1T1",,,,"$55,000","1.00","$54.73","7/5/2014","Townhouse","2","R3","$55,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260562422/0/60/45/f7e794b7f9af83341eb10d44be2afb53/15/78812315df898a56f20970834f852ce4/260562422.JPG","F1322798","Residential Detached","S","107 3031 200TH STREET","Brookswood Langley","274","2","1974","0.00","Manufactured","Langley","900-568-628","V2Z 1N5","0.00",,,"$60,000","0.92","$58.14","7/2/2014","Manufactured","1","MHP","$65,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260790706/0/60/45/8eb387dfc0f7a70b70997f9ede8cb2e0/16/849b6aba7a0f5a59082ecde3bd982e65/260790706.JPG","H1400661","Residential Detached","S","51 46484 CHILLIWACK LAKE ROAD","Chilliwack River Valley","146","2","1984","0.00","Manufactured","Sardis","746-484-329","V2R 3R8","0.00",,,"$60,000","0.77","$52.08","6/29/2014","Manufactured","2","RMH","$78,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261058826/0/60/45/a8d4936615a842048fbe492464ec7cd2/14/1d991fcb1eb430f80af592b1d5894915/261058826.JPG","H1402532","Residential Attached","S","301 45745 PRINCESS AVENUE","Chilliwack W Young-Well","22","2","1995","0.00","Apartment/Condo","Chilliwack","019-149-018","V2P 2B5",,,,"$62,000","0.90","$54.87","7/4/2014","Apartment/Condo","2","R6","$69,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260793385/0/60/45/dd2b106e31413d3b1e259ab54221186c/15/e21852c0e30d5985a7ccd56b03cd1447/260793385.JPG","F1404196","Residential Detached","S","72 3300 HORN STREET","Central Abbotsford","136","2","1981","0.00","Manufactured","Abbotsford","900-570-194","V2S 7W4","0.00",,,"$62,000","0.91","$58.71","7/3/2014","Manufactured","2","MHP","$67,900"
