"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261245956/0/60/45/a24124f65ec830007c2ee48528dcb893/15/5961cec82936ad15cb617aee8b30ea54/261245956.JPG","F1422440","Residential Detached","S","80 1840 160TH STREET","King George Corridor","26","2","1973","0.00","Manufactured","South Surrey White Rock","900-572-469","V4A 4X4","0.00",,,"$21,000","0.91","$24.39","10/1/2014","Manufactured","1","MHP","$22,999"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261153848/0/60/45/8a6b743bf15862bbe14011bb9d1b70ad/15/b5ad5334cee5528e676fb3c08f2c3ade/261153848.JPG","F1418698","Residential Detached","S","13 3300 HORN STREET","Central Abbotsford","70","3","1975","0.00","Manufactured","Abbotsford","900-572-081","V4S 6Y9","0.00",,,"$24,900","0.96","$21.10","10/1/2014","Manufactured","1","MHP","$25,900"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261269284/0/60/45/d05a129c9d4bb3c17d074a7473335b26/15/d4ae26793aad205a09929da6a674275e/261269284.JPG","F1423330","Residential Detached","S","70 7790 KING GEORGE BOULEVARD","East Newton","17","3","1975","0.00","Manufactured","Surrey","900-572-567","V3W 5Y4",,,,"$35,000","0.90","$30.38","10/6/2014","Manufactured","1","MHP","$39,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260956021/0/60/45/83853a7ca4023d54e815831334f2b85b/15/06891d42756c7a56eb4ea6c762f1e282/260956021.JPG","F1411003","Residential Detached","S","3 8953 SHOOK ROAD","Hatzic","156","2","1977","0.00","Manufactured","Mission","900-530-877","V2V 5M2","0.00",,,"$37,000","0.84","$44.05","10/4/2014","Manufactured","1","MHP","$44,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260827414/0/60/45/86f9a91c77eb7fd3765a3920f27527c3/16/233bf174059e08e9c7aca8f162468035/260827414.JPG","V1051687","Residential Detached","S","8 39884 GOVERNMENT ROAD","Northyards","212","2","1974","0.00","Manufactured","Squamish","800-084-306","V8B 0A7","0.00",,,"$40,000","0.95","$41.67","10/6/2014","Manufactured","1","RM1","$42,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261307830/0/60/45/977b86ebd1ba663e1046f7067f9dbc05/15/82927966baf8c14646ccb74f57fb72eb/261307830.JPG","F1424702","Residential Detached","S","249 1840 160TH STREET","King George Corridor","2","2","1975","0.00","Manufactured","South Surrey White Rock","900-572-750","N0N 0N0","0.00",,,"$41,000","0.91","$56.94","10/6/2014","Manufactured","1","MHP","$45,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260597043/0/60/45/ac5bfe609b74b55220906996f7014914/13/85ee8ece45985a1abe295b5047b594a3/260597043.JPG","N231660","Residential Detached","S","33 562 ELM STREET","Red Bluff/Dragon Lake","347","2","1986","0.00","Manufactured","Quesnel (Zone 28)","800-080-861","V2J 3X1","0.00",,,"$45,000","0.87","$45.92","9/29/2014","Manufactured","1","MHP","$51,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261062380/0/60/45/53b955c872d9da8d162a7503c4ead5c5/13/a5c4e5d08871f4b1bd68d0f4c71e1193/261062380.JPG","N237168","Residential Detached","S","12 955 13TH AVENUE","Valemount - Town","110","2","1992","0.00","Manufactured","Robson Valley (Zone 81)","800-086-948","V0E 2Z0","0.00",,,"$45,500","0.94","$48.51","10/2/2014","Manufactured","1","MHP","$48,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261123124/0/60/45/220609a5cf4c88b2657f2609fe04c4dc/13/5fd39b5622fcb15f3cb8e4e89fa5fd95/261123124.JPG","N238109","Residential Detached","S","31 3624 OLD LAKELSE LAKE ROAD","Thornhill","87","2","1971","0.00","Manufactured","Terrace (Zone 88)","800-087-555","V8G 5A7","0.00",,,"$50,000","1.00","$51.28","10/6/2014","Manufactured","1","MHP","$50,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261052965/0/60/45/1859a40d126dda4d52e154b87a94bb0b/15/90b1cbdc81740abc040c0597f77164ec/261052965.JPG","H1402489","Residential Attached","S","311 45749 SPADINA AVENUE","Chilliwack W Young-Well","112","1","1980","0.00","Apartment/Condo","Chilliwack","016-033-361","V2P 1T5",,,,"$52,000","0.91","$91.23","9/29/2014","Apartment/Condo","1","R5","$56,900"
