"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260878805/0/60/45/0d6ae9967c9443f9440d49205579a891/13/f28d3c699ceb7a008a5e478ed22f9716/260878805.JPG","N234519","Residential Detached","S","12 4195 WILDWOOD ROAD","Williams Lake - Rural North","7","3","1981","0.00","Manufactured","Williams Lake (Zone 27)","800-084-850","V2G 5G4",,,,"$9,800","1.00","$10.61","4/4/2014","Manufactured","1","MHP","$9,800"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260880232/0/60/45/aeb4feeeedeb791653ac506c1568e3f2/15/a1803ecd07066db141e5af16a58c7e8c/260880232.JPG","F1407777","Residential Detached","S","1 3031 200TH STREET","Brookswood Langley","7","2","1975","0.00","Manufactured","Langley","900-570-630","V2Z 1N5",,,,"$12,000","0.71","$15.75","4/4/2014","Manufactured","1","MH-1","$16,900"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260803157/0/60/45/39473133eee6a471b4787e6a66ebfc53/13/a39fee59fd79cfc60864f4badce74bee/260803157.JPG","N233579","Land Only","S","LOT 9 MCCARTHY ROAD","Bridge Lake/Sheridan Lake","46",,,"0.00",,"100 Mile House (Zone 10)","002-940-965","V0K 1E0","0.00","Road Access",,"$23,000","0.92",,"4/7/2014","Other",,"RR3","$24,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260750579/0/60/45/320fab5760d91333956aef376bf37ebd/15/3a87818ade978f454004d72518d3bcbf/260750579.JPG","F1402224","Residential Detached","S","230 1840 160TH STREET","King George Corridor","67","2","1975","0.00","Manufactured","South Surrey White Rock","900-569-909","V4A 4X4","0.00",,,"$25,000","0.84","$32.55","4/4/2014","Manufactured","1","MHP","$29,900"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260513652/0/60/45/f6feabd2645e987df17495f3990af2f0/15/fe85d08b80545ffdc7f97fe7303febf0/260513652.JPG","F1321112","Residential Detached","S","75 15820 FRASER HIGHWAY","Fleetwood Tynehead","214","1","1975","0.00","Manufactured","Surrey","900-568-495","V3S 2W5","0.00",,,"$25,000","0.72","$30.49","4/8/2014","Manufactured","1","MHP","$34,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260834430/0/60/45/9f57df8906476558000f7fcb3eaed4f8/14/eeba43492f007dad0c9ff98f0db236c5/260834430.JPG","H1400927","Residential Detached","S","30 45111 WOLFE ROAD","Chilliwack W Young-Well","35","2","1989","4,400.00","Manufactured","Chilliwack","700-000-548","V2P 1V6","40.00",,,"$29,500","0.85","$31.86","4/10/2014","Manufactured","1","RMH","$34,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260452632/0/60/45/bd8bc9f49fb786889a4917f8b5d42cb5/13/800c15d3f6fba9bf8e4fa2344ed1df8b/260452632.JPG","N229993","Land Only","S","1368 FOREMAN ROAD","Tabor Lake","243",,,"0.00",,"PG Rural East (Zone 80)","004-090-420","V2K 5C5","0.00","Road Access","House/Single Family","$32,500","0.96",,"4/3/2014","House/Single Family",,"RS1","$34,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260836460/0/60/45/b4966fd77643e644089cb098419aa4aa/13/5f7c12c0632ecb6ef1141f8713c6b48a/260836460.JPG","N233951","Residential Detached","S","38 770 11TH AVENUE","Williams Lake - City","25","3","1976","0.00","Manufactured","Williams Lake (Zone 27)","800-084-392","V2G 2M4","0.00",,,"$34,000","0.90","$37.28","4/5/2014","Manufactured","1","MHP","$37,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260471633/0/60/45/609cb64936307f62b487fb7447b36c97/13/1d9844ca4e3c3f7bc3e6a4b39d60c2cb/260471633.JPG","N230253","Land Only","S","GLEN ROAD","Terrace - Northwest/Rosswood","234",,,"0.00",,"Terrace (Zone 88)","010-743-855","V8G 0B3","100.00","Allowed Access","House/Single Family","$35,000","0.88",,"4/5/2014","House/Single Family",,"R2","$39,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260704794/0/60/45/58aa3f121307c3ed45d03a3e50c34f1d/13/f769565ea6a0e909cdf91bc019e67d24/260704794.JPG","N232673","Residential Attached","S","209 398 RODDIS DRIVE","Quesnel - Town","97","2","1981","0.00","Apartment/Condo","Quesnel (Zone 28)","004-603-613","V2J 1A6",,,,"$40,850","0.91","$49.40","4/9/2014","Apartment/Condo","1","RM2","$44,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260802738/0/60/45/82814c2c5f734e564e7eb591a98dfd84/15/c47ade9a847abcb3d8c7e2829e0e2fb4/260802738.JPG","F1404629","Residential Detached","S","31 24330 FRASER HIGHWAY","Otter District","45","2","1972","0.00","Manufactured","Langley","900-570-259","V2Z 1N2","0.00",,,"$41,000","0.87","$57.91","4/10/2014","Manufactured","1","MHP","$46,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260135449/0/60/45/699decba65d55422791bb7ff83773dc7/13/1008e3bd72ad36bb67a19dc5c85ca6f6/260135449.JPG","N225586","Land Only","S","4038 ESTAVILLA DRIVE","Emerald","382",,,"0.00",,"PG City North (Zone 73)","023-553-669","V2K 2T9","59.30","Road Access","House/Single Family","$45,000","0.81",,"4/5/2014","House/Single Family",,"URS2B","$55,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260135497/0/60/45/6d950f0c1199432d8a4664ede8012371/13/5c0f80c10e26abe88ff86f14b3c1fe96/260135497.JPG","N225587","Land Only","S","4044 ESTAVILLA DRIVE","Emerald","382",,,"8,374.00",,"PG City North (Zone 73)","023-553-707","V2K 2T9","58.30","Road Access","House/Single Family","$45,000","0.81","$5.37","4/5/2014","House/Single Family",,"URS2B","$55,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260135528/0/60/45/ca30e8da1b9f86776adefc8f88f2ed9d/13/8a4e8413cd528c0c693ee2cf848764f9/260135528.JPG","N225588","Land Only","S","4037 ESTAVILLA DRIVE","Emerald","382",,,"9,784.00",,"PG City North (Zone 73)","023-553-758","V2K 2T9","58.30","Road Access","House/Single Family","$45,000","0.81","$4.60","4/5/2014","House/Single Family",,"URS2A","$55,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260572567/0/60/45/b2f2b4b511297fc56de5fb4b7934bac0/15/d320f62edf7772875f34abbb4245d28a/260572567.JPG","F1323158","Residential Detached","S","34 13507 81ST AVENUE","Queen Mary Park Surrey","183","2","1989","0.00","Manufactured","Surrey","900-560-235","V3W 3C6","0.00",,,"$45,000","0.90","$39.06","4/5/2014","Manufactured","2","MHP","$49,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260647830/0/60/45/3b0280768ff483d007f24cd827994729/13/b10a1971c72bb7d6b41112fdc4f7602d/260647830.JPG","N232153","Residential Detached","S","201 LEWIS DRIVE","Quesnel - Town","147","2","1948","0.00","House/Single Family","Quesnel (Zone 28)","013-098-527","V2J 6C7","50.00",,,"$51,000","0.79","$48.57","4/10/2014","House/Single Family","1","RM2","$64,900"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260336108/0/60/45/f3920ae6a3df9f3d4ab4ef492e5560b7/15/a8854517028429a67914f565675c0112/260336108.JPG","V1012841","Land Only","S","LT 40 MOUNTAINVIEW ROAD","Pender Harbour Egmont","297",,,"27,878.00",,"Sunshine Coast","007-494-718","V0N 1N0","73.00","Road Access",,"$52,000","0.75","$1.87","4/5/2014","Other",,"R1","$69,800"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260895073/0/60/45/9fe620becdaf84dce179d02c86841284/16/14255b9f3b8ecbd0faf37aea85005977/260895073.JPG","V1057363","Residential Detached","S","227 1830 MAMQUAM ROAD","Garibaldi Estates","2","3","1974","0.00","Manufactured","Squamish","800-085-068","V0N 1T0","0.00",,,"$52,500","0.92","$45.65","4/10/2014","Manufactured","1","RMH","$57,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260601152/0/60/45/b1e4d2dcf9193d61b9d8c7504dec759d/13/2220ed54ab28ea0d28f8a4ab40ebe38c/260601152.JPG","N231707","Residential Detached","S","6478 EWEN ROAD","Horse Lake","169","2","1981","0.00","Manufactured with Land","100 Mile House (Zone 10)","007-641-451","V0K 2E3","0.00",,,"$62,000","0.89","$85.16","4/3/2014","Manufactured with Land","1","R1","$69,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260631355/0/60/45/dd500dbeffd433cdde10987c8dc54823/13/72673c38b5f625855e41a7a637078be9/260631355.JPG","N231983","Residential Detached","S","715 E 5TH AVENUE","Prince Rupert - City","161","3","1931","2,500.00","House/Single Family","Prince Rupert (Zone 52)","014-560-411","V8J 1S4","25.00",,,"$65,000","0.82","$33.21","4/10/2014","House/Single Family","1","R-2","$79,500"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260487901/0/60/45/9ab458ae60fbb59b44e965ff600cdf9b/13/dc94beb633a3d1c0a97052ec69a04a34/260487901.JPG","N230451","Residential Detached","S","1340 OVERLOOK STREET","Prince Rupert - City","229","3","1945","3,187.00","House/Single Family","Prince Rupert (Zone 52)","012-545-074","V8J 2C8","0.00",,,"$65,600","1.24","$74.89","4/7/2014","House/Single Family","1","R2","$52,900"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260505290/0/60/45/6bd826305e77a5a0235bf915e99d55aa/13/60f4f7e8430db9ebbb4cf1e613c076e2/260505290.JPG","N230638","Residential Detached","S","8 8680 CASTLE ROAD","Pineview","223","3","1973","0.00","Manufactured","PG Rural South (Zone 78)","800-079-517","V2N 6Y6","0.00",,,"$68,000","0.91","$65.20","4/10/2014","Manufactured","1","MHP","$75,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260758155/0/60/45/a08026c8cca54dbdd5e37abcb35568e8/13/a1281d839ecad195c4ff92532b81c27c/260758155.JPG","N233129","Residential Detached","S","233 PIONEER WAY","Burns Lake - Town","71","2","9999","11,390.00","Townhouse","Burns Lake (Zone 55)","012-476-072","V0J 1E0","0.00",,,"$72,500","0.91","$69.38","4/8/2014","Townhouse","1","R-1","$79,500"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260448066/0/60/45/ee6bf6b3399e5ce941f7fe995d809890/13/e136cb3a5a9d71385bf691b6e9c7fbc2/260448066.JPG","N229931","Residential Attached","S","5 254 WARDEN STREET","Quesnel - Town","252","2","1996","0.00","Townhouse","Quesnel (Zone 28)","023-734-540","V2J 1R7",,,,"$75,000","0.94","$73.03","4/9/2014","Townhouse","2","RM2","$79,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260650546/0/60/45/f5e494fefaef1d7b181e20dd59d096af/15/8ea3db3b90028e5712b1a088e7ca4762/260650546.JPG","F1325818","Residential Detached","S","48 8560 156 STREET","Fleetwood Tynehead","146","2","1979","0.00","Manufactured","Surrey","900-569-297","V3S 5K4","0.00",,,"$77,000","0.88","$61.70","4/9/2014","Manufactured","2","MHP","$87,400"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260687274/0/60/45/ea28936b566d4df07b94fd21dcd2895a/13/a8c4b433a46953c84c5b8c3175c54116/260687274.JPG","N232523","Residential Detached","S","1231 MCBRIDE STREET","Masset","122","5","1976","0.00","House/Single Family","Prince Rupert (Zone 52)","013-811-584","V0T 1M0","96.00",,,"$80,000","0.80","$34.97","4/7/2014","House/Single Family","2","R-2","$99,700"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260841707/0/60/45/bd2b61d8765fe8a3f4209f3de0c2b45c/15/a864819ef65493a87f5abd920245cc72/260841707.JPG","F1406151","Residential Detached","S","47 13650 80TH AVENUE","Bear Creek Green Timbers","23","2","1977","0.00","Manufactured","Surrey","900-563-982","V3W 6J8","0.00",,,"$83,000","0.93","$48.82","4/9/2014","Manufactured","2","RM-M","$88,900"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260776412/0/60/45/f1fb71dc61d64dc3bc755de8470150a9/15/c8bcef12ea5df2b924fa2f55f2a17d54/260776412.JPG","F1403438","Residential Attached","S","309 32070 PEARDONVILLE ROAD","Abbotsford West","60","2","1981","0.00","Apartment/Condo","Abbotsford","001-867-105","V2T 6N9",,,,"$83,500","0.93","$64.93","4/7/2014","Apartment/Condo","1","MF","$89,700"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260810446/0/60/45/ed6402962dbc4df6958298caab499e45/14/7d86cd8fd62a58eb03c8763eb3ae09bd/260810446.JPG","H1400766","Residential Attached","S","303 46033 CHILLIWACK CENTRAL ROAD","Chilliwack E Young-Yale","39","2","1987","0.00","Apartment/Condo","Chilliwack","001-990-667","V2P 1J5","0.00",,,"$85,500","0.95","$86.80","4/7/2014","Apartment/Condo","1","R5","$89,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260827728/0/60/45/eaa6e5d5725cc9a8eb25d4cf1f405ab7/13/8d96e5d7169f315abf8fd10c261ad041/260827728.JPG","N233838","Residential Attached","S","4 800 N SECOND AVENUE","Williams Lake - City","35","2","1979","1,134.00","Townhouse","Williams Lake (Zone 27)","004-937-813","V2G 3T2","0.00",,,"$88,000","0.93","$77.60","4/10/2014","Townhouse","1","R3","$94,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260742432/0/60/45/9b8d473700dfb2008fc25cb3c13534d6/13/adc9b590971783b568024d10c011abb6/260742432.JPG","N233000","Residential Detached","S","15 HANNA ROAD","Stewart/Cassiar","73","1","1994","0.00","House with Acreage","Terrace (Zone 88)","009-305-378","V0J 3S0","0.00",,,"$90,000","0.96","$52.94","4/7/2014","House with Acreage","1","RR","$94,100"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259503376/0/60/45/e449a39a4ffe56098aa30583ab128e52/13/cfda04ffdec693110485163bcdf3ec86/259503376.JPG","N218929","Land Only","S","LOT 2 MOUNTAINVIEW ROAD","McBride - Rural West","681",,,"0.00",,"Robson Valley (Zone 81)","011-756-691","V0J 2E0",,"Lane Access","House/Single Family","$95,000","0.86",,"4/4/2014","House/Single Family",,"SH","$110,000"
